# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.59
metadata : {}


# id : NWRW1800000054.59.1.1
[그래픽 뉴스] 시력교정술 하면 안되는 사람

[그래픽	[/SS+그래픽/NNG
뉴스]	뉴스/NNG+]/SS
시력교정술	시력/NNG+교정술/NNG
하면	하/VV+면/EC
안되는	안/MAG+되/XSV+는/ETM
사람	사람/NNG


# id : NWRW1800000054.59.2.1
동공(7~9mm) 큰 사람, 라식·라섹하면 빛 번짐 부작용

동공(7~9mm)	동공/NNG+(/SS+7/SN+~/SO+9/SN+mm/SW+)/SS
큰	크/VA+ㄴ/ETM
사람,	사람/NNG+,/SP
라식·라섹하면	라식/NNG+·/SP+라섹/NNG+하/VV+면/EC
빛	빛/NNG
번짐	번지/VV+ㅁ/ETN
부작용	부작용/NNG


# id : NWRW1800000054.59.3.1
라식·라섹 같은 시력교정술은 누구나 할 수 있다고 생각하지만 그렇지 않다.

라식·라섹	라식/NNG+·/SP+라섹/NNG
같은	같/VA+은/ETM
시력교정술은	시력/NNG+교정술/NNG+은/JX
누구나	누구/NP+나/JX
할	하/VV+ㄹ/ETM
수	수/NNB
있다고	있/VA+다고/EC
생각하지만	생각/NNG+하/XSV+지만/EC
그렇지	그렇/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000054.59.3.2
동공(瞳孔)이 평균보다 크거나 각막 모양이 뾰쪽한 '원추각막'인 사람은 시력교정술을 안 하는 게 좋다.

동공(瞳孔)이	동공/NNG+(/SS+瞳孔/SH+)/SS+이/JKS
평균보다	평균/NNG+보다/JKB
크거나	크/VA+거나/EC
각막	각막/NNG
모양이	모양/NNG+이/JKS
뾰쪽한	뾰쪽/MAG+하/XSA+ㄴ/ETM
'원추각막'인	'/SS+원추/NNG+각막/NNG+'/SS+이/VCP+ㄴ/ETM
사람은	사람/NNG+은/JX
시력교정술을	시력/NNG+교정술/NNG+을/JKO
안	안/MAG
하는	하/VV+는/ETM
게	거/NNB+이/JKS
좋다.	좋/VA+다/EF+./SF


