# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.383
metadata : {}


# id : NWRW1800000046.383.1.1
김관진 안보실장…치밀하고 차분하게… '협상경험 全無' 우려 깼다

김관진	김관진/NNP
안보실장…치밀하고	안보실장/NNG+…/SE+치밀하/VA+고/EC
차분하게…	차분하/VA+게/EC+…/SE
'협상경험	'/SS+협상/NNG+경험/NNG
全無'	全無/SH+'/SS
우려	우려/NNG
깼다	깨/VV+었/EP+다/EF


# id : NWRW1800000046.383.2.1
'안보 투톱'의 對北 협상과 대응…靑수석들이 "수고했다"하자 "모든 것은 대통령이 한 것"

'안보	'/SS+안보/NNG
투톱'의	투톱/NNG+'/SS+의/JKG
對北	對北/SH
협상과	협상/NNG+과/JC
대응…靑수석들이	대응/NNG+…/SE+靑/SH+수석/NNG+들/XSN+이/JKS
"수고했다"하자	"/SS+수고/NNG+하/XSV+았/EP+다/EF+"/SS+하/VV+자/EC
"모든	"/SS+모든/MMN
것은	것/NNB+은/JX
대통령이	대통령/NNG+이/JKS
한	하/VV+ㄴ/ETM
것"	것/NNB+"/SS


# id : NWRW1800000046.383.3.1
지난 22일 남북 고위급 접촉이 시작될 때 정부 일각에선 '남북 협상 경험이 전무한 김관진〈사진〉 청와대 국가안보실장이 잘해낼 수 있을까'라는 우려가 나왔다.

지난	지나/VV+ㄴ/ETM
22일	22/SN+일/NNB
남북	남북/NNP
고위급	고위급/NNG
접촉이	접촉/NNG+이/JKS
시작될	시작/NNG+되/XSV+ㄹ/ETM
때	때/NNG
정부	정부/NNG
일각에선	일각/NNG+에서/JKB+ㄴ/JX
'남북	'/SS+남북/NNP
협상	협상/NNG
경험이	경험/NNG+이/JKS
전무한	전무/NNG+하/XSA+ㄴ/ETM
김관진〈사진〉	김관진/NNP+〈/SS+사진/NNG+〉/SS
청와대	청와대/NNP
국가안보실장이	국가/NNG+안보실장/NNG+이/JKS
잘해낼	잘/MAG+하/XSV+아/EC+내/VX+ㄹ/ETM
수	수/NNB
있을까'라는	있/VA+을까/EF+'/SS+이/VCP+라는/ETM
우려가	우려/NNG+가/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.383.3.2
맞상대인 황병서 인민군 총정치국장은 군복만 입었지 뿌리는 노동당에 있는 '정치인' 출신이다.

맞상대인	맞상대/NNG+이/VCP+ㄴ/ETM
황병서	황병서/NNP
인민군	인민군/NNG
총정치국장은	총정치국장/NNG+은/JX
군복만	군복/NNG+만/JX
입었지	입/VV+었/EP+지/EC
뿌리는	뿌리/NNG+는/JX
노동당에	노동당/NNP+에/JKB
있는	있/VA+는/ETM
'정치인'	'/SS+정치인/NNG+'/SS
출신이다.	출신/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.383.3.3
협상 과정에서 황병서에게 주도권을 빼앗길 수 있다는 얘기였다.

협상	협상/NNG
과정에서	과정/NNG+에서/JKB
황병서에게	황병서/NNP+에게/JKB
주도권을	주도/NNG+권/XSN+을/JKO
빼앗길	빼앗기/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
얘기였다.	얘기/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.383.4.1
그러나 협상 타결 이후 그런 우려는 기우(杞憂)로 끝났다는 평가가 나온다.

그러나	그러나/MAJ
협상	협상/NNG
타결	타결/NNG
이후	이후/NNG
그런	그런/MMD
우려는	우려/NNG+는/JX
기우(杞憂)로	기우/NNG+(/SS+杞憂/SH+)/SS+로/JKB
끝났다는	끝나/VV+았/EP+다는/ETM
평가가	평가/NNG+가/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.383.4.2
김 실장은 CC(폐쇄회로)TV가 없는 곳에서 황병서를 상대하면서도 모든 면에서 밀리지 않았다고 한다.

김	김/NNP
실장은	실장/NNG+은/JX
CC(폐쇄회로)TV가	CC/SL+(/SS+폐쇄/NNG+회로/NNG+)/SS+TV/SL+가/JKS
없는	없/VA+는/ETM
곳에서	곳/NNG+에서/JKB
황병서를	황병서/NNP+를/JKO
상대하면서도	상대/NNG+하/XSV+면서/EC+도/JX
모든	모든/MMN
면에서	면/NNG+에서/JKB
밀리지	밀리/VV+지/EC
않았다고	않/VX+았/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.383.4.3
그는 평소 스타일처럼 차분하면서도 치밀하게 대응했던 것으로 알려졌다.

그는	그/NP+는/JX
평소	평소/NNG
스타일처럼	스타일/NNG+처럼/JKB
차분하면서도	차분하/VA+면서/EC+도/JX
치밀하게	치밀하/VA+게/EC
대응했던	대응/NNG+하/XSV+았/EP+던/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.383.5.1
그는 이명박·박근혜 두 정권에 걸쳐 3년6개월 동안 국방장관으로 재직하면서 내부 회의나 간담회 석상에서 언성을 높여 질책하는 경우가 거의 없었다고 한다.

그는	그/NP+는/JX
이명박·박근혜	이명박/NNP+·/SP+박근혜/NNP
두	두/MMN
정권에	정권/NNG+에/JKB
걸쳐	걸치/VV+어/EC
3년6개월	3/SN+년/NNB+6/SN+개월/NNB
동안	동안/NNG
국방장관으로	국방/NNG+장관/NNG+으로/JKB
재직하면서	재직/NNG+하/XSV+면서/EC
내부	내부/NNG
회의나	회의/NNG+나/JC
간담회	간담회/NNG
석상에서	석상/NNG+에서/JKB
언성을	언성/NNG+을/JKO
높여	높이/VV+어/EC
질책하는	질책/NNG+하/XSV+는/ETM
경우가	경우/NNG+가/JKS
거의	거의/MAG
없었다고	없/VA+었/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.383.5.2
안보 라인 관계자는 "김 실장은 감정을 잘 조절하는 '외유내강(外柔內剛)'형"이라며 "이번에도 필요한 경우에만 목소리를 높였을 것"이라고 했다.

안보	안보/NNG
라인	라인/NNG
관계자는	관계자/NNG+는/JX
"김	"/SS+김/NNP
실장은	실장/NNG+은/JX
감정을	감정/NNG+을/JKO
잘	잘/MAG
조절하는	조절/NNG+하/XSV+는/ETM
'외유내강(外柔內剛)'형"이라며	'/SS+외유내강/NNG+(/SS+外柔內剛/SH+)/SS+'/SS+형/XSN+"/SS+이/VCP+라며/EC
"이번에도	"/SS+이번/NNG+에/JKB+도/JX
필요한	필요/NNG+하/XSA+ㄴ/ETM
경우에만	경우/NNG+에/JKB+만/JX
목소리를	목소리/NNG+를/JKO
높였을	높이/VV+었/EP+을/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.383.5.3
그는 북한이 지뢰와 포격 도발에 대해 '오리발'을 내밀자 "내가 전군(全軍)을 지휘했던 사람"이라며 강력하게 대응했다.

그는	그/NP+는/JX
북한이	북한/NNP+이/JKS
