# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.212
metadata : {}


# id : NWRW1800000022.212.1.1
[호남] 여수해양경찰서 재난대응 최우수 해경

[호남]	[/SS+호남/NNP+]/SS
여수해양경찰서	여수해양경찰서/NNP
재난대응	재난/NNG+대응/NNG
최우수	최/XPN+우수/NNG
해경	해경/NNG


# id : NWRW1800000022.212.2.1
여수해양경찰서는 해양경찰청이 실시한 2009년 재난대응 훈련 평가에서 전국 최우수 해경으로 선정됐다.

여수해양경찰서는	여수해양경찰서/NNP+는/JX
해양경찰청이	해양/NNG+경찰청/NNG+이/JKS
실시한	실시/NNG+하/XSV+ㄴ/ETM
2009년	2009/SN+년/NNB
재난대응	재난/NNG+대응/NNG
훈련	훈련/NNG
평가에서	평가/NNG+에서/JKB
전국	전국/NNG
최우수	최/XPN+우수/NNG
해경으로	해경/NNG+으로/JKB
선정됐다.	선정/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000022.212.3.1
해경청은 지난 달 27일 여수시 만성리 앞 해상에서 전국 12개 해양경찰서에 대규모 재난 상황을 부여하고 현장과 도상 훈련을 하는 방법으로 평가를 했다.

해경청은	해경청/NNG+은/JX
지난	지나/VV+ㄴ/ETM
달	달/NNG
27일	27/SN+일/NNB
여수시	여수시/NNP
만성리	만성리/NNP
앞	앞/NNG
해상에서	해상/NNG+에서/JKB
전국	전국/NNG
12개	12/SN+개/NNB
해양경찰서에	해양/NNG+경찰서/NNG+에/JKB
대규모	대/XPN+규모/NNG
재난	재난/NNG
상황을	상황/NNG+을/JKO
부여하고	부여/NNG+하/XSV+고/EC
현장과	현장/NNG+과/JC
도상	도상/NNG
훈련을	훈련/NNG+을/JKO
하는	하/VV+는/ETM
방법으로	방법/NNG+으로/JKB
평가를	평가/NNG+를/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.212.4.1
여수해경은 ▲체계적인 훈련계획 수립 ▲메시지 작성의 적정성과 처리 신속성 ▲재난관리기관 상호 협력체제 유지 ▲주요 훈련장면을 담은 영상물 평가 등에서 좋은 점수를 받았다.

여수해경은	여수/NNP+해경/NNG+은/JX
▲체계적인	▲/SW+체계/NNG+적/XSN+이/VCP+ㄴ/ETM
훈련계획	훈련/NNG+계획/NNG
수립	수립/NNG
▲메시지	▲/SW+메시지/NNG
작성의	작성/NNG+의/JKG
적정성과	적정/NNG+성/XSN+과/JC
처리	처리/NNG
신속성	신속/NNG+성/XSN
▲재난관리기관	▲/SW+재난/NNG+관리/NNG+기관/NNG
상호	상호/NNG
협력체제	협력/NNG+체제/NNG
유지	유지/NNG
▲주요	▲/SW+주요/NNG
훈련장면을	훈련/NNG+장면/NNG+을/JKO
담은	담/VV+은/ETM
영상물	영상물/NNG
평가	평가/NNG
등에서	등/NNB+에서/JKB
좋은	좋/VA+은/ETM
점수를	점수/NNG+를/JKO
받았다.	받/VV+았/EP+다/EF+./SF


