# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.79
metadata : {}


# id : NWRW1800000038.79.1.1
[이 영화] 어느 예술가의 마지막 일주일

[이	[/SS+이/MMD
영화]	영화/NNG+]/SS
어느	어느/MMD
예술가의	예술가/NNG+의/JKG
마지막	마지막/NNG
일주일	일주일/NNG


# id : NWRW1800000038.79.2.1
전개는 판타지… 선율은 로맨틱

전개는	전개/NNG+는/JX
판타지…	판타지/NNG+…/SE
선율은	선율/NNG+은/JX
로맨틱	로맨틱/NNG


# id : NWRW1800000038.79.3.1
유머와 향수, 판타지를 색색의 실로 엮어 만든 페르시아산(産) 카펫을 펼쳐보는 느낌이다.

유머와	유머/NNG+와/JC
향수,	향수/NNG+,/SP
판타지를	판타지/NNG+를/JKO
색색의	색색/NNG+의/JKG
실로	실/NNG+로/JKB
엮어	엮/VV+어/EC
만든	만들/VV+ㄴ/ETM
페르시아산(産)	페르시아/NNP+산/XSN+(/SS+産/SH+)/SS
카펫을	카펫/NNG+을/JKO
펼쳐보는	펼치/VV+어/EC+보/VX+는/ETM
느낌이다.	느낌/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.79.3.2
'어느 예술가의 마지막 일주일'은 제목 그대로 천재 음악가가 죽음을 앞두고 일주일 동안 자신의 인생을 회상하는 내용이다.

'어느	'/SS+어느/MMD
예술가의	예술가/NNG+의/JKG
마지막	마지막/NNG
일주일'은	일주일/NNG+'/SS+은/JX
제목	제목/NNG
그대로	그대로/MAG
천재	천재/NNG
음악가가	음악가/NNG+가/JKS
죽음을	죽음/NNG+을/JKO
앞두고	앞두/VV+고/EC
일주일	일주일/NNG
동안	동안/NNG
자신의	자신/NNG+의/JKG
인생을	인생/NNG+을/JKO
회상하는	회상/NNG+하/XSV+는/ETM
내용이다.	내용/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.79.3.3
사랑과 상실, 가족과 예술에 대한 이야기 정도야 그다지 참신할 것도 없지만 이를 담아내는 상상력의 그릇은 깊고도 넓다.

사랑과	사랑/NNG+과/JC
상실,	상실/NNG+,/SP
가족과	가족/NNG+과/JC
예술에	예술/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
이야기	이야기/NNG
정도야	정도/NNG+야/JX
그다지	그다지/MAG
참신할	참신하/VA+ㄹ/ETM
것도	것/NNB+도/JX
없지만	없/VA+지만/EC
이를	이/NP+를/JKO
담아내는	담아내/VV+는/ETM
상상력의	상상력/NNG+의/JKG
그릇은	그릇/NNG+은/JX
깊고도	깊/VA+고/EC+도/JX
넓다.	넓/VA+다/EF+./SF


# id : NWRW1800000038.79.4.1
천재 바이올리니스트 나세르 알리(마티유 아말릭)는 부부 싸움을 하다가 애지중지하던 바이올린을 망가뜨린다.

천재	천재/NNG
바이올리니스트	바이올리니스트/NNG
나세르	나세르/NNP
알리(마티유	알리/NNP+(/SS+마티유/NNP
아말릭)는	아말릭/NNP+)/SS+는/JX
부부	부부/NNG
싸움을	싸움/NNG+을/JKO
하다가	하/VV+다가/EC
애지중지하던	애지중지/MAG+하/XSV+던/ETM
바이올린을	바이올린/NNG+을/JKO
망가뜨린다.	망가뜨리/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.79.4.2
바이올린을 내던진 아내는 "바이올린 하나쯤"이라고 말하지만 나세르에겐 몸의 일부가 떨어져 나간 기분이다.

바이올린을	바이올린/NNG+을/JKO
내던진	내던지/VV+ㄴ/ETM
아내는	아내/NNG+는/JX
