# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.50
metadata : {}


# id : NWRW1800000024.50.1.1
‘선진’과 ‘창조’ 툭하면 불협화음

‘선진’과	‘/SS+선진/NNG+’/SS+과/JC
‘창조’	‘/SS+창조/NNG+’/SS
툭하면	툭하면/MAG
불협화음	불협화음/NNG


# id : NWRW1800000024.50.2.1
정체성이 다른데도 공동 교섭단체(선진과 창조의 모임)를 꾸린 자유선진당과 창조한국당이 잇달아 불협화음을 내고 있다.

정체성이	정체/NNG+성/XSN+이/JKS
다른데도	다르/VA+ㄴ데/EC+도/JX
공동	공동/NNG
교섭단체(선진과	교섭/NNG+단체/NNG+(/SS+선진/NNG+과/JC
창조의	창조/NNG+의/JKG
모임)를	모임/NNG+)/SS+를/JKO
꾸린	꾸리/VV+ㄴ/ETM
자유선진당과	자유선진당/NNP+과/JC
창조한국당이	창조한국당/NNP+이/JKS
잇달아	잇달/VV+아/EC
불협화음을	불협화음/NNG+을/JKO
내고	내/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.50.3.1
박선영 자유선진당 대변인은 5일 논평을 내어 ‘선진과 창조의 모임’의 문국현 원내대표(창조한국당 대표)의 교섭단체 대표 연설을 비판했다.

박선영	박선영/NNP
자유선진당	자유선진당/NNP
대변인은	대변인/NNG+은/JX
5일	5/SN+일/NNB
논평을	논평/NNG+을/JKO
내어	내/VV+어/EC
‘선진과	‘/SS+선진/NNG+과/JC
창조의	창조/NNG+의/JKG
모임’의	모임/NNG+’/SS+의/JKG
문국현	문국현/NNP
원내대표(창조한국당	원내/NNG+대표/NNG+(/SS+창조한국당/NNP
대표)의	대표/NNG+)/SS+의/JKG
교섭단체	교섭/NNG+단체/NNG
대표	대표/NNG
연설을	연설/NNG+을/JKO
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.50.3.2
문 원내대표는 연설에서 △일자리 창출을 위한 근로시간 단축법 제정 △공동 번영을 통한 북핵 문제 해결 등을 주장했다.

문	문/NNP
원내대표는	원내/NNG+대표/NNG+는/JX
연설에서	연설/NNG+에서/JKB
△일자리	△/SW+일자리/NNG
창출을	창출/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
근로시간	근로/NNG+시간/NNG
단축법	단축/NNG+법/NNG
제정	제정/NNG
△공동	△/SW+공동/NNG
번영을	번영/NNG+을/JKO
통한	통하/VV+ㄴ/ETM
북핵	북핵/NNG
문제	문제/NNG
해결	해결/NNG
등을	등/NNB+을/JKO
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.50.3.3
박 대변인은 “경제위기에서 노동시간 단축은 전체 근로자를 부분 실업상태로 몰아갈 위험성이 있고, 북핵 문제 해법 역시 북한에 대한 환상이 남아 있음을 그대로 반영한다.

박	박/NNP
대변인은	대변인/NNG+은/JX
“경제위기에서	“/SS+경제/NNG+위기/NNG+에서/JKB
노동시간	노동/NNG+시간/NNG
단축은	단축/NNG+은/JX
전체	전체/NNG
근로자를	근로자/NNG+를/JKO
부분	부분/NNG
실업상태로	실업/NNG+상태/NNG+로/JKB
몰아갈	몰아가/VV+ㄹ/ETM
위험성이	위험/NNG+성/XSN+이/JKS
있고,	있/VA+고/EC+,/SP
북핵	북핵/NNG
문제	문제/NNG
해법	해법/NNG
역시	역시/MAG
북한에	북한/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
환상이	환상/NNG+이/JKS
남아	남/VV+아/EC
있음을	있/VX+음/ETN+을/JKO
그대로	그대로/MAG
반영한다.	반영/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000024.50.3.4
6·15 선언과 10·4 합의 준수 주장 역시 현실을 무시한 처사로 북한당국의 주장과 다르지 않다”고 말했다.

