# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.49
metadata : {}


# id : NWRW1800000022.49.1.1
부산외대, 동티모르에 '한국어 문화센터' 개설;1만 산업연수생에게 한국을 가르친다

부산외대,	부산외대/NNP+,/SP
동티모르에	동티모르/NNP+에/JKB
'한국어	'/SS+한국어/NNP
문화센터'	문화/NNG+센터/NNG+'/SS
개설;1만	개설/NNG+;/SW+1/SN+만/NR
산업연수생에게	산업/NNG+연수/NNG+생/XSN+에게/JKB
한국을	한국/NNP+을/JKO
가르친다	가르치/VV+ㄴ다/EF


# id : NWRW1800000022.49.2.1
부산외국어대학이 동티모르 공화국 산업연수생 1만명에게 한국어를 가르치는 등 한국 문화 수출에 나서고 있다.

부산외국어대학이	부산외국어대학/NNP+이/JKS
동티모르	동티모르/NNP
공화국	공화국/NNG
산업연수생	산업/NNG+연수/NNG+생/XSN
1만명에게	1/SN+만/NR+명/NNB+에게/JKB
한국어를	한국어/NNP+를/JKO
가르치는	가르치/VV+는/ETM
등	등/NNB
한국	한국/NNP
문화	문화/NNG
수출에	수출/NNG+에/JKB
나서고	나서/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.49.3.1
지난해 5월 한국 노동부와 인력 송출 계약을 체결한 동티모르는 국가 재건 사업의 첫 프로젝트로 올해부터 2013년까지 매년 2000명씩 모두 1만명의 산업연수생을 한국에 파견하기로 했고, 이들의 한국어 및 문화 교육을 부산외대가 책임지게 된 것이다.

지난해	지난해/NNG
5월	5/SN+월/NNB
한국	한국/NNP
노동부와	노동부/NNG+와/JKB
인력	인력/NNG
송출	송출/NNG
계약을	계약/NNG+을/JKO
체결한	체결/NNG+하/XSV+ㄴ/ETM
동티모르는	동티모르/NNP+는/JX
국가	국가/NNG
재건	재건/NNG
사업의	사업/NNG+의/JKG
첫	첫/MMN
프로젝트로	프로젝트/NNG+로/JKB
올해부터	올해/NNG+부터/JX
2013년까지	2013/SN+년/NNB+까지/JX
매년	매년/MAG
2000명씩	2000/SN+명/NNB+씩/XSN
모두	모두/MAG
1만명의	1/SN+만/NR+명/NNB+의/JKG
산업연수생을	산업/NNG+연수/NNG+생/XSN+을/JKO
한국에	한국/NNP+에/JKB
파견하기로	파견/NNG+하/XSV+기/ETN+로/JKB
했고,	하/VV+았/EP+고/EC+,/SP
이들의	이/NP+들/XSN+의/JKG
한국어	한국어/NNP
및	및/MAG
문화	문화/NNG
교육을	교육/NNG+을/JKO
부산외대가	부산외대/NNP+가/JKS
책임지게	책임지/VV+게/EC
된	되/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.49.3.2
산업연수생이 국내로 들어오기 전에 대학을 통해 체계적인 한국어와 한국문화를 교육받는 것은 이례적인 것이다.

산업연수생이	산업/NNG+연수/NNG+생/XSN+이/JKS
국내로	국내/NNG+로/JKB
들어오기	들어오/VV+기/ETN
전에	전/NNG+에/JKB
대학을	대학/NNG+을/JKO
통해	통하/VV+아/EC
체계적인	체계/NNG+적/XSN+이/VCP+ㄴ/ETM
한국어와	한국어/NNP+와/JKB
한국문화를	한국/NNP+문화/NNG+를/JKO
교육받는	교육/NNG+받/XSV+는/ETM
것은	것/NNB+은/JX
이례적인	이례/NNG+적/XSN+이/VCP+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.49.4.1
11일 부산외대에 따르면 최근 대학측은 동티모르 수도 딜리시(市)에 있는 동티모르 노동부 부속 건물에서 '한국어 문화 센터(KLCC, Korean Language Culture Center)' 현판식을 가졌다.

11일	11/SN+일/NNB
부산외대에	부산외대/NNP+에/JKB
따르면	따르/VV+면/EC
최근	최근/MAG
대학측은	대학/NNG+측/NNB+은/JX
동티모르	동티모르/NNP
수도	수도/NNG
딜리시(市)에	딜리시/NNP+(/SS+市/SH+)/SS+에/JKB
있는	있/VA+는/ETM
노동부	노동부/NNG
부속	부속/NNG
건물에서	건물/NNG+에서/JKB
'한국어	'/SS+한국어/NNP
문화	문화/NNG
센터(KLCC,	센터/NNG+(/SS+KLCC/SL+,/SP
Korean	Korean/SL
Language	Language/SL
Culture	Culture/SL
Center)'	Center/SL+)/SS+'/SS
현판식을	현판식/NNG+을/JKO
가졌다.	가지/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.49.4.2
이 자리에서는 벤티토 동티모르 노동부 장관과 한국어 강사 제공 협력 양해각서도 체결됐다.

이	이/MMD
자리에서는	자리/NNG+에서/JKB+는/JX
벤티토	벤티토/NNP
동티모르	동티모르/NNP
노동부	노동부/NNG
장관과	장관/NNG+과/JKB
한국어	한국어/NNP
강사	강사/NNG
제공	제공/NNG
협력	협력/NNG
양해각서도	양해/NNG+각서/NNG+도/JX
체결됐다.	체결/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000022.49.5.1
부산외대는 오는 5월부터 이 센터에 교수 2명을 비롯한 말레이·인도네시아어과 재학생 및 졸업생을 최대 20명까지 한국어 강사로 파견, 한국어와 한국 문화 교육을 실시한다.

부산외대는	부산외대/NNP+는/JX
오는	오/VV+는/ETM
5월부터	5/SN+월/NNB+부터/JX
이	이/MMD
센터에	센터/NNG+에/JKB
교수	교수/NNG
2명을	2/SN+명/NNB+을/JKO
비롯한	비롯하/VV+ㄴ/ETM
말레이·인도네시아어과	말레이/NNP+·/SP+인도네시아어/NNG+과/JC
재학생	재학/NNG+생/XSN
및	및/MAG
졸업생을	졸업/NNG+생/XSN+을/JKO
최대	최대/NNG
20명까지	20/SN+명/NNB+까지/JX
한국어	한국어/NNP
강사로	강사/NNG+로/JKB
파견,	파견/NNG+,/SP
한국어와	한국어/NNP+와/JKB
한국	한국/NNP
문화	문화/NNG
교육을	교육/NNG+을/JKO
실시한다.	실시/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.49.6.1
오는 5월 이명박 대통령의 초청으로 한국을 공식 방문할 호세 라모스 오르타 동티모르 대통령은 방한 시기에 맞춰 부산을 찾아 한국어 교육과 관련한 논의를 비롯해 특강 등도 실시할 예정이다.

오는	오/VV+는/ETM
5월	5/SN+월/NNB
이명박	이명박/NNP
대통령의	대통령/NNG+의/JKG
초청으로	초청/NNG+으로/JKB
한국을	한국/NNP+을/JKO
공식	공식/NNG
방문할	방문/NNG+하/XSV+ㄹ/ETM
호세	호세/NNP
라모스	라모스/NNP
오르타	오르타/NNP
동티모르	동티모르/NNP
대통령은	대통령/NNG+은/JX
방한	방한/NNG
시기에	시기/NNG+에/JKB
맞춰	맞추/VV+어/EC
부산을	부산/NNP+을/JKO
찾아	찾/VV+아/EC
한국어	한국어/NNP
교육과	교육/NNG+과/JKB
관련한	관련/NNG+하/XSV+ㄴ/ETM
논의를	논의/NNG+를/JKO
비롯해	비롯하/VV+아/EC
특강	특강/NNG
등도	등/NNB+도/JX
실시할	실시/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


