# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.60
metadata : {}


# id : NWRW1800000038.60.1.1
누군가를 계속 도와야 안심 된다면 알코올·도박 같은 중독 질환일 수도

누군가를	누구/NP+이/VCP+ㄴ가/EF+를/JKO
계속	계속/MAG
도와야	돕/VV+아야/EC
안심	안심/NNG
된다면	되/VV+ㄴ다면/EC
알코올·도박	알코올/NNG+·/SP+도박/NNG
같은	같/VA+은/ETM
중독	중독/NNG
질환일	질환/NNG+이/VCP+ㄹ/ETM
수도	수/NNB+도/JX


# id : NWRW1800000038.60.2.1
주부 권모(42·인천 서구)씨는 몇 년 전부터 남편의 알코올 중독을 치료하기 위해 금주 방법을 알아봐 주고 "당신도 할 수 있다"며 용기를 북돋아 줬다.

주부	주부/NNG
권모(42·인천	권/NNP+모/NP+(/SS+42/SN+·/SP+인천/NNP
서구)씨는	서구/NNP+)/SS+씨/NNB+는/JX
몇	몇/NR
년	년/NNB
전부터	전/NNG+부터/JX
남편의	남편/NNG+의/JKG
알코올	알코올/NNG
중독을	중독/NNG+을/JKO
치료하기	치료/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
금주	금주/NNG
방법을	방법/NNG+을/JKO
알아봐	알아보/VV+아/EC
주고	주/VX+고/EC
"당신도	"/SS+당신/NP+도/JX
할	하/VV+ㄹ/ETM
수	수/NNB
있다"며	있/VA+다/EF+"/SS+며/EC
용기를	용기/NNG+를/JKO
북돋아	북돋/VV+아/EC
줬다.	주/VX+었/EP+다/EF+./SF


# id : NWRW1800000038.60.2.2
그런데 최근 남편이 알코올 중독 탈출 프로그램에 열심히 참여하자 돌변했다.

그런데	그런데/MAJ
최근	최근/NNG
남편이	남편/NNG+이/JKS
알코올	알코올/NNG
중독	중독/NNG
탈출	탈출/NNG
프로그램에	프로그램/NNG+에/JKB
열심히	열심히/MAG
참여하자	참여/NNG+하/XSV+자/EC
돌변했다.	돌변/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.60.2.3
갑자기 마음이 허전하고 불안해졌다.

갑자기	갑자기/MAG
마음이	마음/NNG+이/JKS
허전하고	허전하/VA+고/EC
불안해졌다.	불안/NNG+하/XSA+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000038.60.2.4
그래서 "살면서 술은 한 번씩 마실 수 있는 것"이라며 남편이 알코올 중독 탈출 프로그램에 못 가도록 등록 해지를 시켰다.

그래서	그래서/MAJ
"살면서	"/SS+살/VV+면서/EC
술은	술/NNG+은/JX
한	한/MMN
번씩	번/NNB+씩/XSN
마실	마시/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
것"이라며	것/NNB+"/SS+이/VCP+라며/EC
남편이	남편/NNG+이/JKS
알코올	알코올/NNG
중독	중독/NNG
탈출	탈출/NNG
프로그램에	프로그램/NNG+에/JKB
못	못/MAG
가도록	가/VV+도록/EC
등록	등록/NNG
해지를	해지/NNG+를/JKO
시켰다.	시키/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.60.2.5
그녀는 심리상담소에서 '동반의존증' 진단을 받았다.

그녀는	그녀/NP+는/JX
심리상담소에서	심리/NNG+상담소/NNG+에서/JKB
'동반의존증'	'/SS+동반/NNG+의존증/NNG+'/SS
진단을	진단/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.60.3.1
유모(25·서울 마포구)씨는 얼마 전 남자친구와 헤어지자마자 새 남자친구를 만났다.

유모(25·서울	유/NNP+모/NP+(/SS+25/SN+·/SP+서울/NNP
마포구)씨는	마포구/NNP+)/SS+씨/NNB+는/JX
얼마	얼마/NNG
전	전/NNG
남자친구와	남자/NNG+친구/NNG+와/JKB
헤어지자마자	헤어지/VV+자마자/EC
새	새/MMA
남자친구를	남자/NNG+친구/NNG+를/JKO
만났다.	만나/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.60.3.2
유씨는 새 남자친구에 금방 빠졌다.

유씨는	유/NNP+씨/NNB+는/JX
새	새/MMA
남자친구에	남자/NNG+친구/NNG+에/JKB
금방	금방/MAG
빠졌다.	빠지/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.60.3.3
연락이 안 오면 불안해서 자리에 앉아 있지도 못했다.

연락이	연락/NNG+이/JKS
안	안/MAG
오면	오/VV+면/EC
불안해서	불안/NNG+하/XSA+아서/EC
자리에	자리/NNG+에/JKB
앉아	앉/VV+아/EC
있지도	있/VX+지/EC+도/JX
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.60.3.4
언제라도 만날 수 있도록 다른 약속은 아예 잡지 않았다.

언제라도	언제/NP+이/VCP+라도/EC
만날	만나/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
다른	다른/MMD
약속은	약속/NNG+은/JX
아예	아예/MAG
