# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.326
metadata : {}


# id : NWRW1800000028.326.1.1
“드라마 속 가족, 가부장제·이기주의 팽배”

“드라마	“/SS+드라마/NNG
속	속/NNG
가족,	가족/NNG+,/SP
가부장제·이기주의	가부장/NNG+제/XSN+·/SP+이기주의/NNG
팽배”	팽배/NNG+”/SS


# id : NWRW1800000028.326.2.1
“청소년들에게 건강한 가족을 보여주세요.”

“청소년들에게	“/SS+청소년/NNG+들/XSN+에게/JKB
건강한	건강/NNG+하/XSA+ㄴ/ETM
가족을	가족/NNG+을/JKO
보여주세요.”	보이/VV+어/EC+주/VX+시/EP+어요/EF+./SF+”/SS


# id : NWRW1800000028.326.2.2
청소년 비평단이 떴다.

청소년	청소년/NNG
비평단이	비평단/NNG+이/JKS
떴다.	뜨/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.326.2.3
드라마 속 불편한 가족 모습에 청소년들이 변화를 촉구하고 나섰다.

드라마	드라마/NNG
속	속/NNG
불편한	불편/NNG+하/XSA+ㄴ/ETM
가족	가족/NNG
모습에	모습/NNG+에/JKB
청소년들이	청소년/NNG+들/XSN+이/JKS
변화를	변화/NNG+를/JKO
촉구하고	촉구/NNG+하/XSV+고/EC
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.326.2.4
미디어 비평 단체 ‘미디어 내일’의 청소년 비평단 10명이 지상파 8개 드라마를 한 달 동안 점검, 아들 선호사상 등 21세기에 맞지 않는 시대착오적인 요소들이 가득하다는 보고서를 내놨다.

미디어	미디어/NNG
비평	비평/NNG
단체	단체/NNG
‘미디어	‘/SS+미디어/NNG
내일’의	내일/NNG+’/SS+의/JKG
청소년	청소년/NNG
비평단	비평단/NNG
10명이	10/SN+명/NNB+이/JKS
지상파	지상파/NNG
8개	8/SN+개/NNB
드라마를	드라마/NNG+를/JKO
한	한/MMN
달	달/NNB
동안	동안/NNG
점검,	점검/NNG+,/SP
아들	아들/NNG
선호사상	선호/NNG+사상/NNG
등	등/NNB
21세기에	21/SN+세기/NNG+에/JKB
맞지	맞/VV+지/EC
않는	않/VX+는/ETM
시대착오적인	시대착오/NNG+적/XSN+이/VCP+ㄴ/ETM
요소들이	요소/NNG+들/XSN+이/JKS
가득하다는	가득/MAG+하/XSA+다는/ETM
보고서를	보고서/NNG+를/JKO
내놨다.	내놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.326.2.5
‘우리 가족만 잘 살면 된다’라는 가족이기주의 속에서 어머니와 아버지의 역할도 왜곡되고 있다고 지적했다.

‘우리	‘/SS+우리/NP
가족만	가족/NNG+만/JX
잘	잘/MAG
살면	살/VV+면/EC
된다’라는	되/VV+ㄴ다/EF+’/SS+이/VCP+라는/ETM
가족이기주의	가족/NNG+이기주의/NNG
속에서	속/NNG+에서/JKB
어머니와	어머니/NNG+와/JC
아버지의	아버지/NNG+의/JKG
역할도	역할/NNG+도/JX
왜곡되고	왜곡/NNG+되/XSV+고/EC
있다고	있/VX+다고/EC
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.326.3.1
청소년 비평단은 7월12일부터 8월8일까지 4주 동안 방영된 에스비에스(SBS) <자이언트> <이웃집 웬수> <나쁜 남자>, 문화방송(MBC) <글로리아> <민들레 가족>, 한국방송(KBS) <결혼해주세요> <제빵왕 김탁구> <구미호: 여우누이뎐>에 나타난 가족의 모습을 조사했다.

청소년	청소년/NNG
비평단은	비평단/NNG+은/JX
7월12일부터	7/SN+월/NNB+12/SN+일/NNB+부터/JX
8월8일까지	8/SN+월/NNB+8/SN+일/NNB+까지/JX
4주	4/SN+주/NNB
동안	동안/NNG
방영된	방영/NNG+되/XSV+ㄴ/ETM
에스비에스(SBS)	에스비에스/NNP+(/SS+SBS/SL+)/SS
<자이언트>	</SS+자이언트/NNP+>/SS
<이웃집	</SS+이웃집/NNG
웬수>	웬수/NNG+>/SS
<나쁜	</SS+나쁘/VA+ㄴ/ETM
남자>,	남자/NNG+>/SS+,/SP
문화방송(MBC)	문화방송/NNP+(/SS+MBC/SL+)/SS
<글로리아>	</SS+글로리아/NNP+>/SS
<민들레	</SS+민들레/NNG
가족>,	가족/NNG+>/SS+,/SP
한국방송(KBS)	한국방송/NNP+(/SS+KBS/SL+)/SS
<결혼해주세요>	</SS+결혼/NNG+하/XSV+아/EC+주/VX+시/EP+어요/EF+>/SS
<제빵왕	</SS+제빵왕/NNG
김탁구>	김탁구/NNP+>/SS
<구미호:	</SS+구미호/NNG+:/SP
여우누이뎐>에	여우누이뎐/NNP+>/SS+에/JKB
나타난	나타나/VV+ㄴ/ETM
가족의	가족/NNG+의/JKG
모습을	모습/NNG+을/JKO
조사했다.	조사/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.326.4.1
비평단이 분석한 가장 큰 문제는 ‘가부장주의’의 만연.

비평단이	비평단/NNG+이/JKS
분석한	분석/NNG+하/XSV+ㄴ/ETM
가장	가장/MAG
큰	크/VA+ㄴ/ETM
문제는	문제/NNG+는/JX
‘가부장주의’의	‘/SS+가부장주의/NNG+’/SS+의/JKG
만연.	만연/NNG+./SF


# id : NWRW1800000028.326.4.2
대부분의 드라마에서 부부는 평등하지 않고 남편이 부인을 무시하고 희생을 강요하며, 남편의 혼외 관계도 아주 당당하게 등장하고 있다는 점이었다.

대부분의	대/XPN+부분/NNG+의/JKG
드라마에서	드라마/NNG+에서/JKB
부부는	부부/NNG+는/JX
평등하지	평등/NNG+하/XSA+지/EC
않고	않/VX+고/EC
남편이	남편/NNG+이/JKS
부인을	부인/NNG+을/JKO
무시하고	무시/NNG+하/XSV+고/EC
희생을	희생/NNG+을/JKO
강요하며,	강요/NNG+하/XSV+며/EC+,/SP
남편의	남편/NNG+의/JKG
혼외	혼외/NNG
관계도	관계/NNG+도/JX
아주	아주/MAG
당당하게	당당/MAG+하/XSA+게/EC
등장하고	등장/NNG+하/XSV+고/EC
있다는	있/VX+다는/ETM
점이었다.	점/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000028.326.4.3
