# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.365
metadata : {}


# id : NWRW1800000025.365.1.1
[수도권]“예술 연남동”… 주민들 붓 들고 동네 한바퀴

[수도권]“예술	[/SS+수도/NNG+권/XSN+]/SS+“/SS+예술/NNG
연남동”…	연남동/NNP+”/SS+…/SE
주민들	주민/NNG+들/XSN
붓	붓/NNG
들고	들/VV+고/EC
동네	동네/NNG
한바퀴	한/MMN+바퀴/NNB


# id : NWRW1800000025.365.2.1
“전 제 동생을 그리겠습니다….”

“전	“/SS+저/NP+ㄴ/JX
제	저/NP+의/JKG
동생을	동생/NNG+을/JKO
그리겠습니다….”	그리/VV+겠/EP+습니다/EF+…/SE+./SF+”/SS


# id : NWRW1800000025.365.3.1
그림 그리기 수업(드로잉 아카데미)에 참여한 장병우 씨(64)가 지갑을 꺼냈다.

그림	그림/NNG
그리기	그리/VV+기/ETN
수업(드로잉	수업/NNG+(/SS+드로잉/NNG
아카데미)에	아카데미/NNG+)/SS+에/JKB
참여한	참여/NNG+하/XSV+ㄴ/ETM
장병우	장병우/NNP
씨(64)가	씨/NNB+(/SS+64/SN+)/SS+가/JKS
지갑을	지갑/NNG+을/JKO
꺼냈다.	꺼내/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.365.3.2
“생각나는 물건이나 소지품을 그려보라”는 강사의 말에 그는 지갑 속 동생의 사진을 도화지 위에 올렸다.

“생각나는	“/SS+생각나/VV+는/ETM
물건이나	물건/NNG+이나/JC
소지품을	소지품/NNG+을/JKO
그려보라”는	그리/VV+어/EC+보/VX+라/EF+”/SS+는/JX
강사의	강사/NNG+의/JKG
말에	말/NNG+에/JKB
그는	그/NP+는/JX
지갑	지갑/NNG
속	속/NNG
동생의	동생/NNG+의/JKG
사진을	사진/NNG+을/JKO
도화지	도화지/NNG
위에	위/NNG+에/JKB
올렸다.	올리/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.365.3.3
그는 지난해 세상을 떠난 장영희 서강대 영문학과 교수의 오빠다.

그는	그/NP+는/JX
지난해	지난해/NNG
세상을	세상/NNG+을/JKO
떠난	떠나/VV+ㄴ/ETM
장영희	장영희/NNP
서강대	서강대/NNP
영문학과	영문학과/NNG
교수의	교수/NNG+의/JKG
오빠다.	오빠/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.365.3.4
장 교수가 소아마비를 극복하고 교수가 되는 동안 장 씨는 LG오티스 사장을 지낸 경영인으로 살아왔다.

장	장/NNP
교수가	교수/NNG+가/JKC
소아마비를	소아마비/NNG+를/JKO
극복하고	극복/NNG+하/XSV+고/EC
되는	되/VV+는/ETM
동안	동안/NNG
씨는	씨/NNB+는/JX
LG오티스	LG오티스/NNP
사장을	사장/NNG+을/JKO
지낸	지내/VV+ㄴ/ETM
경영인으로	경영인/NNG+으로/JKB
살아왔다.	살아오/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.365.4.1
마포구 연남동에 21년 동안 살면서 자신의 일상을 그린 것은 처음이었다.

마포구	마포구/NNP
연남동에	연남동/NNP+에/JKB
21년	21/SN+년/NNB
동안	동안/NNG
살면서	살/VV+면서/EC
자신의	자신/NNG+의/JKG
일상을	일상/NNG+을/JKO
그린	그리/VV+ㄴ/ETM
것은	것/NNB+은/JX
처음이었다.	처음/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000025.365.4.2
동생 그림 외에도 그는 전선줄이 늘어진 골목길, 꼬부랑 동네 할머니 등을 ‘일기’ 쓰듯 담아냈다.

동생	동생/NNG
그림	그림/NNG
외에도	외/NNB+에/JKB+도/JX
그는	그/NP+는/JX
전선줄이	전선줄/NNG+이/JKS
늘어진	늘어지/VV+ㄴ/ETM
골목길,	골목길/NNG+,/SP
꼬부랑	꼬부랑/NNG
동네	동네/NNG
할머니	할머니/NNG
등을	등/NNB+을/JKO
‘일기’	‘/SS+일기/NNG+’/SS
쓰듯	쓰/VV+듯/EC
담아냈다.	담아내/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.365.4.3
그림 한 번 제대로 그려본 적 없지만 ‘연남동 화가’가 된 장 씨.

그림	그림/NNG
한	한/MMN
번	번/NNB
제대로	제대로/MAG
그려본	그리/VV+어/EC+보/VX+ㄴ/ETM
적	적/NNB
없지만	없/VA+지만/EC
‘연남동	‘/SS+연남동/NNP
화가’가	화가/NNG+’/SS+가/JKC
된	되/VV+ㄴ/ETM
장	장/NNP
씨.	씨/NNB+./SF


# id : NWRW1800000025.365.4.4
‘기사식당’ 동네였던 마포구 연남동은 하루하루 그렇게 예술마을로 변해가고 있다.

‘기사식당’	‘/SS+기사/NNG+식당/NNG+’/SS
동네였던	동네/NNG+이/VCP+었/EP+던/ETM
마포구	마포구/NNP
연남동은	연남동/NNP+은/JX
하루하루	하루하루/NNG
그렇게	그렇/VA+게/EC
예술마을로	예술/NNG+마을/NNG+로/JKB
변해가고	변하/VV+아/EC+가/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.365.5.1
○ ‘제2의 홍대 앞’을 꿈꾸는 연남동

○	○/SW
‘제2의	‘/SS+제/XPN+2/SN+의/JKG
홍대	홍대/NNP
앞’을	앞/NNG+’/SS+을/JKO
꿈꾸는	꿈꾸/VV+는/ETM
연남동	연남동/NNP


# id : NWRW1800000025.365.6.1
1975년 서대문구 연희동에서 분리된 연남동은 벚나무 감나무 등이 많은 전형적인 주택가였다.

1975년	1975/SN+년/NNB
서대문구	서대문구/NNP
연희동에서	연희동/NNP+에서/JKB
분리된	분리/NNG+되/XSV+ㄴ/ETM
연남동은	연남동/NNP+은/JX
벚나무	벚나무/NNG
감나무	감나무/NNG
등이	등/NNB+이/JKS
많은	많/VA+은/ETM
전형적인	전형/NNG+적/XSN+이/VCP+ㄴ/ETM
주택가였다.	주택가/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000025.365.6.2
택시기사들이 자주 드나들며 밥을 먹는다 해서 ‘기사식당’이 많은 동네로 알려질 뿐 서교동 상수동 합정동 등 이른바 ‘홍대 앞’ 문화로 대표되는 이웃 동네들과는 전혀 딴판이었다.

택시기사들이	택시/NNG+기사/NNG+들/XSN+이/JKS
자주	자주/MAG
드나들며	드나들/VV+며/EC
밥을	밥/NNG+을/JKO
먹는다	먹/VV+는다/EF
해서	하/VV+아서/EC
‘기사식당’이	‘/SS+기사/NNG+식당/NNG+’/SS+이/JKS
많은	많/VA+은/ETM
동네로	동네/NNG+로/JKB
알려질	알려지/VV+ㄹ/ETM
뿐	뿐/NNB
서교동	서교동/NNP
상수동	상수동/NNP
합정동	합정동/NNP
등	등/NNB
이른바	이른바/MAG
‘홍대	‘/SS+홍대/NNP
앞’	앞/NNG+’/SS
문화로	문화/NNG+로/JKB
대표되는	대표/NNG+되/XSV+는/ETM
이웃	이웃/NNG
동네들과는	동네/NNG+들/XSN+과/JKB+는/JX
전혀	전혀/MAG
딴판이었다.	딴판/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000025.365.7.1
그림으로 치면 ‘무채색’과도 같은 이곳에 최근 홍익대 앞에서 활동하던 예술가가가 하나둘 건너오기 시작했다.

그림으로	그림/NNG+으로/JKB
치면	치/VV+면/EC
‘무채색’과도	‘/SS+무채색/NNG+’/SS+과/JKB+도/JX
같은	같/VA+은/ETM
이곳에	이곳/NP+에/JKB
최근	최근/NNG
홍익대	홍익대/NNP
앞에서	앞/NNG+에서/JKB
활동하던	활동/NNG+하/XSV+던/ETM
예술가가가	예술가/NNG+가/JKS+가/NA
하나둘	하나둘/NR
건너오기	건너오/VV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.365.8.1
9년째 홍익대 앞에서 예술시장 ‘프리마켓’을 운영하는 ‘일상예술창작센터’가 대표적이다.

9년째	9/SN+년/NNB+째/XSN
홍익대	홍익대/NNP
앞에서	앞/NNG+에서/JKB
예술시장	예술/NNG+시장/NNG
‘프리마켓’을	‘/SS+프리마켓/NNG+’/SS+을/JKO
운영하는	운영/NNG+하/XSV+는/ETM
‘일상예술창작센터’가	‘/SS+일상/NNG+예술/NNG+창작/NNG+센터/NNG+’/SS+가/JKS
대표적이다.	대표/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000025.365.8.2
이 단체는 올해 초 자신들의 새로운 터전인 연남동에서 ‘새로운 예술’을 해보겠다는 계획을 세웠다.

이	이/MMD
단체는	단체/NNG+는/JX
올해	올해/NNG
초	초/NNB
자신들의	자신/NNG+들/XSN+의/JKG
새로운	새롭/VA+ㄴ/ETM
터전인	터전/NNG+이/VCP+ㄴ/ETM
연남동에서	연남동/NNP+에서/JKB
‘새로운	‘/SS+새롭/VA+ㄴ/ETM
예술’을	예술/NNG+’/SS+을/JKO
해보겠다는	하/VV+아/EC+보/VX+겠/EP+다는/ETM
계획을	계획/NNG+을/JKO
세웠다.	세우/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.365.8.3
마침 연남동주민센터에서 동네 주민들 스스로 마을을 가꾸는 ‘연남 올레 마을 만들기’ 프로젝트 제안을 받았고 곧바로 주민들을 대상으로 한 예술아카데미를 열었다.

마침	마침/MAG
연남동주민센터에서	연남동주민센터/NNP+에서/JKB
동네	동네/NNG
주민들	주민/NNG+들/XSN
스스로	스스로/MAG
마을을	마을/NNG+을/JKO
가꾸는	가꾸/VV+는/ETM
‘연남	‘/SS+연남/NNP
올레	올레/NNG
마을	마을/NNG
만들기’	만들/VV+기/ETN+’/SS
프로젝트	프로젝트/NNG
제안을	제안/NNG+을/JKO
받았고	받/VV+았/EP+고/EC
곧바로	곧바로/MAG
주민들을	주민/NNG+들/XSN+을/JKO
대상으로	대상/NNG+으로/JKB
한	하/VV+ㄴ/ETM
예술아카데미를	예술/NNG+아카데미/NNG+를/JKO
열었다.	열/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.365.8.4
밥그릇 빚는 도자기 수업부터 동네 모습 찍는 사진 수업, 일상을 담는 그림 수업까지.

밥그릇	밥그릇/NNG
빚는	빚/VV+는/ETM
도자기	도자기/NNG
수업부터	수업/NNG+부터/JX
동네	동네/NNG
모습	모습/NNG
찍는	찍/VV+는/ETM
사진	사진/NNG
수업,	수업/NNG+,/SP
일상을	일상/NNG+을/JKO
담는	담/VV+는/ETM
그림	그림/NNG
수업까지.	수업/NNG+까지/JX+./SF


# id : NWRW1800000025.365.8.5
소재는 모두 ‘연남동 속 자신’이었다.

소재는	소재/NNG+는/JX
모두	모두/MAG
‘연남동	‘/SS+연남동/NNP
속	속/NNG
자신’이었다.	자신/NNG+’/SS+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000025.365.8.6
70명의 수강생은 첫 결과물을 연남지하보도에서 이뤘다.

70명의	70/SN+명/NNB+의/JKG
수강생은	수강/NNG+생/XSN+은/JX
첫	첫/MMN
결과물을	결과물/NNG+을/JKO
연남지하보도에서	연남/NNP+지하보도/NNG+에서/JKB
이뤘다.	이루/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.365.8.7
자신이 직접 그린 그림을 타일에 담아 어두컴컴한 굴다리 입구를 화사하게 바꾼 것.

자신이	자신/NNG+이/JKS
직접	직접/MAG
그린	그리/VV+ㄴ/ETM
그림을	그림/NNG+을/JKO
타일에	타일/NNG+에/JKB
담아	담/VV+아/EC
어두컴컴한	어두컴컴하/VA+ㄴ/ETM
굴다리	굴다리/NNG
입구를	입구/NNG+를/JKO
화사하게	화사하/VA+게/EC
바꾼	바꾸/VV+ㄴ/ETM
것.	것/NNB+./SF


# id : NWRW1800000025.365.9.1
○ 세탁소 아저씨도 ‘예술’을 논하다

○	○/SW
세탁소	세탁소/NNG
아저씨도	아저씨/NNG+도/JX
‘예술’을	‘/SS+예술/NNG+’/SS+을/JKO
논하다	논하/VV+다/EF


# id : NWRW1800000025.365.10.1
오래된 세탁소 앞 새로 생긴 갤러리, 재래시장 옆 조용한 북카페….

오래된	오래/MAG+되/XSA+ㄴ/ETM
세탁소	세탁소/NNG
앞	앞/NNG
새로	새로/MAG
생긴	생기/VV+ㄴ/ETM
갤러리,	갤러리/NNG+,/SP
재래시장	재래시장/NNG
옆	옆/NNG
조용한	조용하/VA+ㄴ/ETM
북카페….	북카페/NNG+…/SE+./SF


# id : NWRW1800000025.365.10.2
굳이 주민들과 특별한 공공미술을 하지 않아도 연남동 곳곳에는 이미 ‘예술’이 녹아 있다.

굳이	굳이/MAG
주민들과	주민/NNG+들/XSN+과/JKB
특별한	특별/NNG+하/XSA+ㄴ/ETM
공공미술을	공공/NNG+미술/NNG+을/JKO
하지	하/VV+지/EC
않아도	않/VX+아도/EC
연남동	연남동/NNP
곳곳에는	곳곳/NNG+에/JKB+는/JX
이미	이미/MAG
‘예술’이	‘/SS+예술/NNG+’/SS+이/JKS
녹아	녹/VV+아/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.365.10.3
그 중 최근 들어선 예술공간 ‘플레이스 막’은 신기하다 못해 뜬금없어 보인다.

그	그/MMD
중	중/NNB
최근	최근/NNG
들어선	들어서/VV+ㄴ/ETM
예술공간	예술/NNG+공간/NNG
‘플레이스	‘/SS+플레이스/NNP
막’은	막/NNP+’/SS+은/JX
신기하다	신기하/VA+다/EC
못해	못하/VX+아/EC
뜬금없어	뜬금없/VA+어/EC
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.365.10.4
현재 이곳에는 행위예술제인 ‘2010 서울 똥꼬 비엔날레’가 열리고 있다.

현재	현재/MAG
이곳에는	이곳/NP+에/JKB+는/JX
행위예술제인	행위/NNG+예술제/NNG+이/VCP+ㄴ/ETM
‘2010	‘/SS+2010/SN
서울	서울/NNP
똥꼬	똥꼬/NNG
비엔날레’가	비엔날레/NNG+’/SS+가/JKS
열리고	열리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.365.10.5
어지럽게 놓인 생수병, 깎다 만 연필….

어지럽게	어지럽/VA+게/EC
놓인	놓이/VV+ㄴ/ETM
생수병,	생수병/NNG+,/SP
깎다	깎/VV+다/EC
만	말/VV+ㄴ/ETM
연필….	연필/NNG+…/SE+./SF


# id : NWRW1800000025.365.10.6
유기태 플레이스 막 대표가 아무리 설명을 해도 바로 앞 세탁소 주인아저씨가 이해할 리 만무하다.

유기태	유기태/NNP
플레이스	플레이스/NNP
막	막/NNP
대표가	대표/NNG+가/JKS
아무리	아무리/MAG
설명을	설명/NNG+을/JKO
해도	하/VV+아도/EC
바로	바로/MAG
앞	앞/NNG
세탁소	세탁소/NNG
주인아저씨가	주인아저씨/NNG+가/JKS
이해할	이해/NNG+하/XSV+ㄹ/ETM
리	리/NNB
만무하다.	만무/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000025.365.10.7
그럼에도 이곳을 지나가던 동네 주민들은 갤러리 안으로 들어와 “밥 먹었어?” “이번 작품 뭐지?”라는 질문을 서슴없이 던졌다.

그럼에도	그렇/VA+ㅁ/ETN+에/JKB+도/JX
이곳을	이곳/NP+을/JKO
지나가던	지나가/VV+던/ETM
동네	동네/NNG
주민들은	주민/NNG+들/XSN+은/JX
갤러리	갤러리/NNG
안으로	안/NNG+으로/JKB
들어와	들어오/VV+아/EC
“밥	“/SS+밥/NNG
먹었어?”	먹/VV+었/EP+어/EF+?/SF+”/SS
“이번	“/SS+이번/NNG
작품	작품/NNG
뭐지?”라는	뭐/NP+이/VCP+지/EF+?/SF+”/SS+이/VCP+라는/ETM
질문을	질문/NNG+을/JKO
서슴없이	서슴없이/MAG
던졌다.	던지/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.365.11.1
유 대표는 “홍익대 앞, 청담동, 인사동 같은 ‘뻔한 곳’이 아니라 사람 냄새나는 예술 불모지를 찾았다”고 말했다.

유	유/NNP
대표는	대표/NNG+는/JX
“홍익대	“/SS+홍익대/NNP
앞,	앞/NNG+,/SP
청담동,	청담동/NNP+,/SP
인사동	인사동/NNP
같은	같/VA+은/ETM
‘뻔한	‘/SS+뻔하/VA+ㄴ/ETM
곳’이	곳/NNG+’/SS+이/JKC
아니라	아니/VCN+라/EC
사람	사람/NNG
냄새나는	냄새/NNG+나/VV+는/ETM
예술	예술/NNG
불모지를	불모지/NNG+를/JKO
찾았다”고	찾/VV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.365.11.2
그는 갤러리 앞 ‘세탁소 아저씨의 가죽 재킷 오래 입는 법’, ‘연남 돼지갈비집 주인아저씨의 양념 만들기’ 등을 내년 갤러리 예술제로 만들 계획을 세웠다.

그는	그/NP+는/JX
갤러리	갤러리/NNG
앞	앞/NNG
‘세탁소	‘/SS+세탁소/NNG
아저씨의	아저씨/NNG+의/JKG
가죽	가죽/NNG
재킷	재킷/NNG
오래	오래/MAG
입는	입/VV+는/ETM
법’,	법/NNB+’/SS+,/SP
‘연남	‘/SS+연남/NNP
돼지갈비집	돼지갈비/NNG+집/NNG
주인아저씨의	주인아저씨/NNG+의/JKG
양념	양념/NNG
만들기’	만들/VV+기/ETN+’/SS
등을	등/NNB+을/JKO
내년	내년/NNG
예술제로	예술제/NNG+로/JKB
만들	만들/VV+ㄹ/ETM
계획을	계획/NNG+을/JKO
세웠다.	세우/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.365.11.3
이유는 간단했다.

이유는	이유/NNG+는/JX
