# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.432
metadata : {}


# id : NWRW1800000054.432.1.1
"트럼프·푸틴 만난다" "안 만난다"… 엇갈린 신호

"트럼프·푸틴	"/SS+트럼프/NNP+·/SP+푸틴/NNP
만난다"	만나/VV+ㄴ다/EF+"/SS
"안	"/SS+안/MAG
만난다"…	만나/VV+ㄴ다/EF+"/SS+…/SE
엇갈린	엇갈리/VV+ㄴ/ETM
신호	신호/NNG


# id : NWRW1800000054.432.2.1
•백악관 "APEC서 회동일정 없다"… 러 대선개입 수사 관련 거리두기, 크렘린 "어떤식으로든 성사될 것"

•백악관	•/SW+백악관/NNP
"APEC서	"/SS+APEC/SL+서/JKB
회동일정	회동/NNG+일정/NNG
없다"…	없/VA+다/EF+"/SS+…/SE
러	러/NNP
대선개입	대선/NNG+개입/NNG
수사	수사/NNG
관련	관련/NNG
거리두기,	거리/NNG+두/VV+기/ETN+,/SP
크렘린	크렘린/NNP
"어떤식으로든	"/SS+어떤/MMD+식/NNB+으로/JKB+든/JX
성사될	성사/NNG+되/XSV+ㄹ/ETM
것"	것/NNB+"/SS


# id : NWRW1800000054.432.3.1
도널드 트럼프 미국 대통령과 블라디미르 푸틴 러시아 대통령이 10일(현지 시각) 제25차 아시아태평양경제협력체(APEC) 정상회의가 열린 베트남 다낭에서 공식 회동 여부를 두고 혼선이 빚어지고 있다.

도널드	도널드/NNP
트럼프	트럼프/NNP
미국	미국/NNP
대통령과	대통령/NNG+과/JC
블라디미르	블라디미르/NNP
푸틴	푸틴/NNP
러시아	러시아/NNP
대통령이	대통령/NNG+이/JKS
10일(현지	10/SN+일/NNB+(/SS+현지/NNG
시각)	시각/NNG+)/SS
제25차	제/XPN+25/SN+차/NNB
아시아태평양경제협력체(APEC)	아시아태평양경제협력체/NNP+(/SS+APEC/SL+)/SS
정상회의가	정상/NNG+회의/NNG+가/JKS
열린	열리/VV+ㄴ/ETM
베트남	베트남/NNP
다낭에서	다낭/NNP+에서/JKB
공식	공식/NNG
회동	회동/NNG
여부를	여부/NNG+를/JKO
두고	두/VV+고/EC
혼선이	혼선/NNG+이/JKS
빚어지고	빚어지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.432.4.1
새라 허커비 샌더스 백악관 대변인은 이날 베트남으로 향하는 대통령 전용기에서 기자들에게 "(트럼프 대통령과 푸틴 대통령의) 공식 회동 일정은 없다. 공식 회동을 기대하지도 않는다"고 밝혔다.

새라	새라/NNP
허커비	허커비/NNP
샌더스	샌더스/NNP
백악관	백악관/NNP
대변인은	대변인/NNG+은/JX
이날	이날/NNG
베트남으로	베트남/NNP+으로/JKB
향하는	향하/VV+는/ETM
대통령	대통령/NNG
전용기에서	전용기/NNG+에서/JKB
기자들에게	기자/NNG+들/XSN+에게/JKB
"(트럼프	"/SS+(/SS+트럼프/NNP
대통령과	대통령/NNG+과/JC
푸틴	푸틴/NNP
대통령의)	대통령/NNG+의/JKG+)/SS
공식	공식/NNG
회동	회동/NNG
일정은	일정/NNG+은/JX
없다.	없/VA+다/EF+./SF
회동을	회동/NNG+을/JKO
기대하지도	기대/NNG+하/XSV+지/EC+도/JX
않는다"고	않/VX+는다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.432.4.2
두 대통령의 일정이 맞지 않아 공식 회동이 성사되지 않았다고 설명했다.

두	두/MMN
대통령의	대통령/NNG+의/JKG
일정이	일정/NNG+이/JKS
맞지	맞/VV+지/EC
않아	않/VX+아/EC
공식	공식/NNG
회동이	회동/NNG+이/JKS
성사되지	성사/NNG+되/XSV+지/EC
않았다고	않/VX+았/EP+다고/EC
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.432.4.3
두 대통령이 같은 행사장에 있는 만큼 우연히 마주쳐 간단한 인사는 주고받을 수 있을 것이라고 했다.

두	두/MMN
대통령이	대통령/NNG+이/JKS
같은	같/VA+은/ETM
행사장에	행사장/NNG+에/JKB
있는	있/VA+는/ETM
만큼	만큼/NNB
우연히	우연히/MAG
마주쳐	마주치/VV+어/EC
간단한	간단하/VA+ㄴ/ETM
인사는	인사/NNG+는/JX
주고받을	주고받/VV+을/ETM
수	수/NNB
있을	있/VA+을/ETM
것이라고	것/NNB+이/VCP+라고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.432.5.1
그러나 러시아 크렘린궁의 반응은 달랐다.

그러나	그러나/MAJ
러시아	러시아/NNP
크렘린궁의	크렘린/NNP+궁/NNG+의/JKG
반응은	반응/NNG+은/JX
달랐다.	다르/VA+았/EP+다/EF+./SF


# id : NWRW1800000054.432.5.2
텔레그래프에 따르면 드미트리 페스코프 크렘린궁 대변인은 이날 "백악관에서 다른 정보가 나오긴 했지만 아직 분명한 것은 없다"며 "(양국 정상) 회담은 어떤 방식으로든 성사될 것"이라고 했다.

텔레그래프에	텔레그래프/NNP+에/JKB
따르면	따르/VV+면/EC
드미트리	드미트리/NNP
페스코프	페스코프/NNP
크렘린궁	크렘린/NNP+궁/NNG
대변인은	대변인/NNG+은/JX
이날	이날/NNG
"백악관에서	"/SS+백악관/NNP+에서/JKB
다른	다른/MMD
정보가	정보/NNG+가/JKS
나오긴	나오/VV+기/ETN+ㄴ/JX
했지만	하/VX+았/EP+지만/EC
아직	아직/MAG
분명한	분명/MAG+하/XSA+ㄴ/ETM
것은	것/NNB+은/JX
없다"며	없/VA+다/EF+"/SS+며/EC
"(양국	"/SS+(/SS+양국/NNG
정상)	정상/NNG+)/SS
회담은	회담/NNG+은/JX
어떤	어떤/MMD
방식으로든	방식/NNG+으로/JKB+든/JX
성사될	성사/NNG+되/XSV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.432.6.1
미국과 러시아는 정상회담 성사 여부를 두고 며칠 전부터 엇갈린 입장을 보였다.

미국과	미국/NNP+과/JC
러시아는	러시아/NNP+는/JX
정상회담	정상/NNG+회담/NNG
성사	성사/NNG
여부를	여부/NNG+를/JKO
두고	두/VV+고/EC
며칠	며칠/NNG
전부터	전/NNG+부터/JX
엇갈린	엇갈리/VV+ㄴ/ETM
입장을	입장/NNG+을/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.432.6.2
유리 우샤코프 러시아 대통령 외교담당 보좌관은 "미·러 정상이 10일 따로 만날 것"이라고 밝혔다.

유리	유리/NNP
우샤코프	우샤코프/NNP
러시아	러시아/NNP
대통령	대통령/NNG
외교담당	외교/NNG+담당/NNG
보좌관은	보좌관/NNG+은/JX
"미·러	"/SS+미/NNP+·/SP+러/NNP
정상이	정상/NNG+이/JKS
10일	10/SN+일/NNB
따로	따로/MAG
만날	만나/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.432.6.3
반면, 틸러슨 국무장관은 "양국 정상이 만나 실질적으로 얻을 수 있는 게 무엇이 있느냐"는 반응을 보였다.

반면,	반면/NNG+,/SP
틸러슨	틸러슨/NNP
국무장관은	국무/NNG+장관/NNG+은/JX
"양국	"/SS+양국/NNG
정상이	정상/NNG+이/JKS
만나	만나/VV+아/EC
실질적으로	실질/NNG+적/XSN+으로/JKB
얻을	얻/VV+을/ETM
수	수/NNB
있는	있/VA+는/ETM
게	거/NNB+이/JKS
무엇이	무엇/NP+이/JKS
있느냐"는	있/VA+느냐/EF+"/SS+는/ETM
반응을	반응/NNG+을/JKO
