# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.74
metadata : {}


# id : NWRW1800000030.74.1.1
'1박2일' 강호동 이어 '무한도전' 유재석도 들썩… 예능 판도 바뀌나

'1박2일'	'/SS+1/SN+박/NNB+2/SN+일/NNB+'/SS
강호동	강호동/NNP
이어	이어/MAG
'무한도전'	'/SS+무한/NNG+도전/NNG+'/SS
유재석도	유재석/NNP+도/JX
들썩…	들썩/MAG+…/SE
예능	예능/NNG
판도	판도/NNG
바뀌나	바뀌/VV+나/EF


# id : NWRW1800000030.74.2.1
공중파 예능판도에 지각 변동이 일까.

공중파	공중파/NNG
예능판도에	예능/NNG+판도/NNG+에/JKB
지각	지각/NNG
변동이	변동/NNG+이/JKS
일까.	일/VV+ㄹ까/EF+./SF


# id : NWRW1800000030.74.2.2
예능프로 시청률 1·2위를 다투는 KBS '1박2일'의 강호동이 하차할 뜻을 분명히 한데 이어 MBC '무한도전' '놀러와', KBS '해피투게더'의 주역인 유재석도 조만간 움직일 가능성이 있다는 소문이 끊이질 않고 있어 제기되는 의문이다.

예능프로	예능/NNG+프로/NNG
시청률	시청/NNG+률/XSN
1·2위를	1/SN+·/SP+2/SN+위/NNB+를/JKO
다투는	다투/VV+는/ETM
KBS	KBS/SL
'1박2일'의	'/SS+1/SN+박/NNB+2/SN+일/NNB+'/SS+의/JKG
강호동이	강호동/NNP+이/JKS
하차할	하차/NNG+하/XSV+ㄹ/ETM
뜻을	뜻/NNG+을/JKO
분명히	분명히/MAG
한데	하/VV+ㄴ/ETM+데/NNB
이어	이어/MAG
MBC	MBC/SL
'무한도전'	'/SS+무한/NNG+도전/NNG+'/SS
'놀러와',	'/SS+놀/VV+러/EC+오/VV+아/EF+'/SS+,/SP
'해피투게더'의	'/SS+해피투게더/NNG+'/SS+의/JKG
주역인	주역/NNG+이/VCP+ㄴ/ETM
유재석도	유재석/NNP+도/JX
조만간	조만간/MAG
움직일	움직이/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
있다는	있/VA+다는/ETM
소문이	소문/NNG+이/JKS
끊이질	끊이/VV+지/EC+ㄹ/JX
않고	않/VX+고/EC
있어	있/VX+어/EC
제기되는	제기/NNG+되/XSV+는/ETM
의문이다.	의문/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.74.3.1
KBS는 11일 보도자료를 내고 "강호동씨가 KBS 2TV '1박2일(해피선데이)'에서 떠나겠다는 의사를 밝힌 것은 사실"이라고 밝혔다.

KBS는	KBS/SL+는/JX
11일	11/SN+일/NNB
보도자료를	보도/NNG+자료/NNG+를/JKO
내고	내/VV+고/EC
"강호동씨가	"/SS+강호동/NNP+씨/NNB+가/JKS
KBS	KBS/SL
2TV	2/SN+TV/SL
'1박2일(해피선데이)'에서	'/SS+1/SN+박/NNB+2/SN+일/NNB+(/SS+해피선데이/NNG+)/SS+'/SS+에서/JKB
떠나겠다는	떠나/VV+겠/EP+다는/ETM
의사를	의사/NNG+를/JKO
밝힌	밝히/VV+ㄴ/ETM
것은	것/NNB+은/JX
사실"이라고	사실/NNG+"/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.74.3.2
전날 갑자기 불거져 나온 강호동의 1박2일 하차설(說)을 공식 확인한 것이다.

전날	전날/NNG
갑자기	갑자기/MAG
불거져	불거지/VV+어/EC
나온	나오/VV+ㄴ/ETM
강호동의	강호동/NNP+의/JKG
1박2일	1/SN+박/NNB+2/SN+일/NNB
하차설(說)을	하차설/NNG+(/SS+說/SH+)/SS+을/JKO
공식	공식/NNG
확인한	확인/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.74.3.3
보도자료는 "그러나 (하차 여부가) 결정된 것은 없으며 1박2일을 사랑하는 국민을 위해 (강호동이) 현명한 결정을 할 것으로 믿는다"고도 했다.

보도자료는	보도/NNG+자료/NNG+는/JX
"그러나	"/SS+그러나/MAJ
(하차	(/SS+하차/NNG
여부가)	여부/NNG+가/JKS+)/SS
결정된	결정/NNG+되/XSV+ㄴ/ETM
것은	것/NNB+은/JX
없으며	없/VA+으며/EC
1박2일을	1/SN+박/NNB+2/SN+일/NNB+을/JKO
사랑하는	사랑/NNG+하/XSV+는/ETM
국민을	국민/NNG+을/JKO
위해	위하/VV+아/EC
(강호동이)	(/SS+강호동/NNP+이/JKS+)/SS
현명한	현명/NNG+하/XSA+ㄴ/ETM
결정을	결정/NNG+을/JKO
할	하/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
믿는다"고도	믿/VV+는다/EF+"/SS+고/JKQ+도/JX
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.74.4.1
전날에 이어 이날에도 강호동 본인과 매니저는 물론 다른 1박2일 주요 출연진과 제작진은 기자들 전화를 받지 않고 입을 다물었다.

전날에	전날/NNG+에/JKB
이어	이어/MAG
이날에도	이날/NNG+에/JKB+도/JX
강호동	강호동/NNP
본인과	본인/NNG+과/JC
매니저는	매니저/NNG+는/JX
물론	물론/MAG
다른	다른/MMD
1박2일	1/SN+박/NNB+2/SN+일/NNB
주요	주요/NNG
출연진과	출연진/NNG+과/JC
제작진은	제작진/NNG+은/JX
기자들	기자/NNG+들/XSN
전화를	전화/NNG+를/JKO
받지	받/VV+지/EC
않고	않/VX+고/EC
입을	입/NNG+을/JKO
다물었다.	다물/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.74.4.2
그러나 강호동은 이미 2~3주 전부터 1박2일 멤버·제작진은 물론 친분이 있는 다른 연예인들에까지 '그만두고 싶다'는 생각을 밝힌 것으로 확인됐다.

그러나	그러나/MAJ
강호동은	강호동/NNP+은/JX
이미	이미/MAG
2~3주	2/SN+~/SO+3/SN+주/NNB
전부터	전/NNG+부터/JX
1박2일	1/SN+박/NNB+2/SN+일/NNB
멤버·제작진은	멤버/NNG+·/SP+제작진/NNG+은/JX
물론	물론/MAG
친분이	친분/NNG+이/JKS
있는	있/VA+는/ETM
다른	다른/MMD
연예인들에까지	연예인/NNG+들/XSN+에/JKB+까지/JX
'그만두고	'/SS+그만두/VV+고/EC
싶다'는	싶/VX+다/EF+'/SS+는/ETM
생각을	생각/NNG+을/JKO
밝힌	밝히/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
확인됐다.	확인/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000030.74.5.1
2007년 시작된 1박2일은 지난 4년간 줄곧 시청률 20% 안팎을 기록한 최고 인기 예능 프로그램이다.

2007년	2007/SN+년/NNB
시작된	시작/NNG+되/XSV+ㄴ/ETM
1박2일은	1/SN+박/NNB+2/SN+일/NNB+은/JX
지난	지나/VV+ㄴ/ETM
4년간	4/SN+년/NNB+간/XSN
줄곧	줄곧/MAG
시청률	시청/NNG+률/XSN
20%	20/SN+%/SW
안팎을	안팎/NNG+을/JKO
기록한	기록/NNG+하/XSV+ㄴ/ETM
최고	최고/NNG
인기	인기/NNG
예능	예능/NNG
프로그램이다.	프로그램/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.74.5.2
강호동은 첫 방송부터 나이 어린 멤버들을 이끌며 프로그램의 기둥이자 간판 역할을 해온 핵심 중의 핵심이기 때문이다.

강호동은	강호동/NNP+은/JX
첫	첫/MMN
방송부터	방송/NNG+부터/JX
나이	나이/NNG
어린	어리/VA+ㄴ/ETM
멤버들을	멤버/NNG+들/XSN+을/JKO
이끌며	이끌/VV+며/EC
프로그램의	프로그램/NNG+의/JKG
기둥이자	기둥/NNG+이/VCP+자/EC
간판	간판/NNG
역할을	역할/NNG+을/JKO
해온	하/VV+아/EC+오/VX+ㄴ/ETM
핵심	핵심/NNG
중의	중/NNB+의/JKG
핵심이기	핵심/NNG+이/VCP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.74.5.3
그래서 그가 그만두면 나머지 멤버들까지 동요해 결국 프로그램 폐지로까지 이어질 수 있다는 관측이 많다.

그래서	그래서/MAJ
