# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.73
metadata : {}


# id : NWRW1800000038.73.1.1
네 멋대로 찍어라… 당신의 言語로

네	너/NP+의/JKG
멋대로	멋대로/MAG
찍어라…	찍/VV+어라/EF+…/SE
당신의	당신/NP+의/JKG
言語로	言語/SH+로/JKB


# id : NWRW1800000038.73.2.1
조선미디어 그룹 논픽션 대상… 다큐멘터리 감독 박봉남, 그가 말하는 '좋은 다큐'란

조선미디어	조선미디어/NNP
그룹	그룹/NNG
논픽션	논픽션/NNG
대상…	대상/NNG+…/SE
다큐멘터리	다큐멘터리/NNG
감독	감독/NNG
박봉남,	박봉남/NNP+,/SP
그가	그/NP+가/JKS
말하는	말/NNG+하/XSV+는/ETM
'좋은	'/SS+좋/VA+은/ETM
다큐'란	다큐/NNG+'/SS+란/JX


# id : NWRW1800000038.73.3.1
"당신만이 접근할 수 있는 이야기가 가장 좋은 논픽션 소재다."

"당신만이	"/SS+당신/NP+만/JX+이/JKS
접근할	접근/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
이야기가	이야기/NNG+가/JKS
가장	가장/MAG
좋은	좋/VA+은/ETM
논픽션	논픽션/NNG
소재다."	소재/NNG+이/VCP+다/EF+./SF+"/SS


# id : NWRW1800000038.73.4.1
박봉남(47·사진) 독립 PD는 방글라데시 치타공의 선박 해체 노동자들을 밀착 취재한 다큐멘터리 '아이언 크로우즈(Iron Crows)'로 2009년 암스테르담 국제 다큐멘터리 영화제에서 한국 다큐 사상 최초로 경쟁부문(중편) 대상을 받았다.

박봉남(47·사진)	박봉남/NNP+(/SS+47/SN+·/SP+사진/NNG+)/SS
독립	독립/NNG
PD는	PD/SL+는/JX
방글라데시	방글라데시/NNP
치타공의	치타공/NNP+의/JKG
선박	선박/NNG
해체	해체/NNG
노동자들을	노동자/NNG+들/XSN+을/JKO
밀착	밀착/NNG
취재한	취재/NNG+하/XSV+ㄴ/ETM
다큐멘터리	다큐멘터리/NNG
'아이언	'/SS+아이언/NNP
크로우즈(Iron	크로우즈/NNP+(/SS+Iron/SL
Crows)'로	Crows/SL+)/SS+'/SS+로/JKB
2009년	2009/SN+년/NNB
암스테르담	암스테르담/NNP
국제	국제/NNG
영화제에서	영화제/NNG+에서/JKB
한국	한국/NNP
다큐	다큐/NNG
사상	사상/NNG
최초로	최초/NNG+로/JKB
경쟁부문(중편)	경쟁/NNG+부문/NNG+(/SS+중편/NNG+)/SS
대상을	대상/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.73.4.2
'다큐멘터리의 칸영화제'라 불리는 영화제에서 이 다큐가 상영되자 "하루에 2달러 때문에 목숨 걸고 거대한 선박에 오르는 사람들을 놀랍도록 힘있는 영상으로 보여줬다"는 찬사가 쏟아졌다.

'다큐멘터리의	'/SS+다큐멘터리/NNG+의/JKG
칸영화제'라	칸/NNP+영화제/NNG+'/SS+라/JKQ
불리는	불리/VV+는/ETM
영화제에서	영화제/NNG+에서/JKB
이	이/MMD
다큐가	다큐/NNG+가/JKS
상영되자	상영/NNG+되/XSV+자/EC
"하루에	"/SS+하루/NNG+에/JKB
2달러	2/SN+달러/NNB
때문에	때문/NNB+에/JKB
목숨	목숨/NNG
걸고	걸/VV+고/EC
거대한	거대/NNG+하/XSA+ㄴ/ETM
선박에	선박/NNG+에/JKB
오르는	오르/VV+는/ETM
사람들을	사람/NNG+들/XSN+을/JKO
놀랍도록	놀랍/VA+도록/EC
힘있는	힘/NNG+있/VA+는/ETM
영상으로	영상/NNG+으로/JKB
보여줬다"는	보이/VV+어/EC+주/VX+었/EP+다/EF+"/SS+는/ETM
찬사가	찬사/NNG+가/JKS
쏟아졌다.	쏟아지/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.73.4.3
박씨에게 다큐 잘 찍는 비법을 들었다.

박씨에게	박/NNP+씨/NNB+에게/JKB
다큐	다큐/NNG
잘	잘/MAG
찍는	찍/VV+는/ETM
비법을	비법/NNG+을/JKO
들었다.	듣/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.73.5.1
―다큐 하면 뭔가 거창한 주제가 떠오른다.

―다큐	―/SS+다큐/NNG
하면	하/VV+면/EC
뭔가	뭐/NP+이/VCP+ㄴ가/EF
거창한	거창하/VA+ㄴ/ETM
주제가	주제/NNG+가/JKS
떠오른다.	떠오르/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.73.6.1
"후배가 인디음반 기획사인 '붕가붕가레코드'에서 일하는데, 이름없는 뮤지션이 앨범을 내는 과정을 찍고 있다.

"후배가	"/SS+후배/NNG+가/JKS
인디음반	인디/NNG+음반/NNG
기획사인	기획사/NNG+이/VCP+ㄴ/ETM
'붕가붕가레코드'에서	'/SS+붕가붕가레코드/NNP+'/SS+에서/JKB
일하는데,	일/NNG+하/XSV+는데/EC+,/SP
이름없는	이름/NNG+없/VA+는/ETM
뮤지션이	뮤지션/NNG+이/JKS
앨범을	앨범/NNG+을/JKO
내는	내/VV+는/ETM
과정을	과정/NNG+을/JKO
찍고	찍/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.73.6.2
치매에 걸린 어머니, 귀농한 삼촌….

치매에	치매/NNG+에/JKB
걸린	걸리/VV+ㄴ/ETM
어머니,	어머니/NNG+,/SP
귀농한	귀농/NNG+하/XSV+ㄴ/ETM
삼촌….	삼촌/NNG+…/SE+./SF


# id : NWRW1800000038.73.6.3
자신이 장악할 수 있는 아이템이 좋다.

자신이	자신/NNG+이/JKS
장악할	장악/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
아이템이	아이템/NNG+이/JKS
좋다.	좋/VA+다/EF+./SF


# id : NWRW1800000038.73.6.4
왜 이 소재를 당신이 가장 잘 만들 수 있는지만 설명하면 된다."

왜	왜/MAG
이	이/MMD
소재를	소재/NNG+를/JKO
당신이	당신/NP+이/JKS
가장	가장/MAG
잘	잘/MAG
만들	만들/VV+ㄹ/ETM
수	수/NNB
있는지만	있/VA+는지/EF+만/JX
설명하면	설명/NNG+하/XSV+면/EC
된다."	되/VV+ㄴ다/EF+./SF+"/SS


# id : NWRW1800000038.73.7.1
―일단 소재가 정해졌다면, 그다음은?

―일단	―/SS+일단/MAG
소재가	소재/NNG+가/JKS
정해졌다면,	정하/VV+아/EC+지/VX+었/EP+다면/EC+,/SP
그다음은?	그다음/NNG+은/JX+?/SF


# id : NWRW1800000038.73.8.1
"논픽션은 사실의 기록이다.

"논픽션은	"/SS+논픽션/NNG+은/JX
사실의	사실/NNG+의/JKG
기록이다.	기록/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.73.8.2
쪽방촌이든 노숙자든 그들과 함께 지내면서 담아야 힘 있는 영상이 나온다."

쪽방촌이든	쪽방촌/NNG+이든/JX
노숙자든	노숙자/NNG+든/JX
그들과	그/NP+들/XSN+과/JKB
함께	함께/MAG
지내면서	지내/VV+면서/EC
담아야	담/VV+아야/EC
힘	힘/NNG
있는	있/VA+는/ETM
영상이	영상/NNG+이/JKS
나온다."	나오/VV+ㄴ다/EF+./SF+"/SS


# id : NWRW1800000038.73.9.1
박씨는 18년 동안 40~50작품을 만든 중견 감독.

박씨는	박/NNP+씨/NNB+는/JX
18년	18/SN+년/NNB
동안	동안/NNG
40~50작품을	40/SN+~/SO+50/SN+작품/NNG+을/JKO
만든	만들/VV+ㄴ/ETM
중견	중견/NNG
감독.	감독/NNG+./SF


# id : NWRW1800000038.73.9.2
'아이언 크로우즈' 촬영 때는 치타공 선박 해체 노동자들의 삶을 담기 위해 2년에 걸쳐 5번 방문했다.

'아이언	'/SS+아이언/NNP
크로우즈'	크로우즈/NNP+'/SS
촬영	촬영/NNG
때는	때/NNG+는/JX
치타공	치타공/NNP
선박	선박/NNG
해체	해체/NNG
노동자들의	노동자/NNG+들/XSN+의/JKG
삶을	삶/NNG+을/JKO
담기	담/VV+기/ETN
위해	위하/VV+아/EC
2년에	2/SN+년/NNB+에/JKB
걸쳐	걸치/VV+어/EC
5번	5/SN+번/NNB
방문했다.	방문/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.73.9.3
치타공 해변에는 30여개의 선박 해체소가 있고, 2만여명의 노동자가 거의 맨손으로 매년 200여척의 대형선박을 해치운다.

치타공	치타공/NNP
해변에는	해변/NNG+에/JKB+는/JX
30여개의	30/SN+여/XSN+개/NNB+의/JKG
선박	선박/NNG
해체소가	해체소/NNG+가/JKS
있고,	있/VA+고/EC+,/SP
2만여명의	2/SN+만/NR+여/XSN+명/NNB+의/JKG
노동자가	노동자/NNG+가/JKS
거의	거의/MAG
맨손으로	맨/XPN+손/NNG+으로/JKB
매년	매년/MAG
200여척의	200/SN+여/XSN+척/NNB+의/JKG
대형선박을	대형/NNG+선박/NNG+을/JKO
해치운다.	해치우/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.73.9.4
그 대가로 매년 20여명의 노동자가 목숨을 잃는다.

그	그/MMD
대가로	대가/NNG+로/JKB
매년	매년/MAG
20여명의	20/SN+여/XSN+명/NNB+의/JKG
노동자가	노동자/NNG+가/JKS
목숨을	목숨/NNG+을/JKO
잃는다.	잃/VV+는다/EF+./SF


# id : NWRW1800000038.73.9.5
현장은 참혹했다.

현장은	현장/NNG+은/JX
참혹했다.	참혹/NNG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000038.73.9.6
높이 10m, 무게 20t의 철덩어리가 떨어지는 장면을 찍으면서 그도 죽을 뻔한 고비를 넘겼다.

높이	높이/NNG
10m,	10/SN+m/SW+,/SP
무게	무게/NNG
20t의	20/SN+t/SW+의/JKG
철덩어리가	철/NNG+덩어리/NNG+가/JKS
떨어지는	떨어지/VV+는/ETM
장면을	장면/NNG+을/JKO
찍으면서	찍/VV+으면서/EC
그도	그/NP+도/JX
죽을	죽/VV+을/ETM
뻔한	뻔/NNB+하/XSA+ㄴ/ETM
고비를	고비/NNG+를/JKO
넘겼다.	넘기/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.73.10.1
박씨는 "넉 달간 체류하면서 하루도 빼놓지 않고 현장에 갔고, 그들이 먹는 밥을 함께 먹었다"고 했다.

박씨는	박/NNP+씨/NNB+는/JX
"넉	"/SS+넉/MMN
달간	달/NNB+간/XSN
체류하면서	체류/NNG+하/XSV+면서/EC
하루도	하루/NNG+도/JX
빼놓지	빼놓/VV+지/EC
않고	않/VX+고/EC
현장에	현장/NNG+에/JKB
갔고,	가/VV+았/EP+고/EC+,/SP
그들이	그/NP+들/XSN+이/JKS
먹는	먹/VV+는/ETM
밥을	밥/NNG+을/JKO
함께	함께/MAG
먹었다"고	먹/VV+었/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.73.10.2
"아주 더러운 접시에 밥과 카레를 얹어서 내준다.

"아주	"/SS+아주/MAG
더러운	더럽/VA+ㄴ/ETM
접시에	접시/NNG+에/JKB
밥과	밥/NNG+과/JC
카레를	카레/NNG+를/JKO
얹어서	얹/VV+어서/EC
내준다.	내주/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.73.10.3
그들과 똑같이 손으로 핥아먹는 게, 쉽지는 않았다.

그들과	그/NP+들/XSN+과/JKB
똑같이	똑같이/MAG
손으로	손/NNG+으로/JKB
핥아먹는	핥아먹/VV+는/ETM
게,	거/NNB+이/JKS+,/SP
쉽지는	쉽/VA+지/EC+는/JX
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.73.10.4
그래도 먹었다.

그래도	그래도/MAJ
먹었다.	먹/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.73.10.5
그래야 상대가 마음을 연다."

그래야	그렇/VA+어야/EC
상대가	상대/NNG+가/JKS
마음을	마음/NNG+을/JKO
연다."	열/VV+ㄴ다/EF+./SF+"/SS


# id : NWRW1800000038.73.11.1
―형식에 대해서 아이디어를 준다면.

―형식에	―/SS+형식/NNG+에/JKB
대해서	대하/VV+아서/EC
아이디어를	아이디어/NNG+를/JKO
준다면.	주/VV+ㄴ다면/EC+./SF


# id : NWRW1800000038.73.12.1
"요즘 논픽션은 형식이 다양해졌다.

"요즘	"/SS+요즘/NNG
논픽션은	논픽션/NNG+은/JX
형식이	형식/NNG+이/JKC
다양해졌다.	다양/NNG+하/XSA+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000038.73.12.2
일부를 드라마틱하게 구성할 수도 있고, 담담하게 본인의 내레이션을 넣을 수도 있다.

일부를	일부/NNG+를/JKO
드라마틱하게	드라마틱/NNG+하/XSA+게/EC
구성할	구성/NNG+하/XSV+ㄹ/ETM
수도	수/NNB+도/JX
있고,	있/VA+고/EC+,/SP
담담하게	담담하/VA+게/EC
본인의	본인/NNG+의/JKG
내레이션을	내레이션/NNG+을/JKO
넣을	넣/VV+을/ETM
있다.	있/VA+다/EF+./SF


# id : NWRW1800000038.73.12.3
기존 문법 대신 상상력을 발휘해라.

기존	기존/NNG
문법	문법/NNG
대신	대신/NNG
상상력을	상상력/NNG+을/JKO
발휘해라.	발휘/NNG+하/XSV+아라/EF+./SF


# id : NWRW1800000038.73.12.4
장비는 문제가 안 된다.

장비는	장비/NNG+는/JX
문제가	문제/NNG+가/JKS
안	안/MAG
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.73.12.5
스마트폰으로도 고화질 영상을 찍는 시대다.

스마트폰으로도	스마트폰/NNG+으로/JKB+도/JX
고화질	고/XPN+화질/NNG
영상을	영상/NNG+을/JKO
찍는	찍/VV+는/ETM
시대다.	시대/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.73.12.6
지역 영상미디어센터에서 장비도 빌릴 수 있다.

지역	지역/NNG
영상미디어센터에서	영상/NNG+미디어/NNG+센터/NNG+에서/JKB
장비도	장비/NNG+도/JX
빌릴	빌리/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000038.73.12.7
다만 촬영할 때는 사운드에 신경 써라.

다만	다만/MAG
촬영할	촬영/NNG+하/XSV+ㄹ/ETM
때는	때/NNG+는/JX
사운드에	사운드/NNG+에/JKB
신경	신경/NNG
써라.	쓰/VV+어라/EF+./SF


# id : NWRW1800000038.73.12.8
영상은 보정이 가능하지만 사운드는 방법이 없다."

영상은	영상/NNG+은/JX
보정이	보정/NNG+이/JKS
가능하지만	가능/NNG+하/XSA+지만/EC
사운드는	사운드/NNG+는/JX
방법이	방법/NNG+이/JKS
없다."	없/VA+다/EF+./SF+"/SS


# id : NWRW1800000038.73.13.1
박씨는 "이번 논픽션대상 공모에 학생들도 많이 응모해줬으면 한다"고 했다.

박씨는	박/NNP+씨/NNB+는/JX
"이번	"/SS+이번/NNG
논픽션대상	논픽션/NNG+대상/NNG
공모에	공모/NNG+에/JKB
학생들도	학생/NNG+들/XSN+도/JX
많이	많이/MAG
응모해줬으면	응모/NNG+하/XSV+아/EC+주/VX+었/EP+으면/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.73.13.2
"학교 폭력 현실은 청소년들이 가장 잘 알지 않겠는가."

"학교	"/SS+학교/NNG
폭력	폭력/NNG
현실은	현실/NNG+은/JX
청소년들이	청소년/NNG+들/XSN+이/JKS
가장	가장/MAG
잘	잘/MAG
알지	알/VV+지/EC
않겠는가."	않/VX+겠/EP+는가/EF+./SF+"/SS


