# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.223
metadata : {}


# id : NWRW1800000029.223.1.1
“왕재산수사 인권침해” vs “정당한 간첩 수사”

“왕재산수사	“/SS+왕재산/NNP+수사/NNG
인권침해”	인권/NNG+침해/NNG+”/SS
vs	vs/SL
“정당한	“/SS+정당하/VA+ㄴ/ETM
간첩	간첩/NNG
수사”	수사/NNG+”/SS


# id : NWRW1800000029.223.2.1
민노총 등 국정원앞 시위… 국정원 “정치 공세” 일축

민노총	민노총/NNP
등	등/NNB
국정원앞	국정원/NNG+앞/NNG
시위…	시위/NNG+…/SE
국정원	국정원/NNG
“정치	“/SS+정치/NNG
공세”	공세/NNG+”/SS
일축	일축/NNG


# id : NWRW1800000029.223.3.1
검찰과 국가정보원이 수사 중인 일명 ‘왕재산 사건’에 대해 진보진영의 반발이 거세지고 있다.

검찰과	검찰/NNG+과/JC
국가정보원이	국가/NNG+정보원/NNG+이/JKS
수사	수사/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
일명	일명/NNG
‘왕재산	‘/SS+왕재산/NNP
사건’에	사건/NNG+’/SS+에/JKB
대해	대하/VV+아/EC
진보진영의	진보/NNG+진영/NNG+의/JKG
반발이	반발/NNG+이/JKS
거세지고	거세지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.223.3.2
전국민주노동조합총연맹(민주노총)과 민주노동당 등은 ‘신(新)공안 탄압’이라며 실력행사에 나서고 있지만 무리한 여론몰이라는 지적도 나온다.

전국민주노동조합총연맹(민주노총)과	전국민주노동조합총연맹/NNP+(/SS+민주노총/NNP+)/SS+과/JC
민주노동당	민주노동당/NNP
등은	등/NNB+은/JX
‘신(新)공안	‘/SS+신/XPN+(/SS+新/SH+)/SS+공안/NNG
탄압’이라며	탄압/NNG+’/SS+이/VCP+라며/EC
실력행사에	실력/NNG+행사/NNG+에/JKB
나서고	나서/VV+고/EC
있지만	있/VX+지만/EC
무리한	무리/NNG+하/XSV+ㄴ/ETM
여론몰이라는	여론/NNG+몰이/NNG+이/VCP+라는/ETM
지적도	지적/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.223.4.1
민주노총 조합원 등 100여 명으로 구성된 ‘노동자통일선봉대’와 민주노동당은 14일 오전 서울 서초구 내곡동 국가정보원 앞에서 수사 철회를 요구하는 시위를 벌였다.

민주노총	민주노총/NNP
조합원	조합원/NNG
등	등/NNB
100여	100/SN+여/XSN
명으로	명/NNB+으로/JKB
구성된	구성/NNG+되/XSV+ㄴ/ETM
‘노동자통일선봉대’와	‘/SS+노동자/NNG+통일/NNG+선봉대/NNG+’/SS+와/JC
민주노동당은	민주노동당/NNP+은/JX
14일	14/SN+일/NNB
오전	오전/NNG
서울	서울/NNP
서초구	서초구/NNP
내곡동	내곡동/NNP
국가정보원	국가/NNG+정보원/NNG
앞에서	앞/NNG+에서/JKB
수사	수사/NNG
철회를	철회/NNG+를/JKO
요구하는	요구/NNG+하/XSV+는/ETM
시위를	시위/NNG+를/JKO
벌였다.	벌이/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.223.4.2
시위대는 “(검찰 등이) 조직명도 제대로 파악하지 못하고 있다는 것은 증거 없는 수사라는 증거”라며 “국정원이 변호인 접견을 제한하고, 변호인 소지품을 뒤지거나 욕설까지 했다”고 주장했다.

시위대는	시위대/NNG+는/JX
“(검찰	“/SS+(/SS+검찰/NNG
등이)	등/NNB+이/JKS+)/SS
조직명도	조직명/NNG+도/JX
제대로	제대로/MAG
파악하지	파악/NNG+하/XSV+지/EC
못하고	못하/VX+고/EC
있다는	있/VX+다는/ETM
것은	것/NNB+은/JX
증거	증거/NNG
없는	없/VA+는/ETM
수사라는	수사/NNG+이/VCP+라는/ETM
증거”라며	증거/NNG+”/SS+이/VCP+라며/EC
“국정원이	“/SS+국정원/NNG+이/JKS
변호인	변호인/NNG
접견을	접견/NNG+을/JKO
제한하고,	제한/NNG+하/XSV+고/EC+,/SP
소지품을	소지품/NNG+을/JKO
뒤지거나	뒤지/VV+거나/EC
욕설까지	욕설/NNG+까지/JX
했다”고	하/VV+았/EP+다/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.223.4.3
최창준 민주노동당 자주통일위원장은 “한반도에 평화 분위기가 조성되는 시점에 공안사건이 터지고 한상대 검찰총장이 종북·좌익세력과의 전쟁을 선포했다”며 “이는 정권 차원의 조작 사건”이라고 주장했다.

최창준	최창준/NNP
민주노동당	민주노동당/NNP
자주통일위원장은	자주/NNG+통일/NNG+위원장/NNG+은/JX
“한반도에	“/SS+한반도/NNP+에/JKB
평화	평화/NNG
분위기가	분위기/NNG+가/JKS
조성되는	조성/NNG+되/XSV+는/ETM
시점에	시점/NNG+에/JKB
공안사건이	공안/NNG+사건/NNG+이/JKS
터지고	터지/VV+고/EC
한상대	한상대/NNP
검찰총장이	검찰/NNG+총장/NNG+이/JKS
종북·좌익세력과의	종북/NNG+·/SP+좌익/NNG+세력/NNG+과/JKB+의/JKG
전쟁을	전쟁/NNG+을/JKO
선포했다”며	선포/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
“이는	“/SS+이/NP+는/JX
정권	정권/NNG
차원의	차원/NNG+의/JKG
조작	조작/NNG
사건”이라고	사건/NNG+”/SS+이라고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.223.5.1
하지만 법조계와 시민단체 일각에서는 이들이 자신들에게 불리한 사안이면 무조건 ‘정권의 음모’나 ‘공안 탄압’으로 몰아붙이고 있다는 지적도 나오고 있다.

하지만	하지만/MAJ
법조계와	법조/NNG+계/XSN+와/JC
시민단체	시민/NNG+단체/NNG
일각에서는	일각/NNG+에서/JKB+는/JX
이들이	이/NP+들/XSN+이/JKS
자신들에게	자신/NNG+들/XSN+에게/JKB
불리한	불리/NNG+하/XSA+ㄴ/ETM
사안이면	사안/NNG+이/VCP+면/EC
무조건	무조건/MAG
‘정권의	‘/SS+정권/NNG+의/JKG
음모’나	음모/NNG+’/SS+나/JC
‘공안	‘/SS+공안/NNG
탄압’으로	탄압/NNG+’/SS+으로/JKB
몰아붙이고	몰아붙이/VV+고/EC
있다는	있/VX+다는/ETM
지적도	지적/NNG+도/JX
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.223.5.2
사실관계가 점차 확인되고 있는 사건에 대해 아무런 근거도 대지 못하면서 ‘조작’ 또는 ‘정치적 수사’라고 주장하면서 ‘공안탄압’ 분위기를 만들려는 의도가 엿보인다는 것.

사실관계가	사실/NNG+관계/NNG+가/JKS
점차	점차/MAG
확인되고	확인/NNG+되/XSV+고/EC
있는	있/VX+는/ETM
사건에	사건/NNG+에/JKB
대해	대하/VV+아/EC
아무런	아무런/MMD
근거도	근거/NNG+도/JX
대지	대/VV+지/EC
못하면서	못하/VX+면서/EC
‘조작’	‘/SS+조작/NNG+’/SS
또는	또는/MAG
‘정치적	‘/SS+정치/NNG+적/XSN
수사’라고	수사/NNG+’/SS+라고/JKQ
주장하면서	주장/NNG+하/XSV+면서/EC
‘공안탄압’	‘/SS+공안/NNG+탄압/NNG+’/SS
분위기를	분위기/NNG+를/JKO
만들려는	만들/VV+려는/ETM
의도가	의도/NNG+가/JKS
엿보인다는	엿보이/VV+ㄴ다는/ETM
것.	것/NNB+./SF


# id : NWRW1800000029.223.5.3
일각에서는 23일 구속피의자의 기소시한을 앞두고 검찰과 국정원에 불리한 여론을 조성하려고 이번 시위를 진행한 것 아니냐는 지적도 있다.

일각에서는	일각/NNG+에서/JKB+는/JX
23일	23/SN+일/NNB
구속피의자의	구속/NNG+피의자/NNG+의/JKG
기소시한을	기소/NNG+시한/NNG+을/JKO
앞두고	앞두/VV+고/EC
검찰과	검찰/NNG+과/JC
국정원에	국정원/NNG+에/JKB
불리한	불리/NNG+하/XSA+ㄴ/ETM
여론을	여론/NNG+을/JKO
조성하려고	조성/NNG+하/XSV+려고/EC
이번	이번/NNG
시위를	시위/NNG+를/JKO
진행한	진행/NNG+하/XSV+ㄴ/ETM
것	것/NNB
아니냐는	아니/VCN+냐는/ETM
지적도	지적/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000029.223.6.1
왕재산은 북한 김일성 주석이 항일무장 투쟁의 국내 확대 전략을 내놓은 함경북도 온성군의 산(山)으로 이번에 적발된 반(反)국가단체의 조직명이다.

왕재산은	왕재산/NNP+은/JX
북한	북한/NNP
김일성	김일성/NNP
주석이	주석/NNG+이/JKS
항일무장	항일/NNG+무장/NNG
투쟁의	투쟁/NNG+의/JKG
국내	국내/NNG
확대	확대/NNG
전략을	전략/NNG+을/JKO
내놓은	내놓/VV+은/ETM
함경북도	함경북도/NNP
온성군의	온성군/NNP+의/JKG
산(山)으로	산/NNG+(/SS+山/SH+)/SS+으로/JKB
이번에	이번/NNG+에/JKB
적발된	적발/NNG+되/XSV+ㄴ/ETM
반(反)국가단체의	반/XPN+(/SS+反/SH+)/SS+국가/NNG+단체/NNG+의/JKG
조직명이다.	조직명/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.223.6.2
지하간첩단이 적발된 것은 조선노동당이 남한에 구축한 ‘구국전위’의 실체가 드러났던 1994년 이후 17년 만이다.

지하간첩단이	지하/NNG+간첩단/NNG+이/JKS
적발된	적발/NNG+되/XSV+ㄴ/ETM
것은	것/NNB+은/JX
조선노동당이	조선노동당/NNP+이/JKS
남한에	남한/NNP+에/JKB
구축한	구축/NNG+하/XSV+ㄴ/ETM
‘구국전위’의	‘/SS+구국/NNG+전위/NNG+’/SS+의/JKG
실체가	실체/NNG+가/JKS
드러났던	드러나/VV+았/EP+던/ETM
1994년	1994/SN+년/NNB
이후	이후/NNG
17년	17/SN+년/NNB
만이다.	만/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000029.223.7.1
검찰은 이미 혐의가 상당 부분 확인된 관련자 5명을 구속하고 민주노총 조합원과 민주노동당 당직자로 수사를 확대하고 있다.

검찰은	검찰/NNG+은/JX
이미	이미/MAG
혐의가	혐의/NNG+가/JKS
상당	상당/NNG
부분	부분/NNG
확인된	확인/NNG+되/XSV+ㄴ/ETM
관련자	관련자/NNG
5명을	5/SN+명/NNB+을/JKO
구속하고	구속/NNG+하/XSV+고/EC
민주노총	민주노총/NNP
조합원과	조합원/NNG+과/JC
민주노동당	민주노동당/NNP
당직자로	당직자/NNG+로/JKB
수사를	수사/NNG+를/JKO
확대하고	확대/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.223.7.2
검찰은 이들이 북한 노동당 225국에서 직접 지령을 받고 지하당을 조직해 남한 정당 동향 등 각종 정보를 북한에 보고한 것으로 보고 있다.

검찰은	검찰/NNG+은/JX
이들이	이/NP+들/XSN+이/JKS
북한	북한/NNP
노동당	노동당/NNP
225국에서	225국/NNG+에서/JKB
직접	직접/MAG
지령을	지령/NNG+을/JKO
받고	받/VV+고/EC
지하당을	지하당/NNG+을/JKO
조직해	조직/NNG+하/XSV+아/EC
남한	남한/NNP
정당	정당/NNG
동향	동향/NNG
등	등/NNB
각종	각종/NNG
정보를	정보/NNG+를/JKO
북한에	북한/NNP+에/JKB
보고한	보고/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.223.8.1
인권 침해 논란에 대해서도 국정원은 “(구속피의자들의) 변호인들은 청사 방문객들이 꼭 거쳐야 하는 보안검색대를 무시하거나 참고인들을 데리고 가는 등 오히려 수사를 방해하고 있다”며 “명백한 인적, 물적 증거를 토대로 수사하고 있으며 인권도 최대한 보장하고 있다”고 반박했다.

인권	인권/NNG
침해	침해/NNG
논란에	논란/NNG+에/JKB
대해서도	대하/VV+아서/EC+도/JX
국정원은	국정원/NNG+은/JX
“(구속피의자들의)	“/SS+(/SS+구속/NNG+피의자/NNG+들/XSN+의/JKG+)/SS
변호인들은	변호인/NNG+들/XSN+은/JX
청사	청사/NNG
방문객들이	방문객/NNG+들/XSN+이/JKS
꼭	꼭/MAG
거쳐야	거치/VV+어야/EC
하는	하/VX+는/ETM
보안검색대를	보안/NNG+검색대/NNG+를/JKO
무시하거나	무시/NNG+하/XSV+거나/EC
참고인들을	참고인/NNG+들/XSN+을/JKO
데리고	데리/VV+고/EC
가는	가/VV+는/ETM
등	등/NNB
오히려	오히려/MAG
수사를	수사/NNG+를/JKO
방해하고	방해/NNG+하/XSV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“명백한	“/SS+명백하/VA+ㄴ/ETM
인적,	인/NNG+적/XSN+,/SP
물적	물/NNG+적/XSN
증거를	증거/NNG+를/JKO
토대로	토대/NNG+로/JKB
수사하고	수사/NNG+하/XSV+고/EC
있으며	있/VX+으며/EC
인권도	인권/NNG+도/JX
최대한	최대한/MAG
보장하고	보장/NNG+하/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
반박했다.	반박/NNG+하/XSV+았/EP+다/EF+./SF


