# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.16
metadata : {}


# id : NWRW1800000037.16.1.1
한번에 3명 이상 동시에 전화통화… SKT 스마트폰 앱 ‘T그룹온’

한번에	한번/NNG+에/JKB
3명	3/SN+명/NNB
이상	이상/NNG
동시에	동시/NNG+에/JKB
전화통화…	전화/NNG+통화/NNG+…/SE
SKT	SKT/SL
스마트폰	스마트폰/NNG
앱	앱/NNG
‘T그룹온’	‘/SS+T그룹온/NNP+’/SS


# id : NWRW1800000037.16.2.1
3명 이상이 휴대전화로 동시에 통화할 수 있는 서비스가 나왔다.

3명	3/SN+명/NNB
이상이	이상/NNG+이/JKS
휴대전화로	휴대/NNG+전화/NNG+로/JKB
동시에	동시/NNG+에/JKB
통화할	통화/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
서비스가	서비스/NNG+가/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.16.2.2
SK텔레콤은 스마트폰 앱(응용프로그램)을 이용해 3명 이상의 동시 음성통화를 지원하는 다자간 통화서비스 ‘T그룹온(on)’을 선보인다고 17일 밝혔다.

SK텔레콤은	SK텔레콤/NNP+은/JX
스마트폰	스마트폰/NNG
앱(응용프로그램)을	앱/NNG+(/SS+응용/NNG+프로그램/NNG+)/SS+을/JKO
이용해	이용/NNG+하/XSV+아/EC
3명	3/SN+명/NNB
이상의	이상/NNG+의/JKG
동시	동시/NNG
음성통화를	음성/NNG+통화/NNG+를/JKO
지원하는	지원/NNG+하/XSV+는/ETM
다자간	다자/NNG+간/NNB
통화서비스	통화/NNG+서비스/NNG
‘T그룹온(on)’을	‘/SS+T그룹온/NNP+(/SS+on/SL+)/SS+’/SS+을/JKO
선보인다고	선보이/VV+ㄴ다고/EC
17일	17/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.16.3.1
기존에도 한 번에 여러 사람과 통화를 가능케 하는 스마트폰 앱이 있었지만 이런 앱은 통화에 참여하는 사람들이 모두 같은 앱을 설치하고, 사용법도 익혀야 하는 게 문제였다.

기존에도	기존/NNG+에/JKB+도/JX
한	한/MMN
번에	번/NNB+에/JKB
여러	여러/MMN
사람과	사람/NNG+과/JKB
통화를	통화/NNG+를/JKO
가능케	가능/NNG+하/XSA+게/EC
하는	하/VX+는/ETM
스마트폰	스마트폰/NNG
앱이	앱/NNG+이/JKS
있었지만	있/VA+었/EP+지만/EC
이런	이런/MMD
앱은	앱/NNG+은/JX
통화에	통화/NNG+에/JKB
참여하는	참여/NNG+하/XSV+는/ETM
사람들이	사람/NNG+들/XSN+이/JKS
모두	모두/MAG
같은	같/VA+은/ETM
앱을	앱/NNG+을/JKO
설치하고,	설치/NNG+하/XSV+고/EC+,/SP
사용법도	사용법/NNG+도/JX
익혀야	익히/VV+어야/EC
게	거/NNB+이/JKS
문제였다.	문제/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000037.16.3.2
이에 반해 T그룹온은 앱을 설치한 사람이 ‘대화방’의 ‘방장’이 된 뒤 함께 통화할 사람을 초대하면 단체통화가 되기 때문에 훨씬 간편하다.

이에	이/NP+에/JKB
반해	반하/VV+아/EC
T그룹온은	T그룹온/NNP+은/JX
앱을	앱/NNG+을/JKO
설치한	설치/NNG+하/XSV+ㄴ/ETM
사람이	사람/NNG+이/JKS
‘대화방’의	‘/SS+대화방/NNG+’/SS+의/JKG
‘방장’이	‘/SS+방장/NNG+’/SS+이/JKC
된	되/VV+ㄴ/ETM
뒤	뒤/NNG
함께	함께/MAG
통화할	통화/NNG+하/XSV+ㄹ/ETM
사람을	사람/NNG+을/JKO
초대하면	초대/NNG+하/XSV+면/EC
단체통화가	단체/NNG+통화/NNG+가/JKC
되기	되/VV+기/ETN
때문에	때문/NNB+에/JKB
훨씬	훨씬/MAG
간편하다.	간편하/VA+다/EF+./SF


# id : NWRW1800000037.16.3.3
통화 상대방이 스마트폰이 아닌 일반 휴대전화나 집전화를 써도 된다.

통화	통화/NNG
상대방이	상대방/NNG+이/JKS
스마트폰이	스마트폰/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
일반	일반/NNG
휴대전화나	휴대/NNG+전화/NNG+나/JC
집전화를	집/NNG+전화/NNG+를/JKO
써도	쓰/VV+어도/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.16.4.1
대화에 참여하려면 방장이 걸어온 전화를 받거나 문자메시지로 전달받은 대화방의 전화번호로 전화를 걸면 된다.

대화에	대화/NNG+에/JKB
참여하려면	참여/NNG+하/XSV+려면/EC
방장이	방장/NNG+이/JKS
걸어온	걸어오/VV+ㄴ/ETM
전화를	전화/NNG+를/JKO
받거나	받/VV+거나/EC
문자메시지로	문자/NNG+메시지/NNG+로/JKB
전달받은	전달/NNG+받/XSV+은/ETM
대화방의	대화방/NNG+의/JKG
전화번호로	전화번호/NNG+로/JKB
걸면	걸/VV+면/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.16.4.2
현재 동시에 통화할 수 있는 최대 인원수는 1만 명으로, 회사 측은 앞으로 이 숫자를 더 늘릴 계획이다.

현재	현재/MAG
동시에	동시/NNG+에/JKB
통화할	통화/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
최대	최대/NNG
인원수는	인원수/NNG+는/JX
1만	1/SN+만/NR
명으로,	명/NNB+으로/JKB+,/SP
회사	회사/NNG
측은	측/NNB+은/JX
앞으로	앞/NNG+으로/JKB
이	이/MMD
숫자를	숫자/NNG+를/JKO
더	더/MAG
늘릴	늘리/VV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.16.5.1
통화료는 방장이 직접 전화를 걸어 초대할 경우 상대방의 통화료까지 부담하며, 통화 상대방이 대화방에 전화를 걸면 참가자들이 각각 자신의 통화료를 부담한다.

통화료는	통화료/NNG+는/JX
방장이	방장/NNG+이/JKS
직접	직접/MAG
전화를	전화/NNG+를/JKO
걸어	걸/VV+어/EC
초대할	초대/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
상대방의	상대방/NNG+의/JKG
통화료까지	통화료/NNG+까지/JX
부담하며,	부담/NNG+하/XSV+며/EC+,/SP
통화	통화/NNG
상대방이	상대방/NNG+이/JKS
대화방에	대화방/NNG+에/JKB
걸면	걸/VV+면/EC
참가자들이	참가자/NNG+들/XSN+이/JKS
각각	각각/MAG
자신의	자신/NNG+의/JKG
통화료를	통화료/NNG+를/JKO
부담한다.	부담/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.16.5.2
별도의 이용료는 없고 휴대전화 통화요금(초당 1.8원)만 내면 쓸 수 있다.

별도의	별도/NNG+의/JKG
이용료는	이용료/NNG+는/JX
없고	없/VA+고/EC
휴대전화	휴대/NNG+전화/NNG
통화요금(초당	통화/NNG+요금/NNG+(/SS+초/NNG+당/XSN
1.8원)만	1/SN+./SP+8/SN+원/NNB+)/SS+만/JX
내면	내/VV+면/EC
