# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.173
metadata : {}


# id : NWRW1800000033.173.1.1
“365일 선물 사주고 싶어요” 아낌없이 쓰는 이모-고모들

“365일	“/SS+365/SN+일/NNB
선물	선물/NNG
사주고	사/VV+아/EC+주/VX+고/EC
싶어요”	싶/VX+어요/EF+”/SS
아낌없이	아낌없이/MAG
쓰는	쓰/VV+는/ETM
이모-고모들	이모/NNG+-/SO+고모/NNG+들/XSN


# id : NWRW1800000033.173.2.1
눈에 넣어도 안 아파… 조카 바보

눈에	눈/NNG+에/JKB
넣어도	넣/VV+어도/EC
안	안/MAG
아파…	아프/VA+아/EC+…/SE
조카	조카/NNG
바보	바보/NNG


# id : NWRW1800000033.173.3.1
서울의 한 대기업에 다니는 정진영 씨(34·여)는 지난해 7월 남동생 부부가 아들을 낳은 뒤 조카의 선물을 사는 데 적잖은 돈을 썼다.

서울의	서울/NNP+의/JKG
한	한/MMN
대기업에	대/XPN+기업/NNG+에/JKB
다니는	다니/VV+는/ETM
정진영	정진영/NNP
씨(34·여)는	씨/NNB+(/SS+34/SN+·/SP+여/NNG+)/SS+는/JX
지난해	지난해/NNG
7월	7/SN+월/NNB
남동생	남동생/NNG
부부가	부부/NNG+가/JKS
아들을	아들/NNG+을/JKO
낳은	낳/VV+은/ETM
뒤	뒤/NNG
조카의	조카/NNG+의/JKG
선물을	선물/NNG+을/JKO
사는	사/VV+는/ETM
데	데/NNB
적잖은	적잖/VA+은/ETM
돈을	돈/NNG+을/JKO
썼다.	쓰/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.173.3.2
조카가 태어난 직후 미국 뉴욕에 출장을 갔을 때는 ‘자카디’ ‘봉프앙’ 등 고가의 아기 옷을 샀다.

조카가	조카/NNG+가/JKS
태어난	태어나/VV+ㄴ/ETM
직후	직후/NNG
미국	미국/NNP
뉴욕에	뉴욕/NNP+에/JKB
출장을	출장/NNG+을/JKO
갔을	가/VV+았/EP+을/ETM
때는	때/NNG+는/JX
‘자카디’	‘/SS+자카디/NNP+’/SS
‘봉프앙’	‘/SS+봉프앙/NNP+’/SS
등	등/NNB
고가의	고가/NNG+의/JKG
아기	아기/NNG
옷을	옷/NNG+을/JKO
샀다.	사/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.173.3.3
얼마 전엔 약 50만 원짜리 턱시도를 사다 줬다.

얼마	얼마/NNG
전엔	전/NNG+에/JKB+ㄴ/JX
약	약/MMA
50만	50/SN+만/NR
원짜리	원/NNB+짜리/XSN
턱시도를	턱시도/NNG+를/JKO
사다	사/VV+다/EC
줬다.	주/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.173.3.4
‘버버리 칠드런’과 같은 명품 옷을 비롯해 자전거, 교구 등도 선물했다.

‘버버리	‘/SS+버버리/NNP
칠드런’과	칠드런/NNG+’/SS+과/JKB
같은	같/VA+은/ETM
명품	명품/NNG
옷을	옷/NNG+을/JKO
비롯해	비롯하/VV+아/EC
자전거,	자전거/NNG+,/SP
교구	교구/NNG
등도	등/NNB+도/JX
선물했다.	선물/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.173.4.1
그는 “출장을 가면 하루는 조카 선물을 사는 데 많은 시간을 보낸다”며 “아이 옷이 너무 예뻐서 쇼핑하는 것 자체가 큰 즐거움”이라고 말했다.

그는	그/NP+는/JX
“출장을	“/SS+출장/NNG+을/JKO
가면	가/VV+면/EC
하루는	하루/NNG+는/JX
조카	조카/NNG
선물을	선물/NNG+을/JKO
사는	사/VV+는/ETM
데	데/NNB
많은	많/VA+은/ETM
시간을	시간/NNG+을/JKO
보낸다”며	보내/VV+ㄴ다/EF+”/SS+며/EC
“아이	“/SS+아이/NNG
옷이	옷/NNG+이/JKS
너무	너무/MAG
예뻐서	예쁘/VA+어서/EC
쇼핑하는	쇼핑/NNG+하/XSV+는/ETM
것	것/NNB
자체가	자체/NNG+가/JKS
큰	크/VA+ㄴ/ETM
즐거움”이라고	즐거움/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.173.4.2
조카 사진만 보면 직장에서 쌓인 하루 피로가 모두 날아간다는 정 씨는 벌써부터 돌잔치 때 줄 ‘특별한 선물’을 고민 중이다.

조카	조카/NNG
사진만	사진/NNG+만/JX
보면	보/VV+면/EC
직장에서	직장/NNG+에서/JKB
쌓인	쌓이/VV+ㄴ/ETM
하루	하루/NNG
피로가	피로/NNG+가/JKS
모두	모두/MAG
날아간다는	날아가/VV+ㄴ다는/ETM
정	정/NNP
씨는	씨/NNB+는/JX
벌써부터	벌써/MAG+부터/JX
돌잔치	돌잔치/NNG
때	때/NNG
줄	주/VV+ㄹ/ETM
‘특별한	‘/SS+특별/NNG+하/XSA+ㄴ/ETM
선물’을	선물/NNG+’/SS+을/JKO
고민	고민/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.173.5.1
정 씨와 같은 ‘조카바보’들이 늘고 있다.

정	정/NNP
씨와	씨/NNB+와/JKB
같은	같/VA+은/ETM
‘조카바보’들이	‘/SS+조카/NNG+바보/NNG+’/SS+들/XSN+이/JKS
늘고	늘/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.173.5.2
조카바보란 소득은 안정된 반면 부양가족이 없다 보니 조카에게 애정과 관심을 쏟고 선물 공세를 하는 이모와 고모를 가리키는 말이다.

조카바보란	조카/NNG+바보/NNG+란/JX
소득은	소득/NNG+은/JX
