# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.283
metadata : {}


# id : NWRW1800000040.283.1.1
날벼락 맞은 레슬링 “희망은 있다”

날벼락	날/XPN+벼락/NNG
맞은	맞/VV+은/ETM
레슬링	레슬링/NNG
“희망은	“/SS+희망/NNG+은/JX
있다”	있/VA+다/EF+”/SS


# id : NWRW1800000040.283.2.1
2020 올림픽 종목 제외 충격 속

2020	2020/SN
올림픽	올림픽/NNG
종목	종목/NNG
제외	제외/NNG
충격	충격/NNG
속	속/NNG


# id : NWRW1800000040.283.3.1
5월 집행위 등 두차례 반전 기회

5월	5/SN+월/NNB
집행위	집행위/NNG
등	등/NNB
두차례	두/MMN+차례/NNG
반전	반전/NNG
기회	기회/NNG


# id : NWRW1800000040.283.4.1
레슬링 강국 미·일·러와 공조 기대

레슬링	레슬링/NNG
강국	강국/NNG
미·일·러와	미/NNP+·/SP+일/NNP+·/SP+러/NNP+와/JC
공조	공조/NNG
기대	기대/NNG


# id : NWRW1800000040.283.5.1
“날벼락을 맞은 기분이다.”

“날벼락을	“/SS+날/XPN+벼락/NNG+을/JKO
맞은	맞/VV+은/ETM
기분이다.”	기분/NNG+이/VCP+다/EF+./SF+”/SS


# id : NWRW1800000040.283.6.1
12일 스위스 로잔에서 열린 국제올림픽위원회(IOC) 집행위원회에서 레슬링이 2020 여름올림픽 25개 핵심종목(Core sports)에서 제외된 뒤, 국내 레슬링계는 사실상 ‘멘붕’(멘털 붕괴) 상황이다.

12일	12/SN+일/NNB
스위스	스위스/NNP
로잔에서	로잔/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
국제올림픽위원회(IOC)	국제올림픽위원회/NNP+(/SS+IOC/SL+)/SS
집행위원회에서	집행/NNG+위원회/NNG+에서/JKB
레슬링이	레슬링/NNG+이/JKS
2020	2020/SN
여름올림픽	여름/NNG+올림픽/NNG
25개	25/SN+개/NNB
핵심종목(Core	핵심/NNG+종목/NNG+(/SS+Core/SL
sports)에서	sports/SL+)/SS+에서/JKB
제외된	제외/NNG+되/XSV+ㄴ/ETM
뒤,	뒤/NNG+,/SP
국내	국내/NNG
레슬링계는	레슬링/NNG+계/XSN+는/JX
사실상	사실/NNG+상/XSN
‘멘붕’(멘털	‘/SS+멘붕/NNG+’/SS+(/SS+멘털/NNG
붕괴)	붕괴/NNG+)/SS
상황이다.	상황/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.283.7.1
충격의 여파 속에서도 13일 태릉선수촌 월계관에서 레슬링대표팀의 체력훈련을 지휘한 방대두 감독은 “레슬링이 힘든 운동이라 저변이 점차 줄어드는 상황이다.

충격의	충격/NNG+의/JKG
