# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.49
metadata : {}


# id : NWRW1800000041.49.1.1
소치는 ‘남의 집 잔치’

소치는	소치/NNP+는/JX
‘남의	‘/SS+남/NNG+의/JKG
집	집/NNG
잔치’	잔치/NNG+’/SS


# id : NWRW1800000041.49.2.1
압하지야, 독립국 지위 못받아… IOC 자격박탈 인도 ‘오륜기 입장’

압하지야,	압하지야/NNP+,/SP
독립국	독립국/NNG
지위	지위/NNG
못받아…	못/MAG+받/VV+아/EC+…/SE
IOC	IOC/SL
자격박탈	자격/NNG+박탈/NNG
인도	인도/NNP
‘오륜기	‘/SS+오륜기/NNG
입장’	입장/NNG+’/SS


# id : NWRW1800000041.49.3.1
2월 7일 소치 겨울올림픽 개막이 다가오면서 이런저런 이유로 올림픽 축제에 참가하지 못하는 국가와 선수들이 눈길을 끌고 있다.

2월	2/SN+월/NNB
7일	7/SN+일/NNB
소치	소치/NNP
겨울올림픽	겨울/NNG+올림픽/NNG
개막이	개막/NNG+이/JKS
다가오면서	다가오/VV+면서/EC
이런저런	이런저런/MMD
이유로	이유/NNG+로/JKB
올림픽	올림픽/NNG
축제에	축제/NNG+에/JKB
참가하지	참가/NNG+하/XSV+지/EC
못하는	못하/VX+는/ETM
국가와	국가/NNG+와/JC
선수들이	선수/NNG+들/XSN+이/JKS
눈길을	눈길/NNG+을/JKO
끌고	끌/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.49.4.1
미국 시사주간 뉴스위크는 소치에서 40km가량 떨어져 있는 흑해 동쪽의 압하지야를 ‘신데렐라 국가’에 비유하며 출전하지 못하는 사연을 전했다.

미국	미국/NNP
시사주간	시사/NNG+주간/NNG
뉴스위크는	뉴스위크/NNP+는/JX
소치에서	소치/NNP+에서/JKB
40km가량	40/SN+km/SW+가량/XSN
떨어져	떨어지/VV+어/EC
있는	있/VX+는/ETM
흑해	흑해/NNP
동쪽의	동쪽/NNG+의/JKG
압하지야를	압하지야/NNP+를/JKO
‘신데렐라	‘/SS+신데렐라/NNP
국가’에	국가/NNG+’/SS+에/JKB
비유하며	비유/NNG+하/XSV+며/EC
출전하지	출전/NNG+하/XSV+지/EC
못하는	못하/VX+는/ETM
사연을	사연/NNG+을/JKO
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.49.4.2
압하지야는 1992년과 2008년 두 차례에 걸쳐 조지아와 독립 전쟁을 치렀다.

압하지야는	압하지야/NNP+는/JX
1992년과	1992/SN+년/NNB+과/JC
2008년	2008/SN+년/NNB
두	두/MMN
차례에	차례/NNG+에/JKB
걸쳐	걸치/VV+어/EC
조지아와	조지아/NNP+와/JKB
독립	독립/NNG
전쟁을	전쟁/NNG+을/JKO
치렀다.	치르/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.49.4.3
압하지야는 러시아의 지원을 받아 조지아를 물리쳤고 조지아는 압하지야에 대한 통제력을 상실했다.

압하지야는	압하지야/NNP+는/JX
러시아의	러시아/NNP+의/JKG
지원을	지원/NNG+을/JKO
받아	받/VV+아/EC
조지아를	조지아/NNP+를/JKO
물리쳤고	물리치/VV+었/EP+고/EC
조지아는	조지아/NNP+는/JX
압하지야에	압하지야/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
통제력을	통제력/NNG+을/JKO
상실했다.	상실/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.49.5.1
친(親)러시아 성향의 주변국은 압하지야를 독립국으로 인정했지만 조지아는 여전히 압하지야를 ‘러시아에 점령당한 자국 영토’로 선언했다.

친(親)러시아	친/XPN+(/SS+親/SH+)/SS+러시아/NNP
성향의	성향/NNG+의/JKG
주변국은	주변국/NNG+은/JX
압하지야를	압하지야/NNP+를/JKO
독립국으로	독립국/NNG+으로/JKB
인정했지만	인정/NNG+하/XSV+았/EP+지만/EC
조지아는	조지아/NNP+는/JX
여전히	여전히/MAG
‘러시아에	‘/SS+러시아/NNP+에/JKB
점령당한	점령/NNG+당하/XSV+ㄴ/ETM
자국	자국/NNG
영토’로	영토/NNG+’/SS+로/JKB
선언했다.	선언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.49.5.2
이 때문에 대부분의 국가는 압하지야를 조지아에 속한 자치공화국으로 보고 있다.

이	이/MMD
때문에	때문/NNB+에/JKB
대부분의	대/XPN+부분/NNG+의/JKG
국가는	국가/NNG+는/JX
압하지야를	압하지야/NNP+를/JKO
조지아에	조지아/NNP+에/JKB
속한	속하/VV+ㄴ/ETM
자치공화국으로	자치/NNG+공화국/NNG+으로/JKB
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


