# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.303
metadata : {}


# id : NWRW1800000021.303.1.1
‘뉴 미디어 시대의 총아’ 美 SNS… 이름도용-사생활침해 ‘소송역풍’

‘뉴	‘/SS+뉴/NNG
미디어	미디어/NNG
시대의	시대/NNG+의/JKG
총아’	총아/NNG+’/SS
美	美/SH
SNS…	SNS/SL+…/SE
이름도용-사생활침해	이름/NNG+도용/NNG+-/SO+사생활/NNG+침해/NNG
‘소송역풍’	‘/SS+소송/NNG+역풍/NNG+’/SS


# id : NWRW1800000021.303.2.1
순항하던 미국의 소셜 네트워킹 서비스(SNS·사람들이 자신의 생각과 의견, 경험 등을 서로 공유하기 위해 사용하는 쌍방향 온라인 서비스)가 역풍을 맞고 있다.

순항하던	순항/NNG+하/XSV+던/ETM
미국의	미국/NNP+의/JKG
소셜	소셜/NNG
네트워킹	네트워킹/NNG
서비스(SNS·사람들이	서비스/NNG+(/SS+SNS/SL+·/SP+사람/NNG+들/XSN+이/JKS
자신의	자신/NNG+의/JKG
생각과	생각/NNG+과/JC
의견,	의견/NNG+,/SP
경험	경험/NNG
등을	등/NNB+을/JKO
서로	서로/MAG
공유하기	공유/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
사용하는	사용/NNG+하/XSV+는/ETM
쌍방향	쌍방향/NNG
온라인	온라인/NNG
서비스)가	서비스/NNG+)/SS+가/JKS
역풍을	역풍/NNG+을/JKO
맞고	맞/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.303.2.2
단문 메시지 전달 사이트인 트위터와 SNS의 선구자인 페이스북은 최근 사용자 이름 도용과 사생활 침해 등의 이유로 연이어 법정에 섰다.

단문	단문/NNG
메시지	메시지/NNG
전달	전달/NNG
사이트인	사이트/NNG+이/VCP+ㄴ/ETM
트위터와	트위터/NNP+와/JC
SNS의	SNS/SL+의/JKG
선구자인	선구자/NNG+이/VCP+ㄴ/ETM
페이스북은	페이스북/NNP+은/JX
최근	최근/NNG
사용자	사용자/NNG
이름	이름/NNG
도용과	도용/NNG+과/JC
사생활	사생활/NNG
침해	침해/NNG
등의	등/NNB+의/JKG
이유로	이유/NNG+로/JKB
연이어	연잇/VV+어/EC
법정에	법정/NNG+에/JKB
섰다.	서/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.303.3.1
○ 잇따르는 법적 대응

○	○/SW
잇따르는	잇따르/VV+는/ETM
법적	법/NNG+적/XSN
대응	대응/NNG


# id : NWRW1800000021.303.4.1
미 오클라호마 주 에너지회사인 원오크(Oneok)는 15일 누군가가 트위터에서 회사명과 로고를 도용해 글을 올렸다며 트위터를 상대로 상표권 침해 소송을 냈다.

미	미/NNP
오클라호마	오클라호마/NNP
주	주/NNG
에너지회사인	에너지/NNG+회사/NNG+이/VCP+ㄴ/ETM
원오크(Oneok)는	원오크/NNP+(/SS+Oneok/SL+)/SS+는/JX
15일	15/SN+일/NNB
누군가가	누구/NP+이/VCP+ㄴ가/EF+가/JKS
트위터에서	트위터/NNP+에서/JKB
회사명과	회사명/NNG+과/JC
로고를	로고/NNG+를/JKO
도용해	도용/NNG+하/XSV+아/EC
글을	글/NNG+을/JKO
올렸다며	올리/VV+었/EP+다며/EC
트위터를	트위터/NNP+를/JKO
상대로	상대/NNG+로/JKB
상표권	상표/NNG+권/XSN
침해	침해/NNG
소송을	소송/NNG+을/JKO
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.303.4.2
5월에는 미 메이저리그 야구팀 세인트루이스 카디널스의 토니 라루사 감독이 자신의 이름을 도용한 게시글이 명예를 훼손했다며 트위터를 고소했다.

5월에는	5/SN+월/NNB+에/JKB+는/JX
미	미/NNP
메이저리그	메이저리그/NNG
야구팀	야구팀/NNG
세인트루이스	세인트루이스/NNP
카디널스의	카디널스/NNP+의/JKG
토니	토니/NNP
라루사	라루사/NNP
감독이	감독/NNG+이/JKS
자신의	자신/NNG+의/JKG
이름을	이름/NNG+을/JKO
도용한	도용/NNG+하/XSV+ㄴ/ETM
게시글이	게시/NNG+글/NNG+이/JKS
명예를	명예/NNG+를/JKO
훼손했다며	훼손/NNG+하/XSV+았/EP+다며/EC
트위터를	트위터/NNP+를/JKO
고소했다.	고소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.303.4.3
두 소송 모두 트위터 측이 도용된 이름의 계정을 원고 측에 넘겨주면서 취하됐다.

두	두/MMN
소송	소송/NNG
모두	모두/MAG
트위터	트위터/NNP
측이	측/NNB+이/JKS
도용된	도용/NNG+되/XSV+ㄴ/ETM
이름의	이름/NNG+의/JKG
계정을	계정/NNG+을/JKO
원고	원고/NNG
측에	측/NNB+에/JKB
넘겨주면서	넘겨주/VV+면서/EC
취하됐다.	취하/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000021.303.5.1
페이스북은 1년여 소송 끝에 사이트 내 광고 프로그램 ‘비컨(Beacon)’을 없애기로 20일 합의했다.

페이스북은	페이스북/NNP+은/JX
1년여	1/SN+년/NNB+여/XSN
소송	소송/NNG
끝에	끝/NNG+에/JKB
사이트	사이트/NNG
내	내/NNB
광고	광고/NNG
프로그램	프로그램/NNG
‘비컨(Beacon)’을	‘/SS+비컨/NNG+(/SS+Beacon/SL+)/SS+’/SS+을/JKO
없애기로	없애/VV+기/ETN+로/JKB
20일	20/SN+일/NNB
합의했다.	합의/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.303.5.2
비컨은 페이스북 사용자가 인터넷 쇼핑 등 다른 사이트에서 구매한 내용이 페이스북의 사용자 친구들에게 공개되도록 하는 프로그램.

비컨은	비컨/NNG+은/JX
페이스북	페이스북/NNP
사용자가	사용자/NNG+가/JKS
인터넷	인터넷/NNG
쇼핑	쇼핑/NNG
등	등/NNB
다른	다른/MMD
사이트에서	사이트/NNG+에서/JKB
구매한	구매/NNG+하/XSV+ㄴ/ETM
내용이	내용/NNG+이/JKS
