# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.433
metadata : {}


# id : NWRW1800000028.433.1.1
일 새 방위대강 “중 군사력 견제 핵심”

일	일/NNP
새	새/MMA
방위대강	방위/NNG+대강/NNG
“중	“/SS+중/NNP
군사력	군사력/NNG
견제	견제/NNG
핵심”	핵심/NNG+”/SS


# id : NWRW1800000028.433.2.1
일본 방위정책의 핵심을 담는 새 방위계획대강(방위대강)은 자위대를 기동성 있게 운용하고, 중국의 군사력 강화에 대응해 남서지역의 방위력을 증강시키는 내용이 핵심이라고 일본 언론들이 10일 보도했다.

일본	일본/NNP
방위정책의	방위/NNG+정책/NNG+의/JKG
핵심을	핵심/NNG+을/JKO
담는	담/VV+는/ETM
새	새/MMA
방위계획대강(방위대강)은	방위/NNG+계획/NNG+대강/NNG+(/SS+방위/NNG+대강/NNG+)/SS+은/JX
자위대를	자위대/NNG+를/JKO
기동성	기동/NNG+성/XSN
있게	있/VA+게/EC
운용하고,	운용/NNG+하/XSV+고/EC+,/SP
중국의	중국/NNP+의/JKG
군사력	군사력/NNG
강화에	강화/NNG+에/JKB
대응해	대응/NNG+하/XSV+아/EC
남서지역의	남서/NNG+지역/NNG+의/JKG
방위력을	방위력/NNG+을/JKO
증강시키는	증강/NNG+시키/XSV+는/ETM
내용이	내용/NNG+이/JKS
핵심이라고	핵심/NNG+이/VCP+라고/EC
언론들이	언론/NNG+들/XSN+이/JKS
10일	10/SN+일/NNB
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.433.3.1
<아사히신문>은 일본 정부가 2004년 이후 6년 만에 개정하는 새 방위대강 개요가 정해졌다며, “1976년 방위대강 첫 제정 때부터 지속돼온 ‘기반적 방위력 구상’을 ‘동적 방위력’이란 새로운 개념으로 전환하는 것이 핵심”이라고 전했다.

<아사히신문>은	</SS+아사히신문/NNP+>/SS+은/JX
일본	일본/NNP
정부가	정부/NNG+가/JKS
2004년	2004/SN+년/NNB
이후	이후/NNG
6년	6/SN+년/NNB
만에	만/NNB+에/JKB
개정하는	개정/NNG+하/XSV+는/ETM
새	새/MMA
방위대강	방위/NNG+대강/NNG
개요가	개요/NNG+가/JKS
정해졌다며,	정하/VV+아/EC+지/VX+었/EP+다며/EC+,/SP
“1976년	“/SS+1976/SN+년/NNB
첫	첫/MMN
제정	제정/NNG
때부터	때/NNG+부터/JX
지속돼온	지속/NNG+되/XSV+어/EC+오/VX+ㄴ/ETM
‘기반적	‘/SS+기반/NNG+적/XSN
방위력	방위력/NNG
구상’을	구상/NNG+’/SS+을/JKO
‘동적	‘/SS+동적/NNG
방위력’이란	방위력/NNG+’/SS+이란/JX
새로운	새롭/VA+ㄴ/ETM
개념으로	개념/NNG+으로/JKB
전환하는	전환/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
핵심”이라고	핵심/NNG+”/SS+이라고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.433.4.1
새 방위대강은 21년 연속 두 자릿수로 방위예산을 늘려온 중국의 군사력 증강을 ‘염려사항으로, 동향을 계속 주시한다’고 언급하고, 북한의 군사적 움직임은 ‘지역 안전에 대한 중대한 불안요인’으로 규정하는 것으로 전해졌다.

새	새/MMA
방위대강은	방위/NNG+대강/NNG+은/JX
21년	21/SN+년/NNB
연속	연속/NNG
두	두/MMN
자릿수로	자릿수/NNG+로/JKB
방위예산을	방위/NNG+예산/NNG+을/JKO
늘려온	늘리/VV+어/EC+오/VX+ㄴ/ETM
중국의	중국/NNP+의/JKG
군사력	군사력/NNG
증강을	증강/NNG+을/JKO
‘염려사항으로,	‘/SS+염려/NNG+사항/NNG+으로/JKB+,/SP
