# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.3
metadata : {}


# id : NWRW1800000036.3.1.1
중소기업 44% “설 쇨 돈 부족”

중소기업	중소기업/NNG
44%	44/SN+%/SW
“설	“/SS+설/NNG
쇨	쇠/VV+ㄹ/ETM
돈	돈/NNG
부족”	부족/NNG+”/SS


# id : NWRW1800000036.3.2.1
[한겨레] 금융권 “13조 공급” 체감못해

[한겨레]	[/SS+한겨레/NNP+]/SS
금융권	금융/NNG+권/XSN
“13조	“/SS+13/SN+조/NR
공급”	공급/NNG+”/SS
체감못해	체감/NNG+못/MAG+하/VV+아/EF


# id : NWRW1800000036.3.3.1
강원도에서 식품제조업을 하는 박아무개 사장은 최근 은행에 대출 3억원을 신청을 했다가 퇴짜를 맞았다.

강원도에서	강원도/NNP+에서/JKB
식품제조업을	식품/NNG+제조업/NNG+을/JKO
하는	하/VV+는/ETM
박아무개	박/NNP+아무개/NP
사장은	사장/NNG+은/JX
최근	최근/MAG
은행에	은행/NNG+에/JKB
대출	대출/NNG
3억원을	3/SN+억/NR+원/NNB+을/JKO
신청을	신청/NNG+을/JKO
했다가	하/VV+았/EP+다가/EC
퇴짜를	퇴짜/NNG+를/JKO
맞았다.	맞/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.3.3.2
담보가 부족하고 매출이 얼마 안 된다는 게 이유였다.

담보가	담보/NNG+가/JKS
부족하고	부족/NNG+하/XSA+고/EC
매출이	매출/NNG+이/JKS
얼마	얼마/NNG
안	안/MAG
된다는	되/VV+ㄴ다는/ETM
게	거/NNB+이/JKS
이유였다.	이유/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000036.3.3.3
서울에서 사업을 하다 지난해 이곳으로 공장을 확장 이전한 박 사장은 “첫해라 매출이 부진할 수밖에 없는데 그런 사정은 전혀 감안해주지 않았다”고 하소연했다.

서울에서	서울/NNP+에서/JKB
사업을	사업/NNG+을/JKO
하다	하/VV+다/EC
지난해	지난해/NNG
이곳으로	이곳/NP+으로/JKB
공장을	공장/NNG+을/JKO
확장	확장/NNG
이전한	이전/NNG+하/XSV+ㄴ/ETM
박	박/NNP
사장은	사장/NNG+은/JX
“첫해라	“/SS+첫해/NNG+이/VCP+라/EC
매출이	매출/NNG+이/JKS
부진할	부진/NNG+하/XSA+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없는데	없/VA+는데/EC
그런	그런/MMD
사정은	사정/NNG+은/JX
전혀	전혀/MAG
감안해주지	감안/NNG+하/XSV+아/EC+주/VX+지/EC
않았다”고	않/VX+았/EP+다/EF+”/SS+고/JKQ
하소연했다.	하소연/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.3.3.4
그는 “당장 직원 60여명의 상여금을 주고 원부자재를 구입할 자금이 필요하다”며 “은행 대출은 포기했고 주변에서 빚을 낼 수밖에 없다”고 말했다.

그는	그/NP+는/JX
“당장	“/SS+당장/NNG
직원	직원/NNG
60여명의	60/SN+여/XSN+명/NNB+의/JKG
상여금을	상여금/NNG+을/JKO
주고	주/VV+고/EC
원부자재를	원부자재/NNG+를/JKO
구입할	구입/NNG+하/XSV+ㄹ/ETM
자금이	자금/NNG+이/JKS
필요하다”며	필요/NNG+하/XSA+다/EF+”/SS+며/EC
“은행	“/SS+은행/NNG
대출은	대출/NNG+은/JX
포기했고	포기/NNG+하/XSV+았/EP+고/EC
주변에서	주변/NNG+에서/JKB
빚을	빚/NNG+을/JKO
낼	내/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다”고	없/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.3.4.1
이렇게 설을 앞두고 자금을 구하지 못해 발을 구르는 중소기업이 10곳 중 4곳을 넘는 것으로 조사됐다.

이렇게	이렇/VA+게/EC
설을	설/NNG+을/JKO
앞두고	앞두/VV+고/EC
자금을	자금/NNG+을/JKO
구하지	구하/VV+지/EC
못해	못하/VX+아/EC
발을	발/NNG+을/JKO
구르는	구르/VV+는/ETM
중소기업이	중소기업/NNG+이/JKS
10곳	10/SN+곳/NNG
중	중/NNB
4곳을	4/SN+곳/NNG+을/JKO
넘는	넘/VV+는/ETM
것으로	것/NNB+으로/JKB
조사됐다.	조사/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000036.3.4.2
중소기업중앙회가 전국 491개 중소기업을 대상으로 조사해 10일 발표한 ‘설 자금 수요조사’를 보면, 자금 사정이 곤란하다고 응답한 업체가 44.3%(매우 곤란 10.4%, 곤란 33.9%)에 이르렀다.

중소기업중앙회가	중소기업/NNG+중앙회/NNG+가/JKS
전국	전국/NNG
491개	491/SN+개/NNB
중소기업을	중소기업/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
조사해	조사/NNG+하/XSV+아/EC
10일	10/SN+일/NNB
발표한	발표/NNG+하/XSV+ㄴ/ETM
‘설	‘/SS+설/NNG
자금	자금/NNG
수요조사’를	수요/NNG+조사/NNG+’/SS+를/JKO
보면,	보/VV+면/EC+,/SP
사정이	사정/NNG+이/JKS
곤란하다고	곤란/NNG+하/XSA+다고/EC
응답한	응답/NNG+하/XSV+ㄴ/ETM
업체가	업체/NNG+가/JKS
44.3%(매우	44/SN+./SP+3/SN+%/SW+(/SS+매우/MAG
곤란	곤란/NNG
10.4%,	10/SN+./SP+4/SN+%/SW+,/SP
33.9%)에	33/SN+./SP+9/SN+%/SW+)/SS+에/JKB
이르렀다.	이르/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.3.4.3
금융기관을 통한 자금조달 상황에 대한 질문에는 30.1%가 곤란을 겪는다고 응답했다.

금융기관을	금융/NNG+기관/NNG+을/JKO
통한	통하/VV+ㄴ/ETM
자금조달	자금/NNG+조달/NNG
상황에	상황/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
질문에는	질문/NNG+에/JKB+는/JX
30.1%가	30/SN+./SP+1/SN+%/SW+가/JKS
곤란을	곤란/NNG+을/JKO
겪는다고	겪/VV+는다고/EC
응답했다.	응답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.3.5.1
이번 설에 필요한 자금 규모는 평균 3억9900만원, 이 가운데 아직 확보하지 못한 금액은 평균 8900만원으로 집계됐다.

이번	이번/NNG
설에	설/NNG+에/JKB
필요한	필요/NNG+하/XSA+ㄴ/ETM
자금	자금/NNG
규모는	규모/NNG+는/JX
평균	평균/NNG
3억9900만원,	3/SN+억/NR+9900/SN+만/NR+원/NNB+,/SP
이	이/NP
가운데	가운데/NNG
아직	아직/MAG
확보하지	확보/NNG+하/XSV+지/EC
못한	못하/VX+ㄴ/ETM
금액은	금액/NNG+은/JX
8900만원으로	8900/SN+만/NR+원/NNB+으로/JKB
집계됐다.	집계/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000036.3.5.2
설에 상여금을 지급할 계획인 업체는 67.6%로, 평균 지급액은 40만2000원이다.

설에	설/NNG+에/JKB
상여금을	상여금/NNG+을/JKO
지급할	지급/NNG+하/XSV+ㄹ/ETM
계획인	계획/NNG+이/VCP+ㄴ/ETM
업체는	업체/NNG+는/JX
67.6%로,	67/SN+./SP+6/SN+%/SW+로/JKB+,/SP
평균	평균/NNG
지급액은	지급액/NNG+은/JX
40만2000원이다.	40/SN+만/NR+2000/SN+원/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000036.3.6.1
금융당국과 은행들은 설을 맞아 특별자금 공급을 하고 있다고 밝히고 있지만, 그 수혜 폭은 매우 제한적이다.

금융당국과	금융/NNG+당국/NNG+과/JC
은행들은	은행/NNG+들/XSN+은/JX
설을	설/NNG+을/JKO
맞아	맞/VV+아/EC
특별자금	특별/NNG+자금/NNG
공급을	공급/NNG+을/JKO
하고	하/VV+고/EC
있다고	있/VX+다고/EC
밝히고	밝히/VV+고/EC
있지만,	있/VX+지만/EC+,/SP
그	그/MMD
수혜	수혜/NNG
폭은	폭/NNG+은/JX
매우	매우/MAG
제한적이다.	제한/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000036.3.6.2
금융위원회는 지난 9일 정책금융기관과 은행을 통해 모두 13조4천억원의 신규 자금을 공급한다고 밝혔다.

금융위원회는	금융/NNG+위원회/NNG+는/JX
지난	지나/VV+ㄴ/ETM
9일	9/SN+일/NNB
정책금융기관과	정책/NNG+금융/NNG+기관/NNG+과/JC
은행을	은행/NNG+을/JKO
통해	통하/VV+아/EC
모두	모두/MAG
13조4천억원의	13/SN+조/NR+4/SN+천억/NR+원/NNB+의/JKG
신규	신규/NNG
자금을	자금/NNG+을/JKO
공급한다고	공급/NNG+하/XSV+ㄴ다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.3.6.3
그러나 이 자금은 해당 금융기관과 거래관계에 있는 중소업체에 주로 배분된다.

그러나	그러나/MAJ
이	이/MMD
자금은	자금/NNG+은/JX
해당	해당/NNG
금융기관과	금융/NNG+기관/NNG+과/JKB
거래관계에	거래/NNG+관계/NNG+에/JKB
있는	있/VA+는/ETM
중소업체에	중소/NNG+업체/NNG+에/JKB
주로	주로/MAG
배분된다.	배분/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000036.3.6.4
시중은행의 한 지점장은 “취지는 어려운 중소업체들에 자금을 배분해 주라는 것일 텐데 그렇게 했다가는 떼일 염려가 있어 어렵다”고 말했다.

시중은행의	시중/NNG+은행/NNG+의/JKG
한	한/MMN
지점장은	지점장/NNG+은/JX
“취지는	“/SS+취지/NNG+는/JX
어려운	어렵/VA+ㄴ/ETM
중소업체들에	중소/NNG+업체/NNG+들/XSN+에/JKB
자금을	자금/NNG+을/JKO
배분해	배분/NNG+하/XSV+아/EC
주라는	주/VX+라는/ETM
것일	것/NNB+이/VCP+ㄹ/ETM
텐데	터/NNB+이/VCP+ㄴ데/EC
그렇게	그렇/VA+게/EC
했다가는	하/VV+았/EP+다가/EC+는/JX
떼일	떼이/VV+ㄹ/ETM
염려가	염려/NNG+가/JKS
있어	있/VA+어/EC
어렵다”고	어렵/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.3.7.1
중소기업들은 은행들이 대출 시 기업의 신용을 보는 것은 당연하지만, 미래 성장성 등은 감안하지 않은 채 지나치게 안전 위주로만 대출을 한다고 주장한다.

중소기업들은	중소기업/NNG+들/XSN+은/JX
은행들이	은행/NNG+들/XSN+이/JKS
대출	대출/NNG
시	시/NNB
기업의	기업/NNG+의/JKG
신용을	신용/NNG+을/JKO
보는	보/VV+는/ETM
것은	것/NNB+은/JX
당연하지만,	당연/NNG+하/XSA+지만/EC+,/SP
미래	미래/NNG
성장성	성장/NNG+성/XSN
등은	등/NNB+은/JX
감안하지	감안/NNG+하/XSV+지/EC
않은	않/VX+은/ETM
채	채/NNB
지나치게	지나치/VA+게/EC
안전	안전/NNG
위주로만	위주/NNG+로/JKB+만/JX
대출을	대출/NNG+을/JKO
한다고	하/VV+ㄴ다고/EC
주장한다.	주장/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000036.3.7.2
이번 조사 결과를 보면, 중소기업들은 금융기관 거래 시 애로요인(복수응답)으로 ‘보증서 요구’(43.9%), ‘신규대출 기피’(37.2%), ‘재무제표 위주 대출’(37.2%), ‘부동산 담보 요구’(37%)를 주로 꼽고 있다.

이번	이번/NNG
조사	조사/NNG
결과를	결과/NNG+를/JKO
보면,	보/VV+면/EC+,/SP
중소기업들은	중소기업/NNG+들/XSN+은/JX
금융기관	금융/NNG+기관/NNG
거래	거래/NNG
시	시/NNB
애로요인(복수응답)으로	애로/NNG+요인/NNG+(/SS+복수/NNG+응답/NNG+)/SS+으로/JKB
‘보증서	‘/SS+보증서/NNG
요구’(43.9%),	요구/NNG+’/SS+(/SS+43/SN+./SP+9/SN+%/SW+)/SS+,/SP
‘신규대출	‘/SS+신규/NNG+대출/NNG
기피’(37.2%),	기피/NNG+’/SS+(/SS+37/SN+./SP+2/SN+%/SW+)/SS+,/SP
‘재무제표	‘/SS+재무제표/NNG
위주	위주/NNG
대출’(37.2%),	대출/NNG+’/SS+(/SS+37/SN+./SP+2/SN+%/SW+)/SS+,/SP
‘부동산	‘/SS+부동산/NNG
담보	담보/NNG
요구’(37%)를	요구/NNG+’/SS+(/SS+37/SN+%/SW+)/SS+를/JKO
주로	주로/MAG
꼽고	꼽/VV+고/EC
있다.	있/VX+다/EF+./SF


