# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.115
metadata : {}


# id : NWRW1800000026.115.1.1
[충청] [6·2 지방선거는 지금…] 김기호씨 보령시장 출마

[충청]	[/SS+충청/NNP+]/SS
[6·2	[/SS+6/SN+·/SP+2/SN
지방선거는	지방/NNG+선거/NNG+는/JX
지금…]	지금/MAG+…/SE+]/SS
김기호씨	김기호/NNP+씨/NNB
보령시장	보령시장/NNG
출마	출마/NNG


# id : NWRW1800000026.115.2.1
김기호(48·사진) 보령시 재향군인회장이 2일 "한나라당 후보로 보령시장 선거에 출마하겠다"고 말했다.

김기호(48·사진)	김기호/NNP+(/SS+48/SN+·/SP+사진/NNG+)/SS
보령시	보령시/NNP
재향군인회장이	재향/NNG+군인회장/NNG+이/JKS
2일	2/SN+일/NNB
"한나라당	"/SS+한나라당/NNP
후보로	후보/NNG+로/JKB
보령시장	보령시장/NNG
선거에	선거/NNG+에/JKB
출마하겠다"고	출마/NNG+하/XSV+겠/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.115.2.2
김씨는 "세대교체를 통해 낡은 정치를 청산하고 '20만 자립도시'의 꿈을 이루는 데 앞장서겠다"고 밝혔다.

김씨는	김/NNP+씨/NNB+는/JX
"세대교체를	"/SS+세대교체/NNG+를/JKO
통해	통하/VV+아/EC
낡은	낡/VV+은/ETM
정치를	정치/NNG+를/JKO
청산하고	청산/NNG+하/XSV+고/EC
'20만	'/SS+20/SN+만/NR
자립도시'의	자립/NNG+도시/NNG+'/SS+의/JKG
꿈을	꿈/NNG+을/JKO
이루는	이루/VV+는/ETM
데	데/NNB
앞장서겠다"고	앞장서/VV+겠/EP+다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.115.2.3
김씨는 "최근 시청 공무원들의 잇따른 비리로 불신이 확산되고 있다"며 "보령시장은 통솔력에 문제가 있는 만큼 이에 대한 책임을 져야 한다"고 주장했다.

김씨는	김/NNP+씨/NNB+는/JX
"최근	"/SS+최근/NNG
시청	시청/NNG
공무원들의	공무원/NNG+들/XSN+의/JKG
잇따른	잇따르/VV+ㄴ/ETM
비리로	비리/NNG+로/JKB
불신이	불신/NNG+이/JKS
확산되고	확산/NNG+되/XSV+고/EC
있다"며	있/VX+다/EF+"/SS+며/EC
"보령시장은	"/SS+보령시장/NNG+은/JX
통솔력에	통솔력/NNG+에/JKB
문제가	문제/NNG+가/JKS
있는	있/VA+는/ETM
만큼	만큼/NNB
이에	이/NP+에/JKB
대한	대하/VV+ㄴ/ETM
책임을	책임/NNG+을/JKO
져야	짓/VV+어야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


