# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.167
metadata : {}


# id : NWRW1800000033.167.1.1
1+1=1.15… 맞벌이 실질소득 외벌이의 1.15배 그쳐

1+1=1.15…	1/SN++/SW+1/SN+=/SW+1/SN+./SP+15/SN+…/SE
맞벌이	맞벌이/NNG
실질소득	실질/NNG+소득/NNG
외벌이의	외벌이/NNG+의/JKG
1.15배	1/SN+./SP+15/SN+배/NNG
그쳐	그치/VV+어/EF


# id : NWRW1800000033.167.2.1
가사 도우미-외식 비용 등에 지출 많아

가사	가사/NNG
도우미-외식	도우미/NNG+-/SO+외식/NNG
비용	비용/NNG
등에	등/NNB+에/JKB
지출	지출/NNG
많아	많/VA+아/EF


# id : NWRW1800000033.167.3.1
중견기업에 근무하는 여성 김모 씨(36)는 5년째 맞벌이를 하고 있다.

중견기업에	중견/NNG+기업/NNG+에/JKB
근무하는	근무/NNG+하/XSV+는/ETM
여성	여성/NNG
김모	김/NNP+모/NP
씨(36)는	씨/NNB+(/SS+36/SN+)/SS+는/JX
5년째	5/SN+년/NNB+째/XSN
맞벌이를	맞벌이/NNG+를/JKO
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.167.3.2
돌잡이 아이를 돌보는 일과 가사를 입주 도우미에게 맡긴 그는 매달 300만 원을 받아 가사 도우미에게 150만 원을 준다.

돌잡이	돌잡이/NNG
아이를	아이/NNG+를/JKO
돌보는	돌보/VV+는/ETM
일과	일/NNG+과/JC
가사를	가사/NNG+를/JKO
입주	입주/NNG
도우미에게	도우미/NNG+에게/JKB
맡긴	맡기/VV+ㄴ/ETM
그는	그/NP+는/JX
매달	매달/MAG
300만	300/SN+만/NR
원을	원/NNB+을/JKO
받아	받/VV+아/EC
가사	가사/NNG
150만	150/SN+만/NR
준다.	주/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.167.3.3
여기에 외식비, 용돈을 빼고 나면 손에 쥐는 건 100만 원이 채 안 된다.

여기에	여기/NP+에/JKB
외식비,	외식비/NNG+,/SP
용돈을	용돈/NNG+을/JKO
빼고	빼/VV+고/EC
나면	나/VX+면/EC
손에	손/NNG+에/JKB
쥐는	쥐/VV+는/ETM
건	거/NNB+ㄴ/JX
100만	100/SN+만/NR
원이	원/NNB+이/JKS
채	채/MAG
안	안/MAG
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.167.4.1
김 씨는 “야근과 저녁 약속이 잦아 가사 도우미와 친정어머니의 손을 빌리지 않으면 집안일은 물론이고 아이 돌보기도 어려운 형편인데 그렇다고 경제적으로 썩 도움이 되는 것도 아니어서 언제까지 맞벌이를 해야 할지 고민”이라고 푸념했다.

김	김/NNP
씨는	씨/NNB+는/JX
“야근과	“/SS+야근/NNG+과/JC
저녁	저녁/NNG
약속이	약속/NNG+이/JKS
잦아	잦/VA+아/EC
가사	가사/NNG
도우미와	도우미/NNG+와/JC
친정어머니의	친정어머니/NNG+의/JKG
손을	손/NNG+을/JKO
빌리지	빌리/VV+지/EC
않으면	않/VX+으면/EC
집안일은	집안일/NNG+은/JX
물론이고	물론/NNG+이/VCP+고/EC
아이	아이/NNG
돌보기도	돌보/VV+기/ETN+도/JX
어려운	어렵/VA+ㄴ/ETM
형편인데	형편/NNG+이/VCP+ㄴ데/EC
그렇다고	그렇/VA+다고/EC
경제적으로	경제/NNG+적/XSN+으로/JKB
썩	썩/MAG
도움이	도움/NNG+이/JKC
되는	되/VV+는/ETM
것도	것/NNB+도/JX
아니어서	아니/VCN+어서/EC
언제까지	언제/NP+까지/JX
맞벌이를	맞벌이/NNG+를/JKO
해야	하/VV+아야/EC
할지	하/VX+ㄹ지/EF
고민”이라고	고민/NNG+”/SS+이라고/JKQ
푸념했다.	푸념/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.167.5.1
가사노동 비용을 고려하면 맞벌이 가구의 실질소득이 외벌이의 1.15배에 그친다는 민간경제연구소의 분석이 나왔다.

가사노동	가사/NNG+노동/NNG
비용을	비용/NNG+을/JKO
고려하면	고려/NNG+하/XSV+면/EC
맞벌이	맞벌이/NNG
가구의	가구/NNG+의/JKG
실질소득이	실질/NNG+소득/NNG+이/JKS
외벌이의	외벌이/NNG+의/JKG
1.15배에	1/SN+./SP+15/SN+배/NNG+에/JKB
그친다는	그치/VV+ㄴ다는/ETM
민간경제연구소의	민간/NNG+경제/NNG+연구소/NNG+의/JKG
분석이	분석/NNG+이/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.167.5.2
긴 근로시간 탓에 소홀할 수밖에 없는 집안일과 육아 문제를 해결하기 위해 적잖은 돈을 써야 하기 때문이다.

긴	길/VA+ㄴ/ETM
근로시간	근로/NNG+시간/NNG
탓에	탓/NNG+에/JKB
소홀할	소홀/NNG+하/XSA+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없는	없/VA+는/ETM
집안일과	집안일/NNG+과/JC
육아	육아/NNG
문제를	문제/NNG+를/JKO
해결하기	해결/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
적잖은	적잖/VA+은/ETM
돈을	돈/NNG+을/JKO
