# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.323
metadata : {}


# id : NWRW1800000030.323.1.1
해킹당한 문서도 모르면서… 외교부 '책임 떠넘기기'

해킹당한	해킹/NNG+당하/XSV+ㄴ/ETM
문서도	문서/NNG+도/JX
모르면서…	모르/VV+면서/EC+…/SE
외교부	외교부/NNG
'책임	'/SS+책임/NNG
떠넘기기'	떠넘기/VV+기/ETN+'/SS


# id : NWRW1800000030.323.2.1
•한·미 정상간 통화내용 해킹, 국정원 말 듣고 "사실 아냐"… "외교부 아닌 다른 부처 탓"

•한·미	•/SW+한·미/NNP
정상간	정상/NNG+간/NNB
통화내용	통화/NNG+내용/NNG
해킹,	해킹/NNG+,/SP
국정원	국정원/NNG
말	말/NNG
듣고	듣/VV+고/EC
"사실	"/SS+사실/MAG
아냐"…	아니/VCN+야/EF+"/SS+…/SE
"외교부	"/SS+외교부/NNG
아닌	아니/VCN+ㄴ/ETM
다른	다른/MMD
부처	부처/NNG
탓"	탓/NNG+"/SS


# id : NWRW1800000030.323.3.1
중국 측의 이메일 해킹에 의해 한·미 정상 간 통화 내용이 유출됐다는 주장이 나왔지만, 외교통상부는 사실 파악도 제대로 하기 전에 '책임 떠넘기기'에 나섰다.

중국	중국/NNP
측의	측/NNB+의/JKG
이메일	이메일/NNG
해킹에	해킹/NNG+에/JKB
의해	의하/VV+아/EC
한·미	한·미/NNP
정상	정상/NNG
간	간/NNB
통화	통화/NNG
내용이	내용/NNG+이/JKS
유출됐다는	유출/NNG+되/XSV+었/EP+다는/ETM
주장이	주장/NNG+이/JKS
나왔지만,	나오/VV+았/EP+지만/EC+,/SP
외교통상부는	외교/NNG+통상부/NNG+는/JX
사실	사실/MAG
파악도	파악/NNG+도/JX
제대로	제대로/MAG
하기	하/VV+기/ETN
전에	전/NNG+에/JKB
'책임	'/SS+책임/NNG
떠넘기기'에	떠넘기/VV+기/ETN+'/SS+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


