# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.292
metadata : {}


# id : NWRW1800000036.292.1.1
김치파이터 UFC 정복

김치파이터	김치/NNG+파이터/NNG
UFC	UFC/SL
정복	정복/NNG


# id : NWRW1800000036.292.2.1
[한겨레] 벤 헨더슨, 라이트급 우승

[한겨레]	[/SS+한겨레/NNP+]/SS
벤	벤/NNP
헨더슨,	헨더슨/NNP+,/SP
라이트급	라이트급/NNG
우승	우승/NNG


# id : NWRW1800000036.292.3.1
챔피언 에드가에 판정승

챔피언	챔피언/NNG
에드가에	에드가/NNP+에/JKB
판정승	판정승/NNG


# id : NWRW1800000036.292.4.1
경기뒤 “어무니 사랑해요”

경기뒤	경기/NNG+뒤/NNG
“어무니	“/SS+어무니/NNG
사랑해요”	사랑/NNG+하/XSV+아요/EF+”/SS


# id : NWRW1800000036.292.5.1
한국계 ‘김치 파이터’ 벤 헨더슨(29·미국)이 세계 최대 격투기 무대인 미국종합격투기(UFC)를 정복했다.

한국계	한국/NNP+계/XSN
‘김치	‘/SS+김치/NNG
파이터’	파이터/NNG+’/SS
벤	벤/NNP
헨더슨(29·미국)이	헨더슨/NNP+(/SS+29/SN+·/SP+미국/NNP+)/SS+이/JKS
세계	세계/NNG
최대	최대/NNG
격투기	격투기/NNG
무대인	무대/NNG+이/VCP+ㄴ/ETM
미국종합격투기(UFC)를	미국/NNP+종합/NNG+격투기/NNG+(/SS+UFC/SL+)/SS+를/JKO
정복했다.	정복/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.292.6.1
헨더슨은 26일 일본 사이타마 슈퍼아레나에서 열린 UFC 144 대회 라이트급 타이틀전에서 챔피언 프랭키 에드거(31·미국)를 심판 전원일치 판정승(49-46 48-47 49-46)으로 꺾고 챔피언에 올랐다.

헨더슨은	헨더슨/NNP+은/JX
26일	26/SN+일/NNB
일본	일본/NNP
사이타마	사이타마/NNP
슈퍼아레나에서	슈퍼아레나/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
UFC	UFC/SL
144	144/SN
대회	대회/NNG
라이트급	라이트급/NNG
타이틀전에서	타이틀전/NNG+에서/JKB
챔피언	챔피언/NNG
프랭키	프랭키/NNP
에드거(31·미국)를	에드거/NNP+(/SS+31/SN+·/SP+미국/NNP+)/SS+를/JKO
심판	심판/NNG
전원일치	전원일치/NNG
판정승(49-46	판정승/NNG+(/SS+49/SN+-/SO+46/SN
48-47	48/SN+-/SO+47/SN
49-46)으로	49/SN+-/SO+46/SN+)/SS+으로/JKB
꺾고	꺾/VV+고/EC
챔피언에	챔피언/NNG+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.292.6.2
헨더슨은 UFC에 데뷔한 이후 지난해 4월 마크 보첵, 8월 짐 밀러, 11월 클레이 구이다를 연속으로 격파하고서 에드거마저 꺾고 꿈에 그리던 UFC 챔프에 등극했다.

헨더슨은	헨더슨/NNP+은/JX
UFC에	UFC/SL+에/JKB
데뷔한	데뷔/NNG+하/XSV+ㄴ/ETM
이후	이후/NNG
지난해	지난해/NNG
4월	4/SN+월/NNB
마크	마크/NNP
보첵,	보첵/NNP+,/SP
8월	8/SN+월/NNB
짐	짐/NNP
밀러,	밀러/NNP+,/SP
11월	11/SN+월/NNB
클레이	클레이/NNP
구이다를	구이다/NNP+를/JKO
연속으로	연속/NNG+으로/JKB
격파하고서	격파/NNG+하/XSV+고서/EC
에드거마저	에드거/NNP+마저/JX
꺾고	꺾/VV+고/EC
꿈에	꿈/NNG+에/JKB
그리던	그리/VV+던/ETM
UFC	UFC/SL
챔프에	챔프/NNG+에/JKB
