# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.186
metadata : {}


# id : NWRW1800000024.186.1.1
‘여자 폴포츠’ 수전 보일 ‘준우승’

‘여자	‘/SS+여자/NNG
폴포츠’	폴포츠/NNP+’/SS
수전	수전/NNP
보일	보일/NNP
‘준우승’	‘/SS+준/XPN+우승/NNG+’/SS


# id : NWRW1800000024.186.2.1
못생긴 외모에 대한 편견을 뒤집는 빼어난 노래 실력으로 사람들을 감동시키며 하루아침에 스타가 됐던 영국인 수전 보일(48·사진)이 자신을 유명하게 만든 장기자랑 프로그램의 결승전에서 아쉽게 준우승을 차지했다.

못생긴	못생기/VV+ㄴ/ETM
외모에	외모/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
편견을	편견/NNG+을/JKO
뒤집는	뒤집/VV+는/ETM
빼어난	빼어나/VA+ㄴ/ETM
노래	노래/NNG
실력으로	실력/NNG+으로/JKB
사람들을	사람/NNG+들/XSN+을/JKO
감동시키며	감동/NNG+시키/XSV+며/EC
하루아침에	하루아침/NNG+에/JKB
스타가	스타/NNG+가/JKC
됐던	되/VV+었/EP+던/ETM
영국인	영국인/NNG
수전	수전/NNP
보일(48·사진)이	보일/NNP+(/SS+48/SN+·/SP+사진/NNG+)/SS+이/JKS
자신을	자신/NNG+을/JKO
유명하게	유명/NNG+하/XSA+게/EC
만든	만들/VV+ㄴ/ETM
장기자랑	장기/NNG+자랑/NNG
프로그램의	프로그램/NNG+의/JKG
결승전에서	결승전/NNG+에서/JKB
아쉽게	아쉽/VA+게/EC
준우승을	준/XPN+우승/NNG+을/JKO
차지했다.	차지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.186.2.2
보일은 30일 10개팀이 겨룬 영국 <아이티비>(ITV) ‘브리튼스 갓 탤런트’ 프로그램 결승에서, 12~25살 10명으로 이뤄진 댄스팀 ‘다이버시티’에 1위 자리를 내줬다.

보일은	보일/NNP+은/JX
30일	30/SN+일/NNB
10개팀이	10/SN+개/NNB+팀/NNG+이/JKS
겨룬	겨루/VV+ㄴ/ETM
영국	영국/NNP
<아이티비>(ITV)	</SS+아이티비/NNP+>/SS+(/SS+ITV/SL+)/SS
‘브리튼스	‘/SS+브리튼스/NNP
갓	갓/NNG
탤런트’	탤런트/NNG+’/SS
프로그램	프로그램/NNG
결승에서,	결승/NNG+에서/JKB+,/SP
12~25살	12/SN+~/SO+25/SN+살/NNB
10명으로	10/SN+명/NNB+으로/JKB
이뤄진	이뤄지/VV+ㄴ/ETM
댄스팀	댄스/NNG+팀/NNG
‘다이버시티’에	‘/SS+다이버시티/NNP+’/SS+에/JKB
1위	1/SN+위/NNB
자리를	자리/NNG+를/JKO
내줬다.	내주/VV+었/EP+다/EF+./SF


