# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.274
metadata : {}


# id : NWRW1800000046.274.1.1
[만물상] 오바마의 퇴근 시간

[만물상]	[/SS+만물상/NNG+]/SS
오바마의	오바마/NNP+의/JKG
퇴근	퇴근/NNG
시간	시간/NNG


# id : NWRW1800000046.274.2.1
김황식 전 총리가 재임 시절 여기자협회 임원들을 공관으로 초대했다.

김황식	김황식/NNP
전	전/MMD
총리가	총리/NNG+가/JKS
재임	재임/NNG
시절	시절/NNG
여기자협회	여기자협회/NNP
임원들을	임원/NNG+들/XSN+을/JKO
공관으로	공관/NNG+으로/JKB
초대했다.	초대/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.274.2.2
총리는 국정에 관한 여성 언론인 생각을 알고 싶어 했다.

총리는	총리/NNG+는/JX
국정에	국정/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
여성	여성/NNG
언론인	언론인/NNG
생각을	생각/NNG+을/JKO
알고	알/VV+고/EC
싶어	싶/VX+어/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.274.2.3
누군가 "기업이 장시간 근무와 야근을 없애야 일 그만두는 여성이 줄고 남자들도 '저녁이 있는 삶'을 누린다"고 했다.

누군가	누구/NP+이/VCP+ㄴ가/EF
"기업이	"/SS+기업/NNG+이/JKS
장시간	장시간/NNG
근무와	근무/NNG+와/JC
야근을	야근/NNG+을/JKO
없애야	없애/VV+어야/EC
일	일/NNG
그만두는	그만두/VV+는/ETM
여성이	여성/NNG+이/JKS
줄고	줄/VV+고/EC
남자들도	남자/NNG+들/XSN+도/JX
'저녁이	'/SS+저녁/NNG+이/JKS
있는	있/VA+는/ETM
삶'을	삶/NNG+'/SS+을/JKO
누린다"고	누리/VV+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.274.2.4
판사 출신 김 총리가 뜻밖의 '고해'를 했다.

판사	판사/NNG
출신	출신/NNG
김	김/NNP
총리가	총리/NNG+가/JKS
뜻밖의	뜻밖/NNG+의/JKG
'고해'를	'/SS+고해/NNG+'/SS+를/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.274.2.5
"맞아요.

"맞아요.	"/SS+맞/VV+아요/EF+./SF


# id : NWRW1800000046.274.2.6
판사들도 낮엔 이 방 저 방 놀러다니며 담배 피우고 잡담하다 퇴근 무렵 되면 그제야 판결문 쓰겠다며 팔을 걷어붙였으니…." 총리의 귀여운 '폭로'에 와르르 웃음이 터졌다.

판사들도	판사/NNG+들/XSN+도/JX
낮엔	낮/NNG+에/JKB+ㄴ/JX
이	이/MMD
방	방/NNG
저	저/MMD
놀러다니며	놀/VV+러/EC+다니/VV+며/EC
담배	담배/NNG
피우고	피우/VV+고/EC
잡담하다	잡담/NNG+하/XSV+다/EC
퇴근	퇴근/NNG
무렵	무렵/NNB
되면	되/VV+면/EC
그제야	그제야/MAG
