# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.264
metadata : {}


# id : NWRW1800000028.264.1.1
러, 잇단 산불에 모스크바도 비상

러,	러/NNP+,/SP
잇단	잇달/VV+ㄴ/ETM
산불에	산불/NNG+에/JKB
모스크바도	모스크바/NNP+도/JX
비상	비상/NNG


# id : NWRW1800000028.264.2.1
폭염이 몰아닥친 러시아에서 산불이 잇따라 일어나 30여명이 목숨을 잃는 등 피해가 커지고 있다.

폭염이	폭염/NNG+이/JKS
몰아닥친	몰아닥치/VV+ㄴ/ETM
러시아에서	러시아/NNP+에서/JKB
산불이	산불/NNG+이/JKS
잇따라	잇따르/VV+아/EC
일어나	일어나/VV+아/EC
30여명이	30/SN+여/XSN+명/NNB+이/JKS
목숨을	목숨/NNG+을/JKO
잃는	잃/VV+는/ETM
등	등/NNB
피해가	피해/NNG+가/JKS
커지고	커지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.264.3.1
러시아 중부지역 등에 산불이 확산되면서 수만명의 소방관과 군인들이 60여곳의 산불 확산을 막기 위해 사투를 벌이고 있다고 <이타르타스> 통신이 31일 전했다.

러시아	러시아/NNP
중부지역	중부/NNG+지역/NNG
등에	등/NNB+에/JKB
산불이	산불/NNG+이/JKS
확산되면서	확산/NNG+되/XSV+면서/EC
수만명의	수만/NR+명/NNB+의/JKG
소방관과	소방관/NNG+과/JC
군인들이	군인/NNG+들/XSN+이/JKS
60여곳의	60/SN+여/XSN+곳/NNG+의/JKG
산불	산불/NNG
확산을	확산/NNG+을/JKO
막기	막/VV+기/ETN
위해	위하/VV+아/EC
사투를	사투/NNG+를/JKO
벌이고	벌이/VV+고/EC
있다고	있/VX+다고/EC
<이타르타스>	</SS+이타르타스/NNP+>/SS
통신이	통신/NNG+이/JKS
31일	31/SN+일/NNB
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.264.3.2
수도 모스크바시 7명을 포함해 니즈니노브고로드시 등에서 소방관 3명을 포함해 31명이 목숨을 잃었다.

수도	수도/NNG
모스크바시	모스크바시/NNP
7명을	7/SN+명/NNB+을/JKO
포함해	포함/NNG+하/XSV+아/EC
니즈니노브고로드시	니즈니노브고로드시/NNP
등에서	등/NNB+에서/JKB
소방관	소방관/NNG
3명을	3/SN+명/NNB+을/JKO
31명이	31/SN+명/NNB+이/JKS
목숨을	목숨/NNG+을/JKO
잃었다.	잃/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.264.3.3
12만㏊ 이상이 불타면서, 소방관 약 24만명과 차량 2만5천대, 헬리콥터 226대 등이 동원돼 산불 진화작업에 나서고 있다.

12만㏊	12/SN+만/NR+㏊/SW
이상이	이상/NNG+이/JKS
불타면서,	불타/VV+면서/EC+,/SP
소방관	소방관/NNG
약	약/MMA
24만명과	24/SN+만/NR+명/NNB+과/JC
차량	차량/NNG
2만5천대,	2/SN+만/NR+5/SN+천/NR+대/NNB+,/SP
헬리콥터	헬리콥터/NNG
226대	226/SN+대/NNB
등이	등/NNB+이/JKS
동원돼	동원/NNG+되/XSV+어/EC
산불	산불/NNG
진화작업에	진화/NNG+작업/NNG+에/JKB
나서고	나서/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.264.3.4
산불은 러시아 중부지역을 휩쓴 뒤 동쪽과 수도 모스크바 등으로 확산되고 있다.

산불은	산불/NNG+은/JX
러시아	러시아/NNP
중부지역을	중부/NNG+지역/NNG+을/JKO
휩쓴	휩쓸/VV+ㄴ/ETM
뒤	뒤/NNG
동쪽과	동쪽/NNG+과/JC
수도	수도/NNG
모스크바	모스크바/NNP
등으로	등/NNB+으로/JKB
확산되고	확산/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.264.3.5
러시아 14개 지역에서는 비상사태가 선포됐다.

러시아	러시아/NNP
14개	14/SN+개/NNB
지역에서는	지역/NNG+에서/JKB+는/JX
비상사태가	비상사태/NNG+가/JKS
선포됐다.	선포/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000028.264.3.6
특히 수도 모스크바 인근 지역 20여곳에서 화재가 발생하면서, 모스크바에까지 매캐한 연기가 퍼지기도 했다.

특히	특히/MAG
수도	수도/NNG
모스크바	모스크바/NNP
인근	인근/NNG
지역	지역/NNG
20여곳에서	20/SN+여/XSN+곳/NNG+에서/JKB
화재가	화재/NNG+가/JKS
발생하면서,	발생/NNG+하/XSV+면서/EC+,/SP
모스크바에까지	모스크바/NNP+에/JKB+까지/JX
매캐한	매캐하/VA+ㄴ/ETM
연기가	연기/NNG+가/JKS
퍼지기도	퍼지/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000028.264.3.7
러시아 일간 <코메르산트>는 “러시아가 불타고 있다”는 제목으로 심각한 상황을 보도했다.

러시아	러시아/NNP
일간	일간/NNG
<코메르산트>는	</SS+코메르산트/NNP+>/SS+는/JX
“러시아가	“/SS+러시아/NNP+가/JKS
불타고	불타/VV+고/EC
있다”는	있/VX+다/EF+”/SS+는/ETM
제목으로	제목/NNG+으로/JKB
심각한	심각하/VA+ㄴ/ETM
상황을	상황/NNG+을/JKO
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.264.4.1
드미트리 메드베데프 대통령은 31일 자연재해를 선포했다.

드미트리	드미트리/NNP
메드베데프	메드베데프/NNP
대통령은	대통령/NNG+은/JX
31일	31/SN+일/NNB
자연재해를	자연재해/NNG+를/JKO
선포했다.	선포/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.264.4.2
그는 “30~40년 만에 한번 발생하는 자연재해다 보니 비상당국의 능력도 모자라는 상황”이라며 군병력의 진화작업 지원을 지시했다.

그는	그/NP+는/JX
“30~40년	“/SS+30/SN+~/SO+40/SN+년/NNB
만에	만/NNB+에/JKB
한번	한번/NNG
발생하는	발생/NNG+하/XSV+는/ETM
자연재해다	자연재해/NNG+이/VCP+다/EC
보니	보/VX+니/EC
비상당국의	비상/NNG+당국/NNG+의/JKG
능력도	능력/NNG+도/JX
모자라는	모자라/VV+는/ETM
상황”이라며	상황/NNG+”/SS+이/VCP+라며/EC
군병력의	군/NNG+병력/NNG+의/JKG
진화작업	진화/NNG+작업/NNG
지원을	지원/NNG+을/JKO
지시했다.	지시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.264.4.3
블라디미르 푸틴 총리는 비상대책회의를 연 뒤 피해지역에 대한 조속한 복구지원을 독려하고 이재민들에게는 10월까지 새로 집을 지어주겠다고 약속했다.

블라디미르	블라디미르/NNP
푸틴	푸틴/NNP
총리는	총리/NNG+는/JX
비상대책회의를	비상/NNG+대책/NNG+회의/NNG+를/JKO
연	열/VV+ㄴ/ETM
뒤	뒤/NNG
피해지역에	피해/NNG+지역/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
조속한	조속하/VA+ㄴ/ETM
복구지원을	복구/NNG+지원/NNG+을/JKO
독려하고	독려/NNG+하/XSV+고/EC
이재민들에게는	이재민/NNG+들/XSN+에게/JKB+는/JX
