# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.378
metadata : {}


# id : NWRW1800000021.378.1.1
“기내 남성 서빙 인기 높은데 스튜어드는 점점 줄어들어”

“기내	“/SS+기내/NNG
남성	남성/NNG
서빙	서빙/NNG
인기	인기/NNG
높은데	높/VA+은데/EC
스튜어드는	스튜어드/NNG+는/JX
점점	점점/MAG
줄어들어”	줄어들/VV+어/EF+”/SS


# id : NWRW1800000021.378.2.1
2007년 4월 아시아나항공 승무원 98기 공채로 입사한 이두원 씨(28)의 별명은 한때 ‘두원언니’였다.

2007년	2007/SN+년/NNB
4월	4/SN+월/NNB
아시아나항공	아시아나항공/NNP
승무원	승무원/NNG
98기	98/SN+기/NNG
공채로	공채/NNG+로/JKB
입사한	입사/NNG+하/XSV+ㄴ/ETM
이두원	이두원/NNP
씨(28)의	씨/NNB+(/SS+28/SN+)/SS+의/JKG
별명은	별명/NNG+은/JX
한때	한때/MAG
‘두원언니’였다.	‘/SS+두원/NNP+언니/NNG+’/SS+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000021.378.2.2
54명의 입사 동기 중 유일한 남성인데, 입사 후 3개월간 기초훈련을 받는 동안 여성 동기들이 옷매무새나 머리 모양이 어떠냐고 물으며 친근하게 ‘두원언니’라고 불렀던 것이 별명으로 굳어졌다.

54명의	54/SN+명/NNB+의/JKG
입사	입사/NNG
동기	동기/NNG
중	중/NNB
유일한	유일/NNG+하/XSA+ㄴ/ETM
남성인데,	남성/NNG+이/VCP+ㄴ데/EC+,/SP
후	후/NNG
3개월간	3/SN+개월/NNB+간/XSN
기초훈련을	기초/NNG+훈련/NNG+을/JKO
받는	받/VV+는/ETM
동안	동안/NNG
여성	여성/NNG
동기들이	동기/NNG+들/XSN+이/JKS
옷매무새나	옷매무새/NNG+나/JC
머리	머리/NNG
모양이	모양/NNG+이/JKS
어떠냐고	어떻/VA+냐고/EC
물으며	묻/VV+으며/EC
친근하게	친근하/VA+게/EC
‘두원언니’라고	‘/SS+두원/NNP+언니/NNG+’/SS+라고/JKQ
불렀던	부르/VV+었/EP+던/ETM
것이	것/NNB+이/JKS
별명으로	별명/NNG+으로/JKB
굳어졌다.	굳어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.378.2.3
청일점이었던 그는 “남들은 ‘축복받았다’고 했지만 한 번도 그런 환경에 있어본 적이 없어서 상당히 겸연쩍었던 기억이 새롭다”고 회상했다.

청일점이었던	청일점/NNG+이/VCP+었/EP+던/ETM
그는	그/NP+는/JX
“남들은	“/SS+남/NNG+들/XSN+은/JX
‘축복받았다’고	‘/SS+축복/NNG+받/XSV+았/EP+다/EF+’/SS+고/JKQ
했지만	하/VV+았/EP+지만/EC
한	한/MMN
번도	번/NNB+도/JX
그런	그런/MMD
환경에	환경/NNG+에/JKB
있어본	있/VA+어/EC+보/VX+ㄴ/ETM
적이	적/NNB+이/JKS
없어서	없/VA+어서/EC
상당히	상당히/MAG
겸연쩍었던	겸연쩍/VA+었/EP+던/ETM
기억이	기억/NNG+이/JKS
새롭다”고	새롭/VA+다/EF+”/SS+고/JKQ
회상했다.	회상/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.378.3.1
스튜어드(남성 승무원)는 항공업계에서 희귀한 존재다.

스튜어드(남성	스튜어드/NNG+(/SS+남성/NNG
승무원)는	승무원/NNG+)/SS+는/JX
항공업계에서	항공업/NNG+계/XSN+에서/JKB
희귀한	희귀/NNG+하/XSA+ㄴ/ETM
존재다.	존재/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.378.3.2
스튜어디스(여성 승무원)는 익숙하지만 스튜어드는 생소하다고 말하는 사람이 적지 않다

스튜어디스(여성	스튜어디스/NNG+(/SS+여성/NNG
승무원)는	승무원/NNG+)/SS+는/JX
익숙하지만	익숙하/VA+지만/EC
스튜어드는	스튜어드/NNG+는/JX
생소하다고	생소하/VA+다고/EC
말하는	말/NNG+하/XSV+는/ETM
사람이	사람/NNG+이/JKS
적지	적/VA+지/EC
않다	않/VX+다/EC


# id : NWRW1800000021.378.4.1
○ 스튜어드의 ‘은밀한’ 세계

○	○/SW
스튜어드의	스튜어드/NNG+의/JKG
‘은밀한’	‘/SS+은밀하/VA+ㄴ/ETM+’/SS
세계	세계/NNG


# id : NWRW1800000021.378.5.1
아시아나항공 공채 4기로 승무원 경력 20년의 목인상 선임사무장(45)은 “동네 주민이 아내에게 ‘신랑이 혹시 밤업소에 다니느냐’고 물어본 적도 있었다”며 “해외지역 비행근무를 하게 되면서 저녁에 출근했다가 새벽에 집에 들어오는 일이 많았기 때문”이라고 말했다.

아시아나항공	아시아나항공/NNP
공채	공채/NNG
4기로	4/SN+기/NNG+로/JKB
승무원	승무원/NNG
경력	경력/NNG
20년의	20/SN+년/NNB+의/JKG
목인상	목인상/NNP
선임사무장(45)은	선임/NNG+사무장/NNG+(/SS+45/SN+)/SS+은/JX
“동네	“/SS+동네/NNG
주민이	주민/NNG+이/JKS
아내에게	아내/NNG+에게/JKB
‘신랑이	‘/SS+신랑/NNG+이/JKS
혹시	혹시/MAG
밤업소에	밤업소/NNG+에/JKB
다니느냐’고	다니/VV+느냐/EF+’/SS+고/JKQ
물어본	묻/VV+어/EC+보/VX+ㄴ/ETM
적도	적/NNB+도/JX
있었다”며	있/VA+었/EP+다/EF+”/SS+며/EC
“해외지역	“/SS+해외/NNG+지역/NNG
비행근무를	비행/NNG+근무/NNG+를/JKO
하게	하/VV+게/EC
되면서	되/VV+면서/EC
저녁에	저녁/NNG+에/JKB
출근했다가	출근/NNG+하/XSV+았/EP+다가/EC
새벽에	새벽/NNG+에/JKB
집에	집/NNG+에/JKB
들어오는	들어오/VV+는/ETM
일이	일/NNG+이/JKS
많았기	많/VA+았/EP+기/ETN
때문”이라고	때문/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.378.5.2
그는 “표정을 부드럽게 하기 위해 미소 짓는 연습을 하다 얼굴에 경련이 일어난 적도 있다”며 “지금은 미소나 ‘감사합니다’라는 말이 몸에 배 이웃들에게 ‘깔끔하고 예의바른 사람’으로 통한다”고 했다.

그는	그/NP+는/JX
“표정을	“/SS+표정/NNG+을/JKO
부드럽게	부드럽/VA+게/EC
하기	하/VX+기/ETN
위해	위하/VV+아/EC
미소	미소/NNG
짓는	짓/VV+는/ETM
연습을	연습/NNG+을/JKO
하다	하/VV+다/EC
얼굴에	얼굴/NNG+에/JKB
경련이	경련/NNG+이/JKS
일어난	일어나/VV+ㄴ/ETM
적도	적/NNB+도/JX
있다”며	있/VA+다/EF+”/SS+며/EC
“지금은	“/SS+지금/NNG+은/JX
