# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.110
metadata : {}


# id : NWRW1800000026.110.1.1
中 자본시장 흔드는 태자당의 손;원자바오 아들 수십억 달러 사모펀드 운용·주룽지 아들은 국제금융공사 회장…

中	中/SH
자본시장	자본/NNG+시장/NNG
흔드는	흔들/VV+는/ETM
태자당의	태자당/NNG+의/JKG
손;원자바오	손/NNG+;/SW+원자바오/NNP
아들	아들/NNG
수십억	수십억/NR
달러	달러/NNB
사모펀드	사모/NNG+펀드/NNG
운용·주룽지	운용/NNG+·/SP+주룽지/NNP
아들은	아들/NNG+은/JX
국제금융공사	국제금융공사/NNP
회장…	회장/NNG+…/SE


# id : NWRW1800000026.110.2.1
중국 베이징시 복판에 있는 골든 트레저(중국명 珍寶金) 빌딩.

중국	중국/NNP
베이징시	베이징시/NNP
복판에	복판/NNG+에/JKB
있는	있/VA+는/ETM
골든	골든/NNP
트레저(중국명	트레저/NNP+(/SS+중국/NNP+명/NNG
珍寶金)	珍寶金/SH+)/SS
빌딩.	빌딩/NNG+./SF


# id : NWRW1800000026.110.2.2
1층의 로비에는 눈 씻고 찾아봐도 '뉴 호라이즌 캐피탈'이란 회사 이름이 없다.

1층의	1/SN+층/NNG+의/JKG
로비에는	로비/NNG+에/JKB+는/JX
눈	눈/NNG
씻고	씻/VV+고/EC
찾아봐도	찾/VV+아/EC+보/VX+아도/EC
'뉴	'/SS+뉴/NNP
호라이즌	호라이즌/NNP
캐피탈'이란	캐피탈/NNP+'/SS+이/VCP+란/ETM
회사	회사/NNG
이름이	이름/NNG+이/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000026.110.2.3
다만 12층의 한 사무실 앞에 중국어로 '신톈위(新天域)자본공사'라는 조그마한 간판이 걸려 있을 뿐.

다만	다만/MAG
12층의	12/SN+층/NNG+의/JKG
한	한/MMN
사무실	사무실/NNG
앞에	앞/NNG+에/JKB
중국어로	중국어/NNP+로/JKB
'신톈위(新天域)자본공사'라는	'/SS+신톈위/NNP+(/SS+新天域/SH+)/SS+자본/NNG+공사/NNG+'/SS+이/VCP+라는/ETM
조그마한	조그마하/VA+ㄴ/ETM
간판이	간판/NNG+이/JKS
걸려	걸리/VV+어/EC
있을	있/VX+을/ETM
뿐.	뿐/NNB+./SF


# id : NWRW1800000026.110.2.4
이 사모펀드 회사는 5년 전에 설립된 햇병아리 회사지만 업계의 영향력은 막강하다.

이	이/MMD
사모펀드	사모/NNG+펀드/NNG
회사는	회사/NNG+는/JX
5년	5/SN+년/NNB
전에	전/NNG+에/JKB
설립된	설립/NNG+되/XSV+ㄴ/ETM
햇병아리	햇병아리/NNG
회사지만	회사/NNG+이/VCP+지만/EC
업계의	업계/NNG+의/JKG
영향력은	영향력/NNG+은/JX
막강하다.	막강/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000026.110.2.5
도이치은행, JP모간, UBS, 싱가포르의 국부펀드인 테마섹 등의 안정적인 투자를 이끌어내며 최근에 수십억달러의 펀드를 모았다.

도이치은행,	도이치은행/NNP+,/SP
JP모간,	JP모간/NNP+,/SP
UBS,	UBS/SL+,/SP
싱가포르의	싱가포르/NNP+의/JKG
국부펀드인	국부/NNG+펀드/NNG+이/VCP+ㄴ/ETM
테마섹	테마섹/NNP
등의	등/NNB+의/JKG
안정적인	안정/NNG+적/XSN+이/VCP+ㄴ/ETM
투자를	투자/NNG+를/JKO
이끌어내며	이끌/VV+어/EC+내/VX+며/EC
최근에	최근/NNG+에/JKB
수십억달러의	수십억/NR+달러/NNB+의/JKG
펀드를	펀드/NNG+를/JKO
모았다.	모으/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.110.3.1
영국 파이낸셜 타임스(FT)는 "뉴 호라이즌 캐피탈의 성공 배경에는 원자바오(溫家寶) 총리의 아들 윈스턴 원(중국명 원윈쑹·溫雲松) 사장이 있다"면서 "중국 자본시장을 '태자당(太子黨)'들이 좌우하고 있다"고 30일 보도했다.

영국	영국/NNP
파이낸셜	파이낸셜/NNP
타임스(FT)는	타임스/NNP+(/SS+FT/SL+)/SS+는/JX
"뉴	"/SS+뉴/NNP
호라이즌	호라이즌/NNP
캐피탈의	캐피탈/NNP+의/JKG
성공	성공/NNG
배경에는	배경/NNG+에/JKB+는/JX
원자바오(溫家寶)	원자바오/NNP+(/SS+溫家寶/SH+)/SS
총리의	총리/NNG+의/JKG
아들	아들/NNG
윈스턴	윈스턴/NNP
원(중국명	원/NNP+(/SS+중국/NNP+명/NNG
원윈쑹·溫雲松)	원윈쑹/NNP+·/SP+溫雲松/SH+)/SS
사장이	사장/NNG+이/JKS
있다"면서	있/VA+다/EF+"/SS+면서/EC
"중국	"/SS+중국/NNP
자본시장을	자본/NNG+시장/NNG+을/JKO
'태자당(太子黨)'들이	'/SS+태자당/NNG+(/SS+太子黨/SH+)/SS+'/SS+들/XSN+이/JKS
좌우하고	좌우/NNG+하/XSV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
30일	30/SN+일/NNB
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.110.3.2
태자당은 공산혁명 원로들의 자제나 친인척을 일컫지만, 지금은 중국 고위층의 자제들이란 뜻으로 폭넓게 쓰인다.

태자당은	태자당/NNG+은/JX
공산혁명	공산혁명/NNG
원로들의	원로/NNG+들/XSN+의/JKG
자제나	자제/NNG+나/JC
친인척을	친인척/NNG+을/JKO
일컫지만,	일컫/VV+지만/EC+,/SP
지금은	지금/NNG+은/JX
중국	중국/NNP
고위층의	고위/NNG+층/XSN+의/JKG
자제들이란	자제/NNG+들/XSN+이/VCP+란/ETM
뜻으로	뜻/NNG+으로/JKB
폭넓게	폭넓/VA+게/EC
쓰인다.	쓰이/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.110.4.1
