# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.230
metadata : {}


# id : NWRW1800000037.230.1.1
형-아우 감독끼리… 올 슈퍼볼은 ‘하보 볼’

형-아우	형/NNG+-/SO+아우/NNG
감독끼리…	감독/NNG+끼리/XSN+…/SE
올	올/NNG
슈퍼볼은	슈퍼볼/NNG+은/JX
‘하보	‘/SS+하보/NNP
볼’	볼/NNG+’/SS


# id : NWRW1800000037.230.2.1
볼티모어 레이븐스 존 하보… 샌프란시스코 49ers 짐 하보 NFL 우승 격돌 새로운 전설

볼티모어	볼티모어/NNP
레이븐스	레이븐스/NNP
존	존/NNP
하보…	하보/NNP+…/SE
샌프란시스코	샌프란시스코/NNP
49ers	49/SN+ers/SL
짐	짐/NNP
하보	하보/NNP
NFL	NFL/SL
우승	우승/NNG
격돌	격돌/NNG
새로운	새롭/VA+ㄴ/ETM
전설	전설/NNG


# id : NWRW1800000037.230.3.1
‘하보 볼(Bowl).’

‘하보	‘/SS+하보/NNP
볼(Bowl).’	볼/NNG+(/SS+Bowl/SL+)/SS+./SF+’/SS


# id : NWRW1800000037.230.4.1
21일 볼티모어 레이븐스와 샌프란시스코 포티나이너스가 미국프로미식축구리그(NFL) 최강자를 가리는 제47회 슈퍼볼에 오르자 로이터통신은 하보 볼이란 표현을 썼다.

21일	21/SN+일/NNB
볼티모어	볼티모어/NNP
레이븐스와	레이븐스/NNP+와/JC
샌프란시스코	샌프란시스코/NNP
포티나이너스가	포티나이너스/NNP+가/JKS
미국프로미식축구리그(NFL)	미국/NNP+프로/NNG+미식축구/NNG+리그/NNG+(/SS+NFL/SL+)/SS
최강자를	최강자/NNG+를/JKO
가리는	가리/VV+는/ETM
제47회	제/XPN+47/SN+회/NNB
슈퍼볼에	슈퍼볼/NNG+에/JKB
오르자	오르/VV+자/EC
로이터통신은	로이터통신/NNP+은/JX
하보	하보/NNP
볼이란	볼/NNG+이/VCP+란/ETM
표현을	표현/NNG+을/JKO
썼다.	쓰/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.230.4.2
역사상 처음 형제 사령탑 존 하보 볼티모어 감독(51)과 짐 하보 샌프란시스코 감독(50)이 NFL 타이틀을 차지하기 위해 만났기 때문이다.

역사상	역사/NNG+상/XSN
처음	처음/NNG
형제	형제/NNG
사령탑	사령탑/NNG
존	존/NNP
하보	하보/NNP
볼티모어	볼티모어/NNP
감독(51)과	감독/NNG+(/SS+51/SN+)/SS+과/JC
짐	짐/NNP
샌프란시스코	샌프란시스코/NNP
감독(50)이	감독/NNG+(/SS+50/SN+)/SS+이/JKS
NFL	NFL/SL
타이틀을	타이틀/NNG+을/JKO
차지하기	차지/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
만났기	만나/VV+았/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000037.230.4.3
이 형제는 사상 첫 형제 NFL 감독이란 역사를 쓴 데 이어 전대미문의 첫 형제 슈퍼볼 대결 사령탑이란 전설을 만들었다.

이	이/MMD
형제는	형제/NNG+는/JX
사상	사상/NNG
첫	첫/MMN
형제	형제/NNG
NFL	NFL/SL
감독이란	감독/NNG+이/VCP+란/ETM
역사를	역사/NNG+를/JKO
쓴	쓰/VV+ㄴ/ETM
데	데/NNB
이어	잇/VV+어/EC
전대미문의	전대미문/NNG+의/JKG
슈퍼볼	슈퍼볼/NNG
대결	대결/NNG
사령탑이란	사령탑/NNG+이/VCP+란/ETM
전설을	전설/NNG+을/JKO
만들었다.	만들/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.230.4.4
이 형제의 아버지는 고등학교와 대학교에서 41년간 지도자를 했던 잭 하보(74)로 ‘미식축구 가족’으로 팬들의 관심을 사로잡고 있다.

이	이/MMD
형제의	형제/NNG+의/JKG
아버지는	아버지/NNG+는/JX
고등학교와	고등학교/NNG+와/JC
대학교에서	대/XPN+학교/NNG+에서/JKB
41년간	41/SN+년/NNB+간/XSN
지도자를	지도자/NNG+를/JKO
했던	하/VV+았/EP+던/ETM
잭	잭/NNP
하보(74)로	하보/NNP+(/SS+74/SN+)/SS+로/JKB
‘미식축구	‘/SS+미식축구/NNG
가족’으로	가족/NNG+’/SS+으로/JKB
팬들의	팬/NNG+들/XSN+의/JKG
관심을	관심/NNG+을/JKO
사로잡고	사로잡/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.230.5.1
아버지의 피를 받아 일찌감치 미식축구를 시작한 두 형제는 고등학교 때까지 아버지가 코치였던 미시간 앤아버의 파이어니어 고등학교에서 함께 꿈을 키웠다.

아버지의	아버지/NNG+의/JKG
피를	피/NNG+를/JKO
받아	받/VV+아/EC
일찌감치	일찌감치/MAG
미식축구를	미식축구/NNG+를/JKO
시작한	시작/NNG+하/XSV+ㄴ/ETM
두	두/MMN
형제는	형제/NNG+는/JX
고등학교	고등학교/NNG
때까지	때/NNG+까지/JX
아버지가	아버지/NNG+가/JKS
코치였던	코치/NNG+이/VCP+었/EP+던/ETM
미시간	미시간/NNP
앤아버의	앤아버/NNP+의/JKG
파이어니어	파이어니어/NNP
고등학교에서	고등학교/NNG+에서/JKB
함께	함께/MAG
꿈을	꿈/NNG+을/JKO
키웠다.	키우/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.230.5.2
하지만 짐이 1981년 캘리포니아 팰러앨토 고등학교로 옮기면서 따로 성장하게 됐다.

