# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.63
metadata : {}


# id : NWRW1800000052.63.1.1
[단독] 김윤철 작가, 900대1 경쟁뚫고 ‘콜라이드 국제상’

[단독]	[/SS+단독/NNG+]/SS
김윤철	김윤철/NNP
작가,	작가/NNG+,/SP
900대1	900/SN+대/NNB+1/SN
경쟁뚫고	경쟁/NNG+뚫/VV+고/EC
‘콜라이드	‘/SS+콜라이드/NNG
국제상’	국제/NNG+상/NNG+’/SS


# id : NWRW1800000052.63.2.1
과학·예술 융합 기여 작가에

과학·예술	과학/NNG+·/SP+예술/NNG
융합	융합/NNG
기여	기여/NNG
작가에	작가/NNG+에/JKB


# id : NWRW1800000052.63.3.1
유럽입자물리연구소가 주는 상

유럽입자물리연구소가	유럽입자물리연구소/NNP+가/JKS
주는	주/VV+는/ETM
상	상/NNG


# id : NWRW1800000052.63.4.1
9월부터 두달 연구소 머물며

9월부터	9/SN+월/NNB+부터/JX
두달	두/MMN+달/NNB
연구소	연구소/NNG
머물며	머물/VV+며/EC


# id : NWRW1800000052.63.5.1
물리학자와 공동창작 기회 잡아

물리학자와	물리학자/NNG+와/JKB
공동창작	공동/NNG+창작/NNG
기회	기회/NNG
잡아	잡/VV+아/EF


# id : NWRW1800000052.63.6.1
미술가 김윤철(46)씨가 스위스의 세계적 과학연구기관인 유럽입자물리연구소(세른)가 시상하는 ‘콜라이드(충돌) 국제상’ 수상자로 뽑혔다.

미술가	미술가/NNG
김윤철(46)씨가	김윤철/NNP+(/SS+46/SN+)/SS+씨/NNB+가/JKS
스위스의	스위스/NNP+의/JKG
세계적	세계/NNG+적/XSN
과학연구기관인	과학/NNG+연구/NNG+기관/NNG+이/VCP+ㄴ/ETM
유럽입자물리연구소(세른)가	유럽입자물리연구소/NNP+(/SS+세른/NNP+)/SS+가/JKS
시상하는	시상/NNG+하/XSV+는/ETM
‘콜라이드(충돌)	‘/SS+콜라이드/NNG+(/SS+충돌/NNG+)/SS
국제상’	국제/NNG+상/NNG+’/SS
수상자로	수상자/NNG+로/JKB
뽑혔다.	뽑히/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.63.6.2
이 상은 2011년부터 세른이 과학과 예술의 창조적 융합에 기여한 작가에게 연구소에 머물며 과학과 접목한 예술 활동을 할 수 있도록 지원하는 상이다.

이	이/MMD
상은	상/NNG+은/JX
2011년부터	2011/SN+년/NNB+부터/JX
세른이	세른/NNP+이/JKS
과학과	과학/NNG+과/JKB
예술의	예술/NNG+의/JKG
창조적	창조/NNG+적/XSN
융합에	융합/NNG+에/JKB
기여한	기여/NNG+하/XSV+ㄴ/ETM
작가에게	작가/NNG+에게/JKB
연구소에	연구소/NNG+에/JKB
머물며	머물/VV+며/EC
접목한	접목/NNG+하/XSV+ㄴ/ETM
예술	예술/NNG
활동을	활동/NNG+을/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
지원하는	지원/NNG+하/XSV+는/ETM
상이다.	상/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.63.7.1
세른은 스위스와 프랑스 국경에 위치한 세계 최대 입자물리학 연구소로, 둘레 27㎞의 대형강입자가속기(LHC)에서 양성자를 충돌시켜 새로운 입자나 물리현상을 찾고 있다.

세른은	세른/NNP+은/JX
스위스와	스위스/NNP+와/JC
프랑스	프랑스/NNP
국경에	국경/NNG+에/JKB
위치한	위치/NNG+하/XSV+ㄴ/ETM
세계	세계/NNG
최대	최대/NNG
입자물리학	입자/NNG+물리학/NNG
연구소로,	연구소/NNG+로/JKB+,/SP
둘레	둘레/NNG
27㎞의	27/SN+㎞/SW+의/JKG
대형강입자가속기(LHC)에서	대형/NNG+강입자/NNG+가속기/NNG+(/SS+LHC/SL+)/SS+에서/JKB
양성자를	양성자/NNG+를/JKO
충돌시켜	충돌/NNG+시키/XSV+어/EC
새로운	새롭/VA+ㄴ/ETM
입자나	입자/NNG+나/JC
물리현상을	물리/NNG+현상/NNG+을/JKO
찾고	찾/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.63.7.2
2013년에는 ‘신의 입자’ 힉스를 검출했으며, 인터넷의 기반인 월드와이드웹(WWW)과 인터넷 언어(HTML)의 발상지로도 유명하다.

2013년에는	2013/SN+년/NNB+에/JKB+는/JX
‘신의	‘/SS+신/NNG+의/JKG
입자’	입자/NNG+’/SS
힉스를	힉스/NNP+를/JKO
검출했으며,	검출/NNG+하/XSV+았/EP+으며/EC+,/SP
인터넷의	인터넷/NNG+의/JKG
기반인	기반/NNG+이/VCP+ㄴ/ETM
월드와이드웹(WWW)과	월드/NNG+와이드/NNG+웹/NNG+(/SS+WWW/SL+)/SS+과/JC
인터넷	인터넷/NNG
언어(HTML)의	언어/NNG+(/SS+HTML/SL+)/SS+의/JKG
발상지로도	발상지/NNG+로/JKB+도/JX
유명하다.	유명/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000052.63.8.1
김 작가는 올해 71개 나라에서 지원한 904명과 경쟁한 끝에 수상자로 결정됐다.

김	김/NNP
작가는	작가/NNG+는/JX
올해	올해/NNG
71개	71/SN+개/NNB
나라에서	나라/NNG+에서/JKB
지원한	지원/NNG+하/XSV+ㄴ/ETM
904명과	904/SN+명/NNB+과/JKB
경쟁한	경쟁/NNG+하/XSV+ㄴ/ETM
끝에	끝/NNG+에/JKB
수상자로	수상자/NNG+로/JKB
결정됐다.	결정/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000052.63.8.2
그는 두달 동안 세른에 머물 자격과 일체의 경비, 부상으로 1만5천 스위스프랑(CHF·약 1800만원)을 받는다.

그는	그/NP+는/JX
두달	두/MMN+달/NNB
동안	동안/NNG
세른에	세른/NNP+에/JKB
머물	머물/VV+ㄹ/ETM
자격과	자격/NNG+과/JC
일체의	일체/NNG+의/JKG
경비,	경비/NNG+,/SP
부상으로	부상/NNG+으로/JKB
1만5천	1/SN+만/NR+5/SN+천/NR
스위스프랑(CHF·약	스위스/NNP+프랑/NNG+(/SS+CHF/SL+·/SP+약/MMA
1800만원)을	1800/SN+만/NR+원/NNB+)/SS+을/JKO
받는다.	받/VV+는다/EF+./SF


# id : NWRW1800000052.63.8.3
콜라이드 국제상을 운영하는 세른의 예술프로그램 ‘아트앳세른’(Arts@CERN) 심사위원단은 “김씨가 과학 연구를 넘어 예술 활동으로 역동적인 물질의 현상과 본질을 찾는 일에 매료돼 있고, 경험과 개념 사이의 간극을 탐구하는 뛰어난 능력을 지녀 수상자로 선정했다.

콜라이드	콜라이드/NNG
국제상을	국제/NNG+상/NNG+을/JKO
운영하는	운영/NNG+하/XSV+는/ETM
세른의	세른/NNP+의/JKG
예술프로그램	예술/NNG+프로그램/NNG
‘아트앳세른’(Arts@CERN)	‘/SS+아트앳세른/NNP+’/SS+(/SS+Arts/SL+@/SW+CERN/SL+)/SS
심사위원단은	심사/NNG+위원단/NNG+은/JX
“김씨가	“/SS+김/NNP+씨/NNB+가/JKS
과학	과학/NNG
연구를	연구/NNG+를/JKO
