# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.222
metadata : {}


# id : NWRW1800000033.222.1.1
전태풍, 이제는 오리온스 ‘태풍’… 프로농구 혼혈선수 FA 향방 결정

전태풍,	전태풍/NNP+,/SP
이제는	이제/NNG+는/JX
오리온스	오리온스/NNP
‘태풍’…	‘/SS+태풍/NNG+’/SS+…/SE
프로농구	프로/NNG+농구/NNG
혼혈선수	혼혈/NNG+선수/NNG
FA	FA/SL
향방	향방/NNG
결정	결정/NNG


# id : NWRW1800000033.222.2.1
문태영 모비스行… 이승준은 미정

문태영	문태영/NNP
모비스行…	모비스/NNP+行/SH+…/SE
이승준은	이승준/NNP+은/JX
미정	미정/NNG


# id : NWRW1800000033.222.3.1
전태풍은 오리온스, 문태영은 모비스 유니폼으로 갈아입는다.

전태풍은	전태풍/NNP+은/JX
오리온스,	오리온스/NNP+,/SP
문태영은	문태영/NNP+은/JX
모비스	모비스/NNP
유니폼으로	유니폼/NNG+으로/JKB
갈아입는다.	갈아입/VV+는다/EF+./SF


# id : NWRW1800000033.222.3.2
한국농구연맹(KBL)은 자유계약선수(FA)로 풀린 귀화 혼혈 선수 3명에 대한 4개 구단의 영입 의향서를 접수해 3일 결과를 발표했다.

한국농구연맹(KBL)은	한국농구연맹/NNP+(/SS+KBL/SL+)/SS+은/JX
자유계약선수(FA)로	자유/NNG+계약/NNG+선수/NNG+(/SS+FA/SL+)/SS+로/JKB
풀린	풀리/VV+ㄴ/ETM
귀화	귀화/NNG
혼혈	혼혈/NNG
선수	선수/NNG
3명에	3/SN+명/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
4개	4/SN+개/NNB
구단의	구단/NNG+의/JKG
영입	영입/NNG
의향서를	의향서/NNG+를/JKO
접수해	접수/NNG+하/XSV+아/EC
3일	3/SN+일/NNB
결과를	결과/NNG+를/JKO
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.222.3.3
KBL은 10개 구단의 형평성을 위해 귀화 혼혈 선수가 한 팀에서 3년을 뛰면 재계약할 수 없게 했다.

KBL은	KBL/SL+은/JX
10개	10/SN+개/NNB
구단의	구단/NNG+의/JKG
형평성을	형평/NNG+성/XSN+을/JKO
위해	위하/VV+아/EC
귀화	귀화/NNG
혼혈	혼혈/NNG
선수가	선수/NNG+가/JKS
한	한/MMN
팀에서	팀/NNG+에서/JKB
3년을	3/SN+년/NNB+을/JKO
뛰면	뛰/VV+면/EC
재계약할	재/XPN+계약/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없게	없/VA+게/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000033.222.3.4
이에 따라 귀화 혼혈 선수 제도가 도입된 2009년 이후 한 번도 혼혈 선수를 보유한 적이 없던 동부와 모비스, 오리온스, SK가 우선권을 얻어 혼혈 선수 영입에 나섰었다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
귀화	귀화/NNG
혼혈	혼혈/NNG
선수	선수/NNG
제도가	제도/NNG+가/JKS
도입된	도입/NNG+되/XSV+ㄴ/ETM
2009년	2009/SN+년/NNB
이후	이후/NNG
한	한/MMN
번도	번/NNB+도/JX
선수를	선수/NNG+를/JKO
보유한	보유/NNG+하/XSV+ㄴ/ETM
적이	적/NNB+이/JKS
없던	없/VA+던/ETM
동부와	동부/NNP+와/JC
모비스,	모비스/NNP+,/SP
오리온스,	오리온스/NNP+,/SP
SK가	SK/SL+가/JKS
우선권을	우선/NNG+권/XSN+을/JKO
얻어	얻/VV+어/EC
영입에	영입/NNG+에/JKB
나섰었다.	나서/VV+었었/EP+다/EF+./SF


# id : NWRW1800000033.222.4.1
오리온스와 모비스는 다른 구단과의 경쟁 없이 각각 전태풍과 문태영을 영입하는 데 성공했다.

오리온스와	오리온스/NNP+와/JC
모비스는	모비스/NNP+는/JX
다른	다른/MMD
구단과의	구단/NNG+과/JKB+의/JKG
경쟁	경쟁/NNG
없이	없이/MAG
각각	각각/MAG
전태풍과	전태풍/NNP+과/JC
문태영을	문태영/NNP+을/JKO
영입하는	영입/NNG+하/XSV+는/ETM
데	데/NNB
성공했다.	성공/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.222.4.2
지난 시즌까지 KCC에서 세 시즌을 뛴 가드 전태풍을 1순위로 희망한 구단은 오리온스였다.

지난	지나/VV+ㄴ/ETM
시즌까지	시즌/NNG+까지/JX
KCC에서	KCC/SL+에서/JKB
세	세/MMN
시즌을	시즌/NNG+을/JKO
뛴	뛰/VV+ㄴ/ETM
가드	가드/NNG
전태풍을	전태풍/NNP+을/JKO
1순위로	1/SN+순위/NNG+로/JKB
희망한	희망/NNG+하/XSV+ㄴ/ETM
구단은	구단/NNG+은/JX
오리온스였다.	오리온스/NNP+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000033.222.4.3
지난 시즌 김승현을 삼성으로 보낸 뒤 포인트 가드 부재로 애를 먹었던 오리온스는 전태풍의 가세로 가드에 대한 고민을 덜게 됐다.

지난	지나/VV+ㄴ/ETM
시즌	시즌/NNG
김승현을	김승현/NNP+을/JKO
삼성으로	삼성/NNP+으로/JKB
보낸	보내/VV+ㄴ/ETM
뒤	뒤/NNG
포인트	포인트/NNG
가드	가드/NNG
부재로	부재/NNG+로/JKB
애를	애/NNG+를/JKO
먹었던	먹/VV+었/EP+던/ETM
오리온스는	오리온스/NNP+는/JX
전태풍의	전태풍/NNP+의/JKG
가세로	가세/NNG+로/JKB
가드에	가드/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
고민을	고민/NNG+을/JKO
덜게	덜/VV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.222.4.4
LG에서 뛰었던 포워드 문태영은 모비스가 단독으로 1순위를 적어 냈다.

LG에서	LG/SL+에서/JKB
뛰었던	뛰/VV+었/EP+던/ETM
포워드	포워드/NNG
문태영은	문태영/NNP+은/JX
모비스가	모비스/NNP+가/JKS
단독으로	단독/NNG+으로/JKB
1순위를	1/SN+순위/NNG+를/JKO
적어	적/VV+어/EC
냈다.	내/VX+었/EP+다/EF+./SF


# id : NWRW1800000033.222.4.5
둘은 각각 연봉 4억5000만 원과 인센티브 5000만 원을 합쳐 총 5억 원에 3년간 계약했다.

둘은	둘/NR+은/JX
각각	각각/MAG
연봉	연봉/NNG
4억5000만	4/SN+억/NR+5000/SN+만/NR
원과	원/NNB+과/JC
인센티브	인센티브/NNG
5000만	5000/SN+만/NR
원을	원/NNB+을/JKO
합쳐	합치/VV+어/EC
총	총/MMA
5억	5/SN+억/NR
원에	원/NNB+에/JKB
3년간	3/SN+년/NNB+간/XSN
계약했다.	계약/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.222.5.1
삼성에서 뛰다 FA로 풀린 이승준은 동부와 SK가 모두 1순위로 영입을 원한 데다 두 구단이 써낸 이승준의 몸값도 총액 5억 원(연봉 4억5000만 원, 인센티브 5000만 원)으로 같아 결론을 내지 못했다.

삼성에서	삼성/NNP+에서/JKB
뛰다	뛰/VV+다/EC
FA로	FA/SL+로/JKB
풀린	풀리/VV+ㄴ/ETM
이승준은	이승준/NNP+은/JX
동부와	동부/NNP+와/JC
SK가	SK/SL+가/JKS
모두	모두/MAG
1순위로	1/SN+순위/NNG+로/JKB
영입을	영입/NNG+을/JKO
원한	원/NNG+하/XSV+ㄴ/ETM
데다	데/NNB+다/JX
두	두/MMN
구단이	구단/NNG+이/JKS
써낸	써내/VV+ㄴ/ETM
이승준의	이승준/NNP+의/JKG
몸값도	몸값/NNG+도/JX
총액	총액/NNG
5억	5/SN+억/NR
원(연봉	원/NNB+(/SS+연봉/NNG
4억5000만	4/SN+억/NR+5000/SN+만/NR
원,	원/NNB+,/SP
인센티브	인센티브/NNG
5000만	5000/SN+만/NR
원)으로	원/NNB+)/SS+으로/JKB
같아	같/VA+아/EC
결론을	결론/NNG+을/JKO
내지	내/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000033.222.5.2
두 팀 중 어느 팀이 이승준을 데려갈지는 7일 서울 강남구 논현동 KBL에서 있을 추첨을 통해 결정된다.

두	두/MMN
팀	팀/NNG
중	중/NNB
어느	어느/MMD
팀이	팀/NNG+이/JKS
이승준을	이승준/NNP+을/JKO
데려갈지는	데려가/VV+ㄹ지/EF+는/JX
7일	7/SN+일/NNB
서울	서울/NNP
강남구	강남구/NNP
논현동	논현동/NNP
KBL에서	KBL/SL+에서/JKB
있을	있/VA+을/ETM
추첨을	추첨/NNG+을/JKO
통해	통하/VV+아/EC
결정된다.	결정/NNG+되/XSV+ㄴ다/EF+./SF


