# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.35
metadata : {}


# id : NWRW1800000054.35.1.1
[월드 톡톡] 美 여성지 편집장 "늙어가는 것을 퇴치 대상으로 보는 '안티 에이징' 표현 안써"

[월드	[/SS+월드/NNG
톡톡]	톡톡/MAG+]/SS
美	美/SH
여성지	여성지/NNG
편집장	편집장/NNG
"늙어가는	"/SS+늙/VV+어/EC+가/VX+는/ETM
것을	것/NNB+을/JKO
퇴치	퇴치/NNG
대상으로	대상/NNG+으로/JKB
보는	보/VV+는/ETM
'안티	'/SS+안티/NNG
에이징'	에이징/NNG+'/SS
표현	표현/NNG
안써"	안/MAG+쓰/VV+어/EF+"/SS


# id : NWRW1800000054.35.2.1
"우리 잡지는 앞으로 안티 에이징(노화 방지)이라는 표현을 쓰지 않을 것이다."

"우리	"/SS+우리/NP
잡지는	잡지/NNG+는/JX
앞으로	앞/NNG+으로/JKB
안티	안티/NNG
에이징(노화	에이징/NNG+(/SS+노화/NNG
방지)이라는	방지/NNG+)/SS+이/VCP+라는/ETM
표현을	표현/NNG+을/JKO
쓰지	쓰/VV+지/EC
않을	않/VX+을/ETM
것이다."	것/NNB+이/VCP+다/EF+./SF+"/SS


# id : NWRW1800000054.35.3.1
100만명 이상 독자를 보유한 미국 대표 여성 월간지인 '얼루어(Allure)'의 미셸 리(여·41) 편집장이 지난 14일(현지 시각) 얼루어 홈페이지에 게재한 '편집장의 편지'에서 "(노화 방지라는 표현은) 늙는다는 것이 마치 바이러스나 곰팡이처럼 퇴치해야 하는 대상이란 메시지를 준다"며 이같이 선언했다.

100만명	100/SN+만/NR+명/NNB
이상	이상/NNG
독자를	독자/NNG+를/JKO
보유한	보유/NNG+하/XSV+ㄴ/ETM
미국	미국/NNP
대표	대표/NNG
여성	여성/NNG
월간지인	월간지/NNG+이/VCP+ㄴ/ETM
'얼루어(Allure)'의	'/SS+얼루어/NNP+(/SS+Allure/SL+)/SS+'/SS+의/JKG
미셸	미셸/NNP
리(여·41)	리/NNP+(/SS+여/NNG+·/SP+41/SN+)/SS
편집장이	편집장/NNG+이/JKS
지난	지나/VV+ㄴ/ETM
14일(현지	14/SN+일/NNB+(/SS+현지/NNG
시각)	시각/NNG+)/SS
얼루어	얼루어/NNP
홈페이지에	홈페이지/NNG+에/JKB
게재한	게재/NNG+하/XSV+ㄴ/ETM
'편집장의	'/SS+편집장/NNG+의/JKG
편지'에서	편지/NNG+'/SS+에서/JKB
"(노화	"/SS+(/SS+노화/NNG
방지라는	방지/NNG+이/VCP+라는/ETM
표현은)	표현/NNG+은/JX+)/SS
늙는다는	늙/VV+는다는/ETM
것이	것/NNB+이/JKS
마치	마치/MAG
바이러스나	바이러스/NNG+나/JC
곰팡이처럼	곰팡이/NNG+처럼/JKB
퇴치해야	퇴치/NNG+하/XSV+아야/EC
하는	하/VX+는/ETM
대상이란	대상/NNG+이/VCP+란/ETM
메시지를	메시지/NNG+를/JKO
준다"며	주/VV+ㄴ다/EF+"/SS+며/EC
이같이	이/NP+같이/JKB
선언했다.	선언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.35.3.2
리 편집장의 선언은 트위터를 통해 전 세계로 리트윗되면서 소셜미디어를 수일째 달구고 있다.

리	리/NNP
편집장의	편집장/NNG+의/JKG
선언은	선언/NNG+은/JX
트위터를	트위터/NNP+를/JKO
통해	통하/VV+아/EC
전	전/MMN
세계로	세계/NNG+로/JKB
리트윗되면서	리트윗/NNG+되/XSV+면서/EC
소셜미디어를	소셜/NNG+미디어/NNG+를/JKO
