# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.116
metadata : {}


# id : NWRW1800000033.116.1.1
[공연 리뷰]4人4色 에너지, 대극장을 감싸다

[공연	[/SS+공연/NNG
리뷰]4人4色	리뷰/NNG+]/SS+4/SN+人/SH+4/SN+色/SH
에너지,	에너지/NNG+,/SP
대극장을	대/XPN+극장/NNG+을/JKO
감싸다	감싸/VV+다/EF


# id : NWRW1800000033.116.2.1
춤 음악극 ‘思悼-사도세자 이야기’ ★★★★

춤	춤/NNG
음악극	음악극/NNG
‘思悼-사도세자	‘/SS+思悼/SH+-/SO+사도/NNP+세자/NNG
이야기’	이야기/NNG+’/SS
★★★★	★/SW+★/SW+★/SW+★/SW


# id : NWRW1800000033.116.3.1
10, 11일 서울 대학로 아르코예술극장 대극장 무대에서 공연한 국수호 안무의 춤 음악극 ‘思悼-사도세자 이야기’는 단 4명의 무용수로도 대극장 무대를 충분히 휘어잡을 수 있음을 보여주었다.

10,	10/SN+,/SP
11일	11/SN+일/NNB
서울	서울/NNP
대학로	대학로/NNP
아르코예술극장	아르코예술극장/NNP
대극장	대/XPN+극장/NNG
무대에서	무대/NNG+에서/JKB
공연한	공연/NNG+하/XSV+ㄴ/ETM
국수호	국수호/NNP
안무의	안무/NNG+의/JKG
춤	춤/NNG
음악극	음악극/NNG
‘思悼-사도세자	‘/SS+思悼/SH+-/SO+사도/NNP+세자/NNG
이야기’는	이야기/NNG+’/SS+는/JX
단	단/MMA
4명의	4/SN+명/NNB+의/JKG
무용수로도	무용수/NNG+로/JKB+도/JX
무대를	무대/NNG+를/JKO
충분히	충분히/MAG
휘어잡을	휘어잡/VV+을/ETM
수	수/NNB
있음을	있/VA+음/ETN+을/JKO
보여주었다.	보이/VV+어/EC+주/VX+었/EP+다/EF+./SF


# id : NWRW1800000033.116.4.1
2007년 국립중앙박물관 극장 용에서 초연한 이 작품은 뒤주에 갇혀 죽음을 맞은 사도세자의 마지막 8일을 사도, 혜경궁 홍씨, 영조, 정조 4명만으로 풀어낸다.

