# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.185
metadata : {}


# id : NWRW1800000037.185.1.1
9층빌딩 통째 원스톱성매매 ‘풀살롱’

9층빌딩	9/SN+층/NNG+빌딩/NNG
통째	통/NNG+째/XSN
원스톱성매매	원스톱/NNG+성매매/NNG
‘풀살롱’	‘/SS+풀살롱/NNG+’/SS


# id : NWRW1800000037.185.2.1
3개층서 술먹으며 1차 유사성행위… 6∼9층서 2차로 성관계

3개층서	3/SN+개/NNB+층/NNG+서/JKB
술먹으며	술/NNG+먹/VV+으며/EC
1차	1/SN+차/NNB
유사성행위…	유사/NNG+성행위/NNG+…/SE
6∼9층서	6/SN+∼/SO+9/SN+층/NNG+서/JKB
2차로	2/SN+차/NNB+로/JKB
성관계	성관계/NNG


# id : NWRW1800000037.185.3.1
서울 강남 한복판에서 9층짜리 빌딩을 통째로 성매매 공간으로 이용한 속칭 ‘풀살롱’의 업주와 종업원 등이 무더기로 경찰에 붙잡혔다.

서울	서울/NNP
강남	강남/NNP
한복판에서	한/XPN+복판/NNG+에서/JKB
9층짜리	9/SN+층/NNG+짜리/XSN
빌딩을	빌딩/NNG+을/JKO
통째로	통/NNG+째/XSN+로/JKB
성매매	성매매/NNG
공간으로	공간/NNG+으로/JKB
이용한	이용/NNG+하/XSV+ㄴ/ETM
속칭	속칭/NNG
‘풀살롱’의	‘/SS+풀살롱/NNG+’/SS+의/JKG
업주와	업주/NNG+와/JC
종업원	종업원/NNG
등이	등/NNB+이/JKS
무더기로	무더기/NNG+로/JKB
경찰에	경찰/NNG+에/JKB
붙잡혔다.	붙잡히/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.185.3.2
검찰이 지난해 7월 여성 접대부 400명, 룸 개수가 180개에 이르는 강남 최대 업소 YTT를 단속했지만 여전히 대형 풀살롱이 활개를 치고 있는 것으로 드러났다.

검찰이	검찰/NNG+이/JKS
지난해	지난해/NNG
7월	7/SN+월/NNB
여성	여성/NNG
접대부	접대부/NNG
400명,	400/SN+명/NNB+,/SP
룸	룸/NNG
개수가	개수/NNG+가/JKS
180개에	180/SN+개/NNB+에/JKB
이르는	이르/VV+는/ETM
강남	강남/NNP
최대	최대/NNG
업소	업소/NNG
YTT를	YTT/SL+를/JKO
단속했지만	단속/NNG+하/XSV+았/EP+지만/EC
여전히	여전히/MAG
대형	대형/NNG
풀살롱이	풀살롱/NNG+이/JKS
활개를	활개/NNG+를/JKO
치고	치/VV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.185.4.1
서울지방경찰청 광역단속수사팀은 강남구 삼성동 건물에서 V유흥주점 등을 운영하며 성매매를 알선한 혐의(성매매알선 등 행위의 처벌에 관한 법률 위반)로 업소 총책임자 정모 씨(35)를 구속했다고 20일 밝혔다.

서울지방경찰청	서울지방경찰청/NNP
광역단속수사팀은	광역/NNG+단속/NNG+수사/NNG+팀/NNG+은/JX
강남구	강남구/NNP
삼성동	삼성동/NNP
건물에서	건물/NNG+에서/JKB
V유흥주점	V/SL+유흥/NNG+주점/NNG
등을	등/NNB+을/JKO
운영하며	운영/NNG+하/XSV+며/EC
