# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.294
metadata : {}


# id : NWRW1800000049.294.1.1
[횡설수설/정성희]트럼프식 협상

[횡설수설/정성희]트럼프식	[/SS+횡설수설/NNG+//SP+정성희/NNP+]/SS+트럼프식/NNG
협상	협상/NNG


# id : NWRW1800000049.294.2.1
도널드 트럼프 미국 대통령 당선인에 대해 우리는 얼마나 알고 있는가.

도널드	도널드/NNP
트럼프	트럼프/NNP
미국	미국/NNP
대통령	대통령/NNG
당선인에	당선인/NNG+에/JKB
대해	대하/VV+아/EC
우리는	우리/NP+는/JX
얼마나	얼마나/MAG
알고	알/VV+고/EC
있는가.	있/VX+는가/EF+./SF


# id : NWRW1800000049.294.2.2
난봉꾼, 막말의 대가, 차별주의자….

난봉꾼,	난봉/NNG+꾼/XSN+,/SP
막말의	막말/NNG+의/JKG
대가,	대가/NNG+,/SP
차별주의자….	차별주의자/NNG+…/SE+./SF


# id : NWRW1800000049.294.2.3
그러나 트럼프의 부동산 개발과 거래 과정을 지켜본 변호사이자 협상 전문가인 조지 로스는 ‘트럼프처럼 협상하라’라는 책에서 트럼프는 놀라울 만큼 체계적 생각을 가졌고 아주 복잡한 문제를 보통 사람들은 전혀 생각해 낼 수 없는 창의적 방식으로 해결한다고 소개했다.

그러나	그러나/MAJ
트럼프의	트럼프/NNP+의/JKG
부동산	부동산/NNG
개발과	개발/NNG+과/JC
거래	거래/NNG
과정을	과정/NNG+을/JKO
지켜본	지켜보/VV+ㄴ/ETM
변호사이자	변호사/NNG+이/VCP+자/EC
협상	협상/NNG
전문가인	전문가/NNG+이/VCP+ㄴ/ETM
조지	조지/NNP
로스는	로스/NNP+는/JX
‘트럼프처럼	‘/SS+트럼프/NNP+처럼/JKB
협상하라’라는	협상/NNG+하/XSV+라/EF+’/SS+이/VCP+라는/ETM
책에서	책/NNG+에서/JKB
트럼프는	트럼프/NNP+는/JX
놀라울	놀랍/VA+ㄹ/ETM
만큼	만큼/NNB
체계적	체계/NNG+적/XSN
생각을	생각/NNG+을/JKO
가졌고	가지/VV+었/EP+고/EC
아주	아주/MAG
복잡한	복잡하/VA+ㄴ/ETM
문제를	문제/NNG+를/JKO
보통	보통/NNG
사람들은	사람/NNG+들/XSN+은/JX
전혀	전혀/MAG
생각해	생각/NNG+하/XSV+아/EC
낼	내/VX+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
창의적	창의/NNG+적/XSN
방식으로	방식/NNG+으로/JKB
해결한다고	해결/NNG+하/XSV+ㄴ다고/EC
소개했다.	소개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.294.3.1
▷1974년 뉴욕 42번가 그랜드센트럴 터미널 주변 지역은 슬럼화하고 있었다.

▷1974년	▷/SW+1974/SN+년/NNB
뉴욕	뉴욕/NNP
42번가	42/SN+번가/NNB
그랜드센트럴	그랜드센트럴/NNP
터미널	터미널/NNG
주변	주변/NNG
지역은	지역/NNG+은/JX
슬럼화하고	슬럼/NNG+화/XSN+하/XSV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000049.294.3.2
코모도호텔은 과거의 멋진 모습을 잃은 채 폐허로 변해갔다.

코모도호텔은	코모도호텔/NNP+은/JX
과거의	과거/NNG+의/JKG
멋진	멋지/VA+ㄴ/ETM
모습을	모습/NNG+을/JKO
잃은	잃/VV+은/ETM
채	채/NNB
폐허로	폐허/NNG+로/JKB
변해갔다.	변하/VV+아/EC+가/VX+았/EP+다/EF+./SF


# id : NWRW1800000049.294.3.3
야심만만한 27세 청년 트럼프는 이 호텔을 사들여 현대식 호텔로 변신시키겠다는 사업 구상을 했다.

야심만만한	야심만만하/VA+ㄴ/ETM
27세	27/SN+세/NNB
청년	청년/NNG
트럼프는	트럼프/NNP+는/JX
이	이/MMD
호텔을	호텔/NNG+을/JKO
사들여	사들이/VV+어/EC
현대식	현대식/NNG
호텔로	호텔/NNG+로/JKB
변신시키겠다는	변신/NNG+시키/XSV+겠/EP+다는/ETM
사업	사업/NNG
구상을	구상/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.294.3.4
그러고는 파산 상태임에도 호텔 부지를 소유한 펜센트럴 철도회사, 건축허가를 담당하는 뉴욕 시와 뉴욕 주, 새로운 호텔을 들이고 싶지 않았던 호텔업계, 건물을 떠나야 하는 입주자들, 돈을 댈 투자자 등 이해관계가 상충하는 5개 그룹과의 협상을 통해 불가능해 보이는 프로젝트를 완수한다.

그러고는	그러/VV+고는/EC
파산	파산/NNG
상태임에도	상태/NNG+이/VCP+ㅁ/ETN+에/JKB+도/JX
호텔	호텔/NNG
부지를	부지/NNG+를/JKO
소유한	소유/NNG+하/XSV+ㄴ/ETM
펜센트럴	펜센트럴/NNP
철도회사,	철도/NNG+회사/NNG+,/SP
건축허가를	건축/NNG+허가/NNG+를/JKO
담당하는	담당/NNG+하/XSV+는/ETM
뉴욕	뉴욕/NNP
시와	시/NNG+와/JC
주,	주/NNG+,/SP
새로운	새롭/VA+ㄴ/ETM
호텔을	호텔/NNG+을/JKO
들이고	들이/VV+고/EC
싶지	싶/VX+지/EC
않았던	않/VX+았/EP+던/ETM
호텔업계,	호텔업/NNG+계/XSN+,/SP
건물을	건물/NNG+을/JKO
떠나야	떠나/VV+아야/EC
하는	하/VX+는/ETM
입주자들,	입주자/NNG+들/XSN+,/SP
