# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.459
metadata : {}


# id : NWRW1800000022.459.1.1
"내 자리 바로 앞에서 항공기 동체 부러져";美여객기 활주로 이탈… 승객 91명만 경상 "기적"

"내	"/SS+나/NP+의/JKG
자리	자리/NNG
바로	바로/MAG
앞에서	앞/NNG+에서/JKB
항공기	항공기/NNG
동체	동체/NNG
부러져";美여객기	부러지/VV+어/EF+"/SS+;/SW+美/SH+여객기/NNG
활주로	활주로/NNG
이탈…	이탈/NNG+…/SE
승객	승객/NNG
91명만	91/SN+명/NNB+만/JX
경상	경상/NNG
"기적"	"/SS+기적/NNG+"/SS


# id : NWRW1800000022.459.2.1
미국 아메리칸 에어라인(AA) 소속 보잉 737 여객기가 22일 오후 10시쯤 자메이카의 수도 킹스턴 국제공항에 착륙하던 중 빗길에 미끄러지면서 활주로를 이탈해 기체가 두 동강 나는 사고가 발생했다.

미국	미국/NNP
아메리칸	아메리칸/NNP
에어라인(AA)	에어라인/NNP+(/SS+AA/SL+)/SS
소속	소속/NNG
보잉	보잉/NNP
737	737/SN
여객기가	여객기/NNG+가/JKS
22일	22/SN+일/NNB
오후	오후/NNG
10시쯤	10/SN+시/NNB+쯤/XSN
자메이카의	자메이카/NNP+의/JKG
수도	수도/NNG
킹스턴	킹스턴/NNP
국제공항에	국제공항/NNG+에/JKB
착륙하던	착륙/NNG+하/XSV+던/ETM
중	중/NNB
빗길에	빗길/NNG+에/JKB
미끄러지면서	미끄러지/VV+면서/EC
활주로를	활주로/NNG+를/JKO
이탈해	이탈/NNG+하/XSV+아/EC
기체가	기체/NNG+가/JKS
두	두/MMN
동강	동강/NNG
나는	나/NP+는/JX
사고가	사고/NNG+가/JKS
발생했다.	발생/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.459.3.1
사고 당시 항공기에는 승객과 승무원 등 154명이 탑승했으나, 다행히 사망자는 없었다.

사고	사고/NNG
당시	당시/NNG
항공기에는	항공기/NNG+에/JKB+는/JX
승객과	승객/NNG+과/JC
승무원	승무원/NNG
등	등/NNB
154명이	154/SN+명/NNB+이/JKS
탑승했으나,	탑승/NNG+하/XSV+았/EP+으나/EC+,/SP
다행히	다행히/MAG
사망자는	사망자/NNG+는/JX
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000022.459.3.2
그러나 승객 91명이 골절과 찰과상 등 비교적 가벼운 상처를 입었다고 AFP통신이 23일 보도했다.

그러나	그러나/MAJ
승객	승객/NNG
91명이	91/SN+명/NNB+이/JKS
골절과	골절/NNG+과/JC
찰과상	찰과상/NNG
등	등/NNB
비교적	비교/NNG+적/XSN
가벼운	가볍/VA+ㄴ/ETM
상처를	상처/NNG+를/JKO
입었다고	입/VV+었/EP+다고/EC
AFP통신이	AFP통신/NNP+이/JKS
23일	23/SN+일/NNB
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.459.4.1
사고기는 이날 오후 8시 52분쯤 미국 마이애미 국제공항을 이륙했으며, 폭우를 뚫고 자메이카 공항에 착륙을 시도했다.

사고기는	사고기/NNG+는/JX
이날	이날/NNG
오후	오후/NNG
8시	8/SN+시/NNB
52분쯤	52/SN+분/NNB+쯤/XSN
미국	미국/NNP
마이애미	마이애미/NNP
국제공항을	국제공항/NNG+을/JKO
이륙했으며,	이륙/NNG+하/XSV+았/EP+으며/EC+,/SP
폭우를	폭우/NNG+를/JKO
뚫고	뚫/VV+고/EC
자메이카	자메이카/NNP
공항에	공항/NNG+에/JKB
착륙을	착륙/NNG+을/JKO
시도했다.	시도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.459.4.2
그러나 사고기는 활주로를 벗어나 공항 펜스를 뚫고 인근 해변 둔덕에 처박혔다.

그러나	그러나/MAJ
사고기는	사고기/NNG+는/JX
활주로를	활주로/NNG+를/JKO
벗어나	벗어나/VV+아/EC
공항	공항/NNG
펜스를	펜스/NNG+를/JKO
뚫고	뚫/VV+고/EC
인근	인근/NNG
해변	해변/NNG
둔덕에	둔덕/NNG+에/JKB
처박혔다.	처박히/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.459.5.1
사고기에 탑승했던 한 승객은 "항공기가 어렵사리 활주로에 착륙하자 일부 승객이 안도의 손뼉을 치는 등 처음에는 별문제가 없었다"며 "그런데 항공기가 멈추지 않고 계속 미끄러지더니 큰 충격과 함께 동체가 파손됐다"고 말했다.

사고기에	사고기/NNG+에/JKB
탑승했던	탑승/NNG+하/XSV+았/EP+던/ETM
한	한/MMN
승객은	승객/NNG+은/JX
"항공기가	"/SS+항공기/NNG+가/JKS
어렵사리	어렵사리/MAG
활주로에	활주로/NNG+에/JKB
착륙하자	착륙/NNG+하/XSV+자/EC
일부	일부/NNG
승객이	승객/NNG+이/JKS
안도의	안도/NNG+의/JKG
손뼉을	손뼉/NNG+을/JKO
치는	치/VV+는/ETM
등	등/NNB
처음에는	처음/NNG+에/JKB+는/JX
별문제가	별문제/NNG+가/JKS
없었다"며	없/VA+었/EP+다/EF+"/SS+며/EC
"그런데	"/SS+그런데/MAJ
