# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.400
metadata : {}


# id : NWRW1800000036.400.1.1
군, 반유신·반독재도 종북 규정 ‘황당한 시험’

군,	군/NNG+,/SP
반유신·반독재도	반/XPN+유신/NNG+·/SP+반/XPN+독재/NNG+도/JX
종북	종북/NNG
규정	규정/NNG
‘황당한	‘/SS+황당하/VA+ㄴ/ETM
시험’	시험/NNG+’/SS


# id : NWRW1800000036.400.2.1
[한겨레] 문제: 종북세력은 유신체제 하에서 ( )을 빙자해 세력확산을 기도했다.

[한겨레]	[/SS+한겨레/NNP+]/SS
문제:	문제/NNG+:/SP
종북세력은	종북/NNG+세력/NNG+은/JX
유신체제	유신/NNG+체제/NNG
하에서	하/XSN+에서/JKB
(	(/SS
)을	)/SS+을/JKO
빙자해	빙자/NNG+하/XSV+아/EC
세력확산을	세력/NNG+확산/NNG+을/JKO
기도했다.	기도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.400.3.1
정답: 반유신, 반독재투쟁

정답:	정답/NNG+:/SP
반유신,	반/XPN+유신/NNG+,/SP
반독재투쟁	반/XPN+독재/NNG+투쟁/NNG


# id : NWRW1800000036.400.4.1
군이 반유신, 반독재 민주화투쟁을 종북세력의 확산 계기로 규정하는 내용 등을 담은 ‘종북 시험’을 치르게 하고 시험 성적을 진급과 휴가에도 반영하고 있는 것으로 3일 확인됐다.

군이	군/NNG+이/JKS
반유신,	반/XPN+유신/NNG+,/SP
반독재	반/XPN+독재/NNG
민주화투쟁을	민주/NNG+화/XSN+투쟁/NNG+을/JKO
종북세력의	종북/NNG+세력/NNG+의/JKG
확산	확산/NNG
계기로	계기/NNG+로/JKB
규정하는	규정/NNG+하/XSV+는/ETM
내용	내용/NNG
등을	등/NNB+을/JKO
담은	담/VV+은/ETM
‘종북	‘/SS+종북/NNG
시험’을	시험/NNG+’/SS+을/JKO
치르게	치르/VV+게/EC
하고	하/VX+고/EC
시험	시험/NNG
성적을	성적/NNG+을/JKO
진급과	진급/NNG+과/JC
휴가에도	휴가/NNG+에/JKB+도/JX
반영하고	반영/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
3일	3/SN+일/NNB
확인됐다.	확인/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000036.400.5.1
<한겨레>가 입수한 ‘종북세력 실체 인식 집중 정신교육 계획’이라는 ○○부대 공문을 보면, 이른바 ‘종북 시험’을 치르게 하고 이를 진급과 휴가에 반영하도록 하는 내용이 담겨 있다.

<한겨레>가	</SS+한겨레/NNP+>/SS+가/JKS
입수한	입수/NNG+하/XSV+ㄴ/ETM
‘종북세력	‘/SS+종북/NNG+세력/NNG
실체	실체/NNG
인식	인식/NNG
집중	집중/NNG
정신교육	정신/NNG+교육/NNG
계획’이라는	계획/NNG+’/SS+이/VCP+라는/ETM
○○부대	○/SW+○/SW+부대/NNG
공문을	공문/NNG+을/JKO
보면,	보/VV+면/EC+,/SP
이른바	이른바/MAG
‘종북	‘/SS+종북/NNG
시험’을	시험/NNG+’/SS+을/JKO
치르게	치르/VV+게/EC
하고	하/VX+고/EC
이를	이/NP+를/JKO
진급과	진급/NNG+과/JC
휴가에	휴가/NNG+에/JKB
반영하도록	반영/NNG+하/XSV+도록/EC
하는	하/VV+는/ETM
내용이	내용/NNG+이/JKS
담겨	담기/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.400.5.2
공문에 덧붙여진 ‘종북세력 실체 인식 평가문제’의 단답형 5번 문항은 “종북세력은 1972년 유신체제하에서 사회주의적 건설 목표를 은닉한 채 ( )을 빙자하여 세력 확산을 기도했다”고 되어 있으며, 정답으로 ‘반유신·반독재 민주화 투쟁’을 제시했다.

공문에	공문/NNG+에/JKB
덧붙여진	덧붙이/VV+어/EC+지/VX+ㄴ/ETM
‘종북세력	‘/SS+종북/NNG+세력/NNG
실체	실체/NNG
인식	인식/NNG
평가문제’의	평가/NNG+문제/NNG+’/SS+의/JKG
단답형	단답/NNG+형/XSN
5번	5/SN+번/NNB
문항은	문항/NNG+은/JX
“종북세력은	“/SS+종북/NNG+세력/NNG+은/JX
1972년	1972/SN+년/NNB
유신체제하에서	유신/NNG+체제/NNG+하/XSN+에서/JKB
사회주의적	사회주의/NNG+적/XSN
건설	건설/NNG
목표를	목표/NNG+를/JKO
은닉한	은닉/NNG+하/XSV+ㄴ/ETM
채	채/NNB
(	(/SS
)을	)/SS+을/JKO
빙자하여	빙자/NNG+하/XSV+아/EC
세력	세력/NNG
확산을	확산/NNG+을/JKO
기도했다”고	기도/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
되어	되/VV+어/EC
있으며,	있/VX+으며/EC+,/SP
정답으로	정답/NNG+으로/JKB
‘반유신·반독재	‘/SS+반/XPN+유신/NNG+·/SP+반/XPN+독재/NNG
민주화	민주/NNG+화/XSN
투쟁’을	투쟁/NNG+’/SS+을/JKO
제시했다.	제시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.400.5.3
유신체제 반대운동과 반독재 민주화운동을 종북세력이 확산되는 계기로 규정한 것이다.

유신체제	유신/NNG+체제/NNG
반대운동과	반대/NNG+운동/NNG+과/JC
반독재	반/XPN+독재/NNG
민주화운동을	민주/NNG+화/XSN+운동/NNG+을/JKO
종북세력이	종북/NNG+세력/NNG+이/JKS
확산되는	확산/NNG+되/XSV+는/ETM
계기로	계기/NNG+로/JKB
규정한	규정/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000036.400.5.4
이와 똑같은 내용의 문제가 ‘○× 문제’와 500자 내외로 쓰는 약술형(‘종북세력의 생성 및 변천 과정’에 대해 약술하시오)에도 등장한다.

이와	이/NP+와/JKB
똑같은	똑같/VA+은/ETM
내용의	내용/NNG+의/JKG
문제가	문제/NNG+가/JKS
‘○×	‘/SS+○/SW+×/SW
문제’와	문제/NNG+’/SS+와/JC
500자	500/SN+자/NNG
내외로	내외/NNG+로/JKB
쓰는	쓰/VV+는/ETM
약술형(‘종북세력의	약술/NNG+형/XSN+(/SS+‘/SS+종북/NNG+세력/NNG+의/JKG
생성	생성/NNG
및	및/MAG
변천	변천/NNG
과정’에	과정/NNG+’/SS+에/JKB
대해	대하/VV+아/EC
약술하시오)에도	약술/NNG+하/XSV+시/EP+오/EF+)/SS+에/JKB+도/JX
등장한다.	등장/NNG+하/XSV+ㄴ다/EF+./SF


