# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.124
metadata : {}


# id : NWRW1800000022.124.1.1
[청년취업 10000명]창원·마산 인재 81명, 현장에서 뽑습니다;'청년취업 1만명 프로젝트' 잡월드 창원 로드쇼

[청년취업	[/SS+청년/NNG+취업/NNG
10000명]창원·마산	10000/SN+명/NNB+]/SS+창원/NNP+·/SP+마산/NNP
인재	인재/NNG
81명,	81/SN+명/NNB+,/SP
현장에서	현장/NNG+에서/JKB
뽑습니다;'청년취업	뽑/VV+습니다/EF+;/SP+'/SS+청년/NNG+취업/NNG
1만명	1/SN+만/NR+명/NNB
프로젝트'	프로젝트/NNG+'/SS
잡월드	잡월드/NNP
창원	창원/NNP
로드쇼	로드쇼/NNG


# id : NWRW1800000022.124.2.1
조선일보와 기업은행이 '청년 취업 1만명 프로젝트'의 하나로 전국을 순회하며 개최하는 '잡월드 로드쇼'(현장채용 박람회)가 9일 경남 창원에서 열린다.

조선일보와	조선일보/NNP+와/JC
기업은행이	기업은행/NNP+이/JKS
'청년	'/SS+청년/NNG
취업	취업/NNG
1만명	1/SN+만/NR+명/NNB
프로젝트'의	프로젝트/NNG+'/SS+의/JKG
하나로	하나/NR+로/JKB
전국을	전국/NNG+을/JKO
순회하며	순회/NNG+하/XSV+며/EC
개최하는	개최/NNG+하/XSV+는/ETM
'잡월드	'/SS+잡월드/NNP
로드쇼'(현장채용	로드쇼/NNG+'/SS+(/SS+현장/NNG+채용/NNG
박람회)가	박람회/NNG+)/SS+가/JKS
9일	9/SN+일/NNB
경남	경남/NNP
창원에서	창원/NNP+에서/JKB
열린다.	열리/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.124.3.1
경북 구미(3월 9일)와 대전 대덕(3월 24일)에 이어 세번째로 열리는 창원 로드쇼에는 경남 창원·마산 지역의 우수 중소기업 20곳이 참여해 81명의 인재를 뽑을 계획이다.

경북	경북/NNP
구미(3월	구미/NNP+(/SS+3/SN+월/NNB
9일)와	9/SN+일/NNB+)/SS+와/JC
대전	대전/NNP
대덕(3월	대덕/NNP+(/SS+3/SN+월/NNB
24일)에	24/SN+일/NNB+)/SS+에/JKB
이어	잇/VV+어/EC
세번째로	세/MMN+번/NNB+째/XSN+로/JKB
열리는	열리/VV+는/ETM
창원	창원/NNP
로드쇼에는	로드쇼/NNG+에/JKB+는/JX
경남	경남/NNP
창원·마산	창원/NNP+·/SP+마산/NNP
지역의	지역/NNG+의/JKG
우수	우수/NNG
중소기업	중소기업/NNG
20곳이	20/SN+곳/NNG+이/JKS
참여해	참여/NNG+하/XSV+아/EC
81명의	81/SN+명/NNB+의/JKG
인재를	인재/NNG+를/JKO
뽑을	뽑/VV+을/ETM
