# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.390
metadata : {}


# id : NWRW1800000030.390.1.1
[호남] [문화 현장] 전주동헌서 품위와 겸양 펼친다

[호남]	[/SS+호남/NNP+]/SS
[문화	[/SS+문화/NNG
현장]	현장/NNG+]/SS
전주동헌서	전주동헌/NNP+서/JKB
품위와	품위/NNG+와/JC
겸양	겸양/NNG
펼친다	펼치/VV+ㄴ다/EF


# id : NWRW1800000030.390.2.1
•사상견례·향음주례·향사례… 郭서울교육감 등 단체연수

•사상견례·향음주례·향사례…	•/SW+사상견례/NNG+·/SP+향음주례/NNG+·/SP+향사례/NNG+…/SE
郭서울교육감	郭/SH+서울/NNP+교육감/NNG
등	등/NNB
단체연수	단체/NNG+연수/NNG


# id : NWRW1800000030.390.3.1
옛 선비들은 처음 만나고, 술을 나누며, 활을 쏠 때도 품위와 겸양을 누렸다.

옛	옛/MMA
선비들은	선비/NNG+들/XSN+은/JX
처음	처음/NNG
만나고,	만나/VV+고/EC+,/SP
술을	술/NNG+을/JKO
나누며,	나누/VV+며/EC+,/SP
활을	활/NNG+을/JKO
쏠	쏘/VV+ㄹ/ETM
때도	때/NNG+도/JX
품위와	품위/NNG+와/JC
겸양을	겸양/NNG+을/JKO
누렸다.	누리/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.390.3.2
첫 인사를 나눌 때의 사상견례(士相見禮)는 예로써 신의를 다지는 작은 의식이었다.

첫	첫/MMN
인사를	인사/NNG+를/JKO
나눌	나누/VV+ㄹ/ETM
때의	때/NNG+의/JKG
사상견례(士相見禮)는	사상견례/NNG+(/SS+士相見禮/SH+)/SS+는/JX
예로써	예/NNG+로써/JKB
신의를	신의/NNG+를/JKO
다지는	다지/VV+는/ETM
작은	작/VA+은/ETM
의식이었다.	의식/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.390.3.3
술을 나누고 활을 쏘면서도 향음주례(鄕飮酒禮)와 향사례(鄕射禮)를 교범으로 절도와 풍류가 흐르게 했다.

술을	술/NNG+을/JKO
나누고	나누/VV+고/EC
활을	활/NNG+을/JKO
쏘면서도	쏘/VV+면서/EC+도/JX
향음주례(鄕飮酒禮)와	향음주례/NNG+(/SS+鄕飮酒禮/SH+)/SS+와/JC
향사례(鄕射禮)를	향사례/NNG+(/SS+鄕射禮/SH+)/SS+를/JKO
교범으로	교범/NNG+으로/JKB
절도와	절도/NNG+와/JC
풍류가	풍류/NNG+가/JKS
흐르게	흐르/VV+게/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000030.390.4.1
이 세 가지 의례가 전주향교 곁에 개원한 전주전통문화연수원에서 29~30일 잇달아 펼쳐진다.

이	이/MMD
세	세/MMN
가지	가지/NNB
의례가	의례/NNG+가/JKS
전주향교	전주/NNP+향교/NNG
곁에	곁/NNG+에/JKB
개원한	개원/NNG+하/XSV+ㄴ/ETM
전주전통문화연수원에서	전주전통문화연수원/NNP+에서/JKB
29~30일	29/SN+~/SO+30/SN+일/NNB
잇달아	잇달/VV+아/EC
펼쳐진다.	펼쳐지/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.390.4.2
'한국인이 알아야 할 2학(學)3례(禮)' 과정으로 이 연수원 첫 체류연수단인 서울교육청 곽노현 교육감 등 간부 일행을 맞아 이틀간 진행된다.

'한국인이	'/SS+한국인/NNG+이/JKS
알아야	알/VV+아야/EC
할	하/VX+ㄹ/ETM
2학(學)3례(禮)'	2/SN+학/NNG+(/SS+學/SH+)/SS+3/SN+례/NNG+(/SS+禮/SH+)/SS+'/SS
과정으로	과정/NNG+으로/JKB
이	이/MMD
연수원	연수원/NNG
첫	첫/MMN
체류연수단인	체류/NNG+연수단/NNG+이/VCP+ㄴ/ETM
서울교육청	서울교육청/NNP
곽노현	곽노현/NNP
교육감	교육감/NNG
등	등/NNB
간부	간부/NNG
일행을	일행/NNG+을/JKO
맞아	맞/VV+아/EC
이틀간	이틀/NNG+간/XSN
진행된다.	진행/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000030.390.5.1
전주시는 옛 전주동헌과 독립운동가 장현식 선생 고택을 전주향교 옆에 나란히 이축(移築)해 지난 14일 이 연수원을 열었다.

전주시는	전주시/NNP+는/JX
옛	옛/MMA
전주동헌과	전주동헌/NNP+과/JC
독립운동가	독립운동가/NNG
장현식	장현식/NNP
선생	선생/NNG
고택을	고택/NNG+을/JKO
전주향교	전주/NNP+향교/NNG
옆에	옆/NNG+에/JKB
나란히	나란히/MAG
이축(移築)해	이축/NNG+(/SS+移築/SH+)/SS+하/XSV+아/EC
지난	지나/VV+ㄴ/ETM
14일	14/SN+일/NNB
이	이/MMD
연수원을	연수원/NNG+을/JKO
열었다.	열/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.390.5.2
향교 주변 한옥마을의 전통문화 콘텐츠들을 활용, 가장 한국적인 체류 연수 공간을 만든다는 게 시의 포부였다.

향교	향교/NNG
주변	주변/NNG
한옥마을의	한옥/NNG+마을/NNG+의/JKG
전통문화	전통문화/NNG
콘텐츠들을	콘텐츠/NNG+들/XSN+을/JKO
활용,	활용/NNG+,/SP
가장	가장/MAG
한국적인	한국/NNP+적/XSN+이/VCP+ㄴ/ETM
체류	체류/NNG
연수	연수/NNG
공간을	공간/NNG+을/JKO
만든다는	만들/VV+ㄴ다는/ETM
게	거/NNB+이/JKS
시의	시/NNG+의/JKG
포부였다.	포부/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.390.6.1
◆문화유산이 된 선비들의 예법

◆문화유산이	◆/SW+문화유산/NNG+이/JKC
된	되/VV+ㄴ/ETM
선비들의	선비/NNG+들/XSN+의/JKG
예법	예법/NNG


# id : NWRW1800000030.390.7.1
사상견례는 선비가 처음 만나는 이의 집을 찾아 신분과 만나려는 사유를 전하는 청견(請見)으로 시작해 예물인 폐백을 전하는 전지(傳贄)와 안으로 들어 절을 나누는 반견(反見)으로 이어진다.

사상견례는	사상견례/NNG+는/JX
선비가	선비/NNG+가/JKS
처음	처음/NNG
만나는	만나/VV+는/ETM
이의	이/NNB+의/JKG
집을	집/NNG+을/JKO
찾아	찾/VV+아/EC
신분과	신분/NNG+과/JKB
만나려는	만나/VV+려는/ETM
사유를	사유/NNG+를/JKO
전하는	전하/VV+는/ETM
청견(請見)으로	청견/NNG+(/SS+請見/SH+)/SS+으로/JKB
시작해	시작/NNG+하/XSV+아/EC
예물인	예물/NNG+이/VCP+ㄴ/ETM
폐백을	폐백/NNG+을/JKO
전지(傳贄)와	전지/NNG+(/SS+傳贄/SH+)/SS+와/JC
안으로	안/NNG+으로/JKB
들어	들/VV+어/EC
절을	절/NNG+을/JKO
나누는	나누/VV+는/ETM
반견(反見)으로	반견/NNG+(/SS+反見/SH+)/SS+으로/JKB
이어진다.	이어지/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.390.7.2
주인이 다과로 손님을 접대하고, 용무 후 전송한 뒤, 답례를 하는 것까지가 이 의례의 기본 절차다.

주인이	주인/NNG+이/JKS
다과로	다과/NNG+로/JKB
손님을	손/NNG+님/XSN+을/JKO
접대하고,	접대/NNG+하/XSV+고/EC+,/SP
용무	용무/NNG
후	후/NNG
전송한	전송/NNG+하/XSV+ㄴ/ETM
뒤,	뒤/NNG+,/SP
답례를	답례/NNG+를/JKO
하는	하/VV+는/ETM
것까지가	것/NNB+까지/JX+가/JKS
이	이/MMD
의례의	의례/NNG+의/JKG
기본	기본/NNG
절차다.	절차/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.390.7.3
처음 만나며 선물을 전하고, 방문한 집에서 돌아 나올 때 신발을 대충 신은 뒤 후미진 곳에서 고쳐 신으며, 답례를 보내는 예절도 사상견례의 유산이라고 연수원은 설명한다.

처음	처음/NNG
만나며	만나/VV+며/EC
선물을	선물/NNG+을/JKO
전하고,	전하/VV+고/EC+,/SP
방문한	방문/NNG+하/XSV+ㄴ/ETM
집에서	집/NNG+에서/JKB
돌아	돌/VV+아/EC
나올	나오/VV+ㄹ/ETM
때	때/NNG
신발을	신발/NNG+을/JKO
대충	대충/MAG
신은	신/VV+은/ETM
뒤	뒤/NNG
후미진	후미지/VA+ㄴ/ETM
곳에서	곳/NNG+에서/JKB
고쳐	고치/VV+어/EC
신으며,	신/VV+으며/EC+,/SP
답례를	답례/NNG+를/JKO
보내는	보내/VV+는/ETM
예절도	예절/NNG+도/JX
사상견례의	사상견례/NNG+의/JKG
유산이라고	유산/NNG+이/VCP+라고/EC
연수원은	연수원/NNG+은/JX
설명한다.	설명/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000030.390.8.1
향음주례는 선비와 유생들이 향교나 서원에 모여 예와 함께 즐기던 술자리로 28가지 절차로 진행된다.

향음주례는	향음주례/NNG+는/JX
선비와	선비/NNG+와/JC
유생들이	유생/NNG+들/XSN+이/JKS
향교나	향교/NNG+나/JC
서원에	서원/NNG+에/JKB
모여	모이/VV+어/EC
예와	예/NNG+와/JKB
함께	함께/MAG
즐기던	즐기/VV+던/ETM
술자리로	술자리/NNG+로/JKB
28가지	28/SN+가지/NNB
절차로	절차/NNG+로/JKB
진행된다.	진행/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000030.390.8.2
학덕과 연륜이 높은 이를 주빈으로 모셔, 술잔을 돌리면서도 장유(長幼)의 질서에 따라 존경과 겸양을 표현하며, 아랫사람에게 술 마시는 법도를 익히게 했다.

학덕과	학덕/NNG+과/JC
연륜이	연륜/NNG+이/JKS
높은	높/VA+은/ETM
이를	이/NNB+를/JKO
주빈으로	주빈/NNG+으로/JKB
모셔,	모시/VV+어/EC+,/SP
술잔을	술잔/NNG+을/JKO
돌리면서도	돌리/VV+면서/EC+도/JX
장유(長幼)의	장유/NNG+(/SS+長幼/SH+)/SS+의/JKG
질서에	질서/NNG+에/JKB
따라	따르/VV+아/EC
존경과	존경/NNG+과/JC
겸양을	겸양/NNG+을/JKO
표현하며,	표현/NNG+하/XSV+며/EC+,/SP
아랫사람에게	아랫사람/NNG+에게/JKB
술	술/NNG
마시는	마시/VV+는/ETM
법도를	법도/NNG+를/JKO
익히게	익히/VV+게/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000030.390.8.3
선비들은 음악과 시조를 곁들여 운치를 돋우기도 했지만, 술을 마셔도 단정한 자세로 절도를 지켰고, 술을 지나치게 권하지 않았다.

선비들은	선비/NNG+들/XSN+은/JX
음악과	음악/NNG+과/JC
시조를	시조/NNG+를/JKO
곁들여	곁들이/VV+어/EC
운치를	운치/NNG+를/JKO
돋우기도	돋우/VV+기/ETN+도/JX
했지만,	하/VX+았/EP+지만/EC+,/SP
술을	술/NNG+을/JKO
마셔도	마시/VV+어도/EC
단정한	단정하/VA+ㄴ/ETM
자세로	자세/NNG+로/JKB
절도를	절도/NNG+를/JKO
지켰고,	지키/VV+었/EP+고/EC+,/SP
지나치게	지나치/VA+게/EC
권하지	권/NNG+하/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000030.390.9.1
선비들은 활쏘기에서도 수양과 교화의 계훈(戒訓)을 찾았다.

선비들은	선비/NNG+들/XSN+은/JX
활쏘기에서도	활쏘기/NNG+에서/JKB+도/JX
수양과	수양/NNG+과/JC
교화의	교화/NNG+의/JKG
계훈(戒訓)을	계훈/NNG+(/SS+戒訓/SH+)/SS+을/JKO
찾았다.	찾/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.390.9.2
조선 성종 때 간행된 국조오례의(國朝五禮儀)는 향음주례와 함께 향사례의 절차도 적었다.

조선	조선/NNP
성종	성종/NNP
때	때/NNG
간행된	간행/NNG+되/XSV+ㄴ/ETM
국조오례의(國朝五禮儀)는	국조오례의/NNP+(/SS+國朝五禮儀/SH+)/SS+는/JX
향음주례와	향음주례/NNG+와/JKB
함께	함께/MAG
향사례의	향사례/NNG+의/JKG
절차도	절차/NNG+도/JX
적었다.	적/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.390.9.3
고을마다 봄에는 삼짓날(음력 3월3일), 가을에는 중양절(9월9일)에 선비들은 사단(射壇)을 마련해 활을 쏘면서 절차와 몸가짐을 엄히 지켰고 순서를 양보했다.

고을마다	고을/NNG+마다/JX
봄에는	봄/NNG+에/JKB+는/JX
삼짓날(음력	삼짓날/NNG+(/SS+음력/NNG
3월3일),	3/SN+월/NNB+3/SN+일/NNB+)/SS+,/SP
가을에는	가을/NNG+에/JKB+는/JX
중양절(9월9일)에	중양절/NNG+(/SS+9/SN+월/NNB+9/SN+일/NNB+)/SS+에/JKB
선비들은	선비/NNG+들/XSN+은/JX
사단(射壇)을	사단/NNG+(/SS+射壇/SH+)/SS+을/JKO
마련해	마련/NNG+하/XSV+아/EC
활을	활/NNG+을/JKO
쏘면서	쏘/VV+면서/EC
절차와	절차/NNG+와/JC
몸가짐을	몸가짐/NNG+을/JKO
엄히	엄히/MAG
지켰고	지키/VV+었/EP+고/EC
순서를	순서/NNG+를/JKO
