# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.70
metadata : {}


# id : NWRW1800000029.70.1.1
[CAR/시승기]크라이슬러 ‘그랜드체로키 디젤’

[CAR/시승기]크라이슬러	[/SS+CAR/SL+//SP+시승기/NNG+]/SS+크라이슬러/NNP
‘그랜드체로키	‘/SS+그랜드체로키/NNP
디젤’	디젤/NNG+’/SS


# id : NWRW1800000029.70.2.1
웅장한 차체에 걸맞은 역동적 우직함

웅장한	웅장하/VA+ㄴ/ETM
차체에	차체/NNG+에/JKB
걸맞은	걸맞/VA+은/ETM
역동적	역동/NNG+적/XSN
우직함	우직하/VA+ㅁ/ETN


# id : NWRW1800000029.70.3.1
스포츠유틸리티차량(SUV)의 원조인 크라이슬러 ‘지프(JEEP)’의 신형 ‘그랜드체로키 디젤’의 가장 큰 특징은 역시 새롭게 장착된 V6 3.0L 디젤 엔진이다.

스포츠유틸리티차량(SUV)의	스포츠/NNG+유틸리티/NNG+차량/NNG+(/SS+SUV/SL+)/SS+의/JKG
원조인	원조/NNG+이/VCP+ㄴ/ETM
크라이슬러	크라이슬러/NNP
‘지프(JEEP)’의	‘/SS+지프/NNP+(/SS+JEEP/SL+)/SS+’/SS+의/JKG
신형	신형/NNG
‘그랜드체로키	‘/SS+그랜드체로키/NNP
디젤’의	디젤/NNG+’/SS+의/JKG
가장	가장/MAG
큰	크/VA+ㄴ/ETM
특징은	특징/NNG+은/JX
역시	역시/MAG
새롭게	새롭/VA+게/EC
장착된	장착/NNG+되/XSV+ㄴ/ETM
V6	V/SL+6/SN
3.0L	3/SN+./SP+0/SN+L/SW
디젤	디젤/NNG
엔진이다.	엔진/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.70.3.2
새롭게 장착된 디젤 엔진은 그랜드체로키 특유의 웅장한 차체에 걸맞은 힘을 뿜어 낸다.

새롭게	새롭/VA+게/EC
장착된	장착/NNG+되/XSV+ㄴ/ETM
디젤	디젤/NNG
엔진은	엔진/NNG+은/JX
그랜드체로키	그랜드체로키/NNP
특유의	특유/NNG+의/JKG
웅장한	웅장하/VA+ㄴ/ETM
차체에	차체/NNG+에/JKB
걸맞은	걸맞/VA+은/ETM
힘을	힘/NNG+을/JKO
뿜어	뿜/VV+어/EC
낸다.	내/VX+ㄴ다/EF+./SF


# id : NWRW1800000029.70.3.3
정통 오프로드 SUV이면서도 연료소비효율을 중시하는 최근의 흐름에 따라 디젤 엔진을 얹은 선택은 나름 높은 점수를 줄 수 있다.

정통	정통/NNG
오프로드	오프로드/NNG
SUV이면서도	SUV/SL+이/VCP+면서/EC+도/JX
연료소비효율을	연료/NNG+소비/NNG+효율/NNG+을/JKO
중시하는	중시/NNG+하/XSV+는/ETM
최근의	최근/NNG+의/JKG
흐름에	흐름/NNG+에/JKB
따라	따르/VV+아/EC
디젤	디젤/NNG
엔진을	엔진/NNG+을/JKO
얹은	얹/VV+은/ETM
선택은	선택/NNG+은/JX
나름	나름/NNB
높은	높/VA+은/ETM
점수를	점수/NNG+를/JKO
줄	주/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000029.70.4.1
외관을 살펴보면 그랜드체로키 특유의 웅장함과 우직함은 그대로 유지됐다.

외관을	외관/NNG+을/JKO
살펴보면	살펴보/VV+면/EC
그랜드체로키	그랜드체로키/NNP
특유의	특유/NNG+의/JKG
웅장함과	웅장하/VA+ㅁ/ETN+과/JC
우직함은	우직하/VA+ㅁ/ETN+은/JX
그대로	그대로/MAG
유지됐다.	유지/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000029.70.4.2
지프의 상징인 전면부 7개의 직선 그릴은 여전하고, 큰 굴곡 없이 이어지는 옆라인은 어설픈 역동성을 추구하는 다른 SUV 모델과 견줘보면 오히려 낫다.

지프의	지프/NNP+의/JKG
상징인	상징/NNG+이/VCP+ㄴ/ETM
전면부	전면부/NNG
7개의	7/SN+개/NNB+의/JKG
직선	직선/NNG
그릴은	그릴/NNG+은/JX
여전하고,	여전하/VA+고/EC+,/SP
큰	크/VA+ㄴ/ETM
굴곡	굴곡/NNG
없이	없이/MAG
이어지는	이어지/VV+는/ETM
옆라인은	옆/NNG+라인/NNG+은/JX
어설픈	어설프/VA+ㄴ/ETM
역동성을	역동/NNG+성/XSN+을/JKO
추구하는	추구/NNG+하/XSV+는/ETM
다른	다른/MMD
SUV	SUV/SL
모델과	모델/NNG+과/JKB
견줘보면	견주/VV+어/EC+보/VX+면/EC
오히려	오히려/MAG
낫다.	낫/VA+다/EF+./SF


# id : NWRW1800000029.70.4.3
센터페시아와 대시보드를 SUV 답게 단순화한 점도 매력적이다.

센터페시아와	센터페시아/NNG+와/JC
대시보드를	대시보드/NNG+를/JKO
SUV	SUV/SL
답게	답/XSA+게/EC
단순화한	단순/NNG+화/XSN+하/XSV+ㄴ/ETM
점도	점/NNG+도/JX
매력적이다.	매력/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000029.70.5.1
V6 3.0L DOHC 터보 디젤 엔진은 최고출력 241마력, 56kg·m의 최대토크를 발휘한다.

V6	V/SL+6/SN
3.0L	3/SN+./SP+0/SN+L/SW
DOHC	DOHC/SL
터보	터보/NNG
디젤	디젤/NNG
엔진은	엔진/NNG+은/JX
최고출력	최고/NNG+출력/NNG
241마력,	241/SN+마력/NNB+,/SP
56kg·m의	56/SN+kg/SW+·/SP+m/SW+의/JKG
최대토크를	최대/NNG+토크/NNG+를/JKO
발휘한다.	발휘/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000029.70.5.2
크라이슬러는 “가솔린 6.0L 급에 상응하는 성능”이라고 설명했는데, 실제로 고속도로와 오프로드 모두에서 힘 하나는 유감없이 발휘한다.

크라이슬러는	크라이슬러/NNP+는/JX
“가솔린	“/SS+가솔린/NNG
6.0L	6/SN+./SP+0/SN+L/SW
급에	급/NNG+에/JKB
상응하는	상응/NNG+하/XSV+는/ETM
성능”이라고	성능/NNG+”/SS+이라고/JKQ
설명했는데,	설명/NNG+하/XSV+았/EP+는데/EC+,/SP
실제로	실제로/MAG
고속도로와	고속/NNG+도로/NNG+와/JC
오프로드	오프로드/NNG
모두에서	모두/NNG+에서/JKB
힘	힘/NNG
하나는	하나/NR+는/JX
유감없이	유감없이/MAG
발휘한다.	발휘/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000029.70.5.3
특히 엔진 rpm이 낮은 상태에서도 어렵지 않게 치고 나가는 능력을 보여주는 점이 눈에 띈다.

특히	특히/MAG
엔진	엔진/NNG
rpm이	rpm/SW+이/JKS
낮은	낮/VA+은/ETM
상태에서도	상태/NNG+에서/JKB+도/JX
어렵지	어렵/VA+지/EC
않게	않/VX+게/EC
치고	치/VV+고/EC
나가는	나가/VX+는/ETM
능력을	능력/NNG+을/JKO
보여주는	보이/VV+어/EC+주/VX+는/ETM
점이	점/NNG+이/JKS
눈에	눈/NNG+에/JKB
띈다.	띄/VV+ㄴ다/EF+./SF


