# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.46
metadata : {}


# id : NWRW1800000036.46.1.1
가공·저장·포장 한자리서…이마트, 유통구조 바꾼다

가공·저장·포장	가공/NNG+·/SP+저장/NNG+·/SP+포장/NNG
한자리서…이마트,	한자리/NNG+서/JKB+…/SE+이마트/NNP+,/SP
유통구조	유통/NNG+구조/NNG
바꾼다	바꾸/VV+ㄴ다/EF


# id : NWRW1800000036.46.2.1
[한겨레] 경기 이천에 ‘후레쉬센터’ 설립

[한겨레]	[/SS+한겨레/NNP+]/SS
경기	경기/NNP
이천에	이천/NNP+에/JKB
‘후레쉬센터’	‘/SS+후레쉬센터/NNP+’/SS
설립	설립/NNG


# id : NWRW1800000036.46.3.1
총넓이 4만㎡…국내 최대규모

총넓이	총넓이/NNG
4만㎡…국내	4/SN+만/NR+㎡/SW+…/SE+국내/NNG
최대규모	최대/NNG+규모/NNG


# id : NWRW1800000036.46.4.1
유통 단계 줄여 가격 10% 낮추고

유통	유통/NNG
단계	단계/NNG
줄여	줄이/VV+어/EC
가격	가격/NNG
10%	10/SN+%/SW
낮추고	낮추/VV+고/EC


# id : NWRW1800000036.46.5.1
저장 물량으로 연중 안정적 공급

저장	저장/NNG
물량으로	물량/NNG+으로/JKB
연중	연중/NNG
안정적	안정/NNG+적/XSN
공급	공급/NNG


# id : NWRW1800000036.46.6.1
“2007년 농산물 가격 폭등과 2008년 배추 파동을 겪으면서, 농산물 가격을 안정시킬 방법이 뭘까 고민을 거듭한 끝에 나온 결과물입니다.”

“2007년	“/SS+2007/SN+년/NNB
농산물	농산물/NNG
가격	가격/NNG
폭등과	폭등/NNG+과/JKB
2008년	2008/SN+년/NNB
배추	배추/NNG
파동을	파동/NNG+을/JKO
겪으면서,	겪/VV+으면서/EC+,/SP
가격을	가격/NNG+을/JKO
안정시킬	안정/NNG+시키/XSV+ㄹ/ETM
방법이	방법/NNG+이/JKS
뭘까	뭐/NP+이/VCP+ㄹ까/EF
고민을	고민/NNG+을/JKO
거듭한	거듭/MAG+하/XSV+ㄴ/ETM
끝에	끝/NNG+에/JKB
나온	나오/VV+ㄴ/ETM
결과물입니다.”	결과물/NNG+이/VCP+ㅂ니다/EF+./SF+”/SS


# id : NWRW1800000036.46.6.2
최병렬 이마트 대표는 13일 경기도 이천시 부발읍 신하리의 ‘이마트 후레쉬센터’에서 기자간담회를 열어 “누군가는 낙후된 농수산물 유통구조를 앞장서 개선해야 한다고 생각했다”며 “이마트 후레쉬센터가 그 출발점이 될 것”이라고 말했다.

최병렬	최병렬/NNP
이마트	이마트/NNP
대표는	대표/NNG+는/JX
13일	13/SN+일/NNB
경기도	경기도/NNP
이천시	이천시/NNP
부발읍	부발읍/NNP
신하리의	신하리/NNP+의/JKG
‘이마트	‘/SS+이마트/NNP
후레쉬센터’에서	후레쉬센터/NNP+’/SS+에서/JKB
기자간담회를	기자/NNG+간담회/NNG+를/JKO
열어	열/VV+어/EC
“누군가는	“/SS+누구/NP+이/VCP+ㄴ가/EF+는/JX
낙후된	낙후/NNG+되/XSV+ㄴ/ETM
농수산물	농수산물/NNG
유통구조를	유통/NNG+구조/NNG+를/JKO
앞장서	앞장서/VV+어/EC
개선해야	개선/NNG+하/XSV+아야/EC
한다고	하/VX+ㄴ다고/EC
생각했다”며	생각/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
“이마트	“/SS+이마트/NNP
후레쉬센터가	후레쉬센터/NNP+가/JKS
그	그/MMD
출발점이	출발점/NNG+이/JKC
될	되/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.46.7.1
이마트가 14일 정식 가동을 앞두고 이날 기자들에게 공개한 후레쉬센터는 농수산물 가공·포장·저장을 한곳에서 모두 처리할 수 있는 국내 최대 규모의 시설이다.

이마트가	이마트/NNP+가/JKS
14일	14/SN+일/NNB
정식	정식/NNG
가동을	가동/NNG+을/JKO
앞두고	앞두/VV+고/EC
이날	이날/NNG
기자들에게	기자/NNG+들/XSN+에게/JKB
공개한	공개/NNG+하/XSV+ㄴ/ETM
후레쉬센터는	후레쉬센터/NNP+는/JX
농수산물	농수산물/NNG
가공·포장·저장을	가공/NNG+·/SP+포장/NNG+·/SP+저장/NNG+을/JKO
한곳에서	한곳/NNG+에서/JKB
모두	모두/MAG
처리할	처리/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
국내	국내/NNG
최대	최대/NNG
규모의	규모/NNG+의/JKG
시설이다.	시설/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.46.7.2
총넓이 4만6535㎡에 지하 1층, 지상 5층 규모로 각 층의 크기는 축구장 1.5배에 이른다.

총넓이	총넓이/NNG
4만6535㎡에	4/SN+만/NR+6535/SN+㎡/SW+에/JKB
지하	지하/NNG
1층,	1/SN+층/NNG+,/SP
지상	지상/NNG
5층	5/SN+층/NNG
규모로	규모/NNG+로/JKB
각	각/MMD
층의	층/NNG+의/JKG
크기는	크기/NNG+는/JX
축구장	축구장/NNG
1.5배에	1/SN+./SP+5/SN+배/NNG+에/JKB
