# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.376
metadata : {}


# id : NWRW1800000040.376.1.1
“북한 4차 핵실험 실행할 가능성” 중국군 총참모장, 대화 해결 강조

“북한	“/SS+북한/NNP
4차	4/SN+차/NNB
핵실험	핵/NNG+실험/NNG
실행할	실행/NNG+하/XSV+ㄹ/ETM
가능성”	가능/NNG+성/XSN+”/SS
중국군	중국군/NNG
총참모장,	총참모장/NNG+,/SP
대화	대화/NNG
해결	해결/NNG
강조	강조/NNG


# id : NWRW1800000040.376.2.1
“6자회담 통해 문제 풀어야”

“6자회담	“/SS+6/SN+자/NNB+회담/NNG
통해	통하/VV+아/EC
문제	문제/NNG
풀어야”	풀/VV+어야/EC+”/SS


# id : NWRW1800000040.376.3.1
중국, 한반도 해법 적극 개입

중국,	중국/NNP+,/SP
한반도	한반도/NNP
해법	해법/NNG
적극	적극/NNG
개입	개입/NNG


# id : NWRW1800000040.376.4.1
팡펑후이 중국 인민해방군 총참모장이 “북한이 4차 핵실험을 할 가능성이 있다”며 관련국들이 대화를 통해 북핵 문제를 풀 것을 강력히 촉구했다.

팡펑후이	팡펑후이/NNP
중국	중국/NNP
인민해방군	인민/NNG+해방군/NNG
총참모장이	총참모장/NNG+이/JKS
“북한이	“/SS+북한/NNP+이/JKS
4차	4/SN+차/NNB
핵실험을	핵/NNG+실험/NNG+을/JKO
할	하/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
있다”며	있/VA+다/EF+”/SS+며/EC
관련국들이	관련국/NNG+들/XSN+이/JKS
대화를	대화/NNG+를/JKO
통해	통하/VV+아/EC
북핵	북핵/NNG
문제를	문제/NNG+를/JKO
풀	풀/VV+ㄹ/ETM
것을	것/NNB+을/JKO
강력히	강력히/MAG
촉구했다.	촉구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.376.5.1
팡 참모장은 22일 중국을 방문중인 마틴 뎀프시 미국 합참의장과 회담을 마친 뒤 공동 기자회견에서 “현재의 상황을 파악해보면 북한은 3차 핵실험을 진행했다.

팡	팡/NNP
참모장은	참모장/NNG+은/JX
22일	22/SN+일/NNB
중국을	중국/NNP+을/JKO
방문중인	방문/NNG+중/NNB+이/VCP+ㄴ/ETM
마틴	마틴/NNP
뎀프시	뎀프시/NNP
미국	미국/NNP
합참의장과	합참/NNG+의장/NNG+과/JKB
회담을	회담/NNG+을/JKO
마친	마치/VV+ㄴ/ETM
뒤	뒤/NNG
공동	공동/NNG
기자회견에서	기자/NNG+회견/NNG+에서/JKB
“현재의	“/SS+현재/NNG+의/JKG
상황을	상황/NNG+을/JKO
