# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.347
metadata : {}


# id : NWRW1800000029.347.1.1
본보-KRC 김해을 보선 여론조사… 한나라 김태호 39.1% vs 참여당 이봉수 45.2%

본보-KRC	본보/NNG+-/SO+KRC/SL
김해을	김해을/NNP
보선	보선/NNG
여론조사…	여론/NNG+조사/NNG+…/SE
한나라	한나라/NNP
김태호	김태호/NNP
39.1%	39/SN+./SP+1/SN+%/SW
vs	vs/SL
참여당	참여당/NNP
이봉수	이봉수/NNP
45.2%	45/SN+./SP+2/SN+%/SW


# id : NWRW1800000029.347.2.1
4·27 경남 김해을 국회의원 보궐선거 여론조사에서 국민참여당 이봉수 후보가 한나라당 김태호 후보를 6.1%포인트 차로 앞서는 것으로 나타났다.

4·27	4/SN+·/SP+27/SN
경남	경남/NNP
김해을	김해을/NNP
국회의원	국회/NNG+의원/NNG
보궐선거	보궐/NNG+선거/NNG
여론조사에서	여론/NNG+조사/NNG+에서/JKB
국민참여당	국민참여당/NNP
이봉수	이봉수/NNP
후보가	후보/NNG+가/JKS
한나라당	한나라당/NNP
김태호	김태호/NNP
후보를	후보/NNG+를/JKO
6.1%포인트	6/SN+./SP+1/SN+%/SW+포인트/NNG
차로	차/NNG+로/JKB
앞서는	앞서/VV+는/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.347.2.2
동아일보가 코리아리서치(KRC)에 의뢰해 야권후보 단일화가 이뤄진 12일 오후 김해을 지역 19세 이상 성인 500명을 대상으로 전화 면접조사를 한 결과다.

동아일보가	동아일보/NNP+가/JKS
코리아리서치(KRC)에	코리아리서치/NNP+(/SS+KRC/SL+)/SS+에/JKB
의뢰해	의뢰/NNG+하/XSV+아/EC
야권후보	야권/NNG+후보/NNG
단일화가	단일/NNG+화/XSN+가/JKS
이뤄진	이뤄지/VV+ㄴ/ETM
12일	12/SN+일/NNB
오후	오후/NNG
김해을	김해을/NNP
지역	지역/NNG
19세	19/SN+세/NNB
이상	이상/NNG
성인	성인/NNG
500명을	500/SN+명/NNB+을/JKO
대상으로	대상/NNG+으로/JKB
전화	전화/NNG
면접조사를	면접/NNG+조사/NNG+를/JKO
한	하/VV+ㄴ/ETM
결과다.	결과/NNG+이/VCP+다/EF+./SF


