# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.263
metadata : {}


# id : NWRW1800000040.263.1.1
박영준 전 차관 ‘원전공사 금품 혐의’ 기소

박영준	박영준/NNP
전	전/MMD
차관	차관/NNG
‘원전공사	‘/SS+원전/NNG+공사/NNG
금품	금품/NNG
혐의’	혐의/NNG+’/SS
기소	기소/NNG


# id : NWRW1800000040.263.2.1
설비업체 로비 청탁 5천만원 받아

설비업체	설비업체/NNG
로비	로비/NNG
청탁	청탁/NNG
5천만원	5/SN+천만/NR+원/NNB
받아	받/VV+아/EF


# id : NWRW1800000040.263.3.1
검찰, 원전비리 관련 97명 기소

검찰,	검찰/NNG+,/SP
원전비리	원전/NNG+비리/NNG
관련	관련/NNG
97명	97/SN+명/NNB
기소	기소/NNG


# id : NWRW1800000040.263.4.1
이명박 정부 때 영향력이 커 ‘왕차관’으로 불렸던 박영준(53) 전 지식경제부 차관이 지난 정권 때 자원외교의 성과로 꼽혔던 아랍에미리트 원전 공사와 관련해 금품을 받은 혐의로 기소됐다.

이명박	이명박/NNP
정부	정부/NNG
때	때/NNG
영향력이	영향력/NNG+이/JKS
커	크/VA+어/EC
‘왕차관’으로	‘/SS+왕/XPN+차관/NNG+’/SS+으로/JKB
불렸던	불리/VV+었/EP+던/ETM
박영준(53)	박영준/NNP+(/SS+53/SN+)/SS
전	전/MMD
지식경제부	지식/NNG+경제부/NNG
차관이	차관/NNG+이/JKS
지난	지나/VV+ㄴ/ETM
정권	정권/NNG
자원외교의	자원/NNG+외교/NNG+의/JKG
성과로	성과/NNG+로/JKB
꼽혔던	꼽히/VV+었/EP+던/ETM
아랍에미리트	아랍에미리트/NNP
원전	원전/NNG
공사와	공사/NNG+와/JKB
관련해	관련/NNG+하/XSV+아/EC
금품을	금품/NNG+을/JKO
받은	받/VV+은/ETM
혐의로	혐의/NNG+로/JKB
기소됐다.	기소/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000040.263.5.1
검찰 원전비리 수사단(단장 김기동 부산지검 동부지청장)은 10일 국무총리실 국무차장 재직 당시 민간인 사찰을 한 혐의 등으로 징역 2년을 선고받아 복역중인 박 전 차관을 뇌물수수 혐의로 기소했다고 밝혔다.

검찰	검찰/NNG
원전비리	원전/NNG+비리/NNG
수사단(단장	수사단/NNG+(/SS+단장/NNG
김기동	김기동/NNP
부산지검	부산지검/NNP
