# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.24
metadata : {}


# id : NWRW1800000049.24.1.1
[사회공헌 Together]‘캄보디아, 중국, 베트남’ 글로벌 교육지원

[사회공헌	[/SS+사회/NNG+공헌/NNG
Together]‘캄보디아,	Together/SL+]/SS+‘/SS+캄보디아/NNP+,/SP
중국,	중국/NNP+,/SP
베트남’	베트남/NNP+’/SS
글로벌	글로벌/NNG
교육지원	교육/NNG+지원/NNG


# id : NWRW1800000049.24.2.1
아시아나항공은 청소년과 어린이를 위한 다양한 교육기부 프로그램을 운영하고 있다.

아시아나항공은	아시아나항공/NNP+은/JX
청소년과	청소년/NNG+과/JC
어린이를	어린이/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
다양한	다양/NNG+하/XSA+ㄴ/ETM
교육기부	교육/NNG+기부/NNG
프로그램을	프로그램/NNG+을/JKO
운영하고	운영/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.24.3.1
대표적인 교육기부 브랜드는 ‘아름다운 교실’이다.

대표적인	대표/NNG+적/XSN+이/VCP+ㄴ/ETM
교육기부	교육/NNG+기부/NNG
브랜드는	브랜드/NNG+는/JX
‘아름다운	‘/SS+아름답/VA+ㄴ/ETM
교실’이다.	교실/NNG+’/SS+이/VCP+다/EF+./SF


# id : NWRW1800000049.24.3.2
2011년 교육부와 금호아시아나그룹이 교육기부 활성화를 위한 양해각서(MOU)를 체결한 이후 개발해 운영하고 있는 프로그램이다.

2011년	2011/SN+년/NNB
교육부와	교육부/NNG+와/JC
금호아시아나그룹이	금호아시아나그룹/NNP+이/JKS
교육기부	교육/NNG+기부/NNG
활성화를	활성/NNG+화/XSN+를/JKO
위한	위하/VV+ㄴ/ETM
양해각서(MOU)를	양해/NNG+각서/NNG+(/SS+MOU/SL+)/SS+를/JKO
체결한	체결/NNG+하/XSV+ㄴ/ETM
이후	이후/NNG
개발해	개발/NNG+하/XSV+아/EC
운영하고	운영/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
