# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.3
metadata : {}


# id : NWRW1800000048.3.1.1
기프트카드도 불법복제 피해 조심

기프트카드도	기프트카드/NNG+도/JX
불법복제	불법/NNG+복제/NNG
피해	피해/NNG
조심	조심/NNG


# id : NWRW1800000048.3.2.1
우리BC 기프트카드 1200만원 신고

우리BC	우리BC/NNP
기프트카드	기프트카드/NNG
1200만원	1200/SN+만/NR+원/NNB
신고	신고/NNG


# id : NWRW1800000048.3.3.1
IC 아닌 마그네틱카드라 위험 노출

IC	IC/SL
아닌	아니/VCN+ㄴ/ETM
마그네틱카드라	마그네틱/NNG+카드/NNG+이/VCP+라/EC
위험	위험/NNG
노출	노출/NNG


# id : NWRW1800000048.3.4.1
금감원 “카드사 배상책임 검토중”

금감원	금감원/NNG
“카드사	“/SS+카드사/NNG
배상책임	배상/NNG+책임/NNG
검토중”	검토/NNG+중/NNB+”/SS


# id : NWRW1800000048.3.5.1
불법 복제된 기프트카드(무기명 선불카드)를 구입한 사람이 1000만원대의 피해를 당하는 사건이 발생해 금융당국이 진상조사에 나섰다.

불법	불법/NNG
복제된	복제/NNG+되/XSV+ㄴ/ETM
기프트카드(무기명	기프트카드/NNG+(/SS+무/XPN+기명/NNG
선불카드)를	선불/NNG+카드/NNG+)/SS+를/JKO
구입한	구입/NNG+하/XSV+ㄴ/ETM
사람이	사람/NNG+이/JKS
1000만원대의	1000/SN+만/NR+원/NNB+대/XSN+의/JKG
피해를	피해/NNG+를/JKO
당하는	당하/VV+는/ETM
사건이	사건/NNG+이/JKS
발생해	발생/NNG+하/XSV+아/EC
금융당국이	금융/NNG+당국/NNG+이/JKS
진상조사에	진상/NNG+조사/NNG+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.3.5.2
기프트카드는 집적회로(IC)가 아닌 마그네틱(MS) 카드로 언제든지 불법 복제 가능성에 노출돼 있다.

기프트카드는	기프트카드/NNG+는/JX
집적회로(IC)가	집적/NNG+회로/NNG+(/SS+IC/SL+)/SS+가/JKC
아닌	아니/VCN+ㄴ/ETM
마그네틱(MS)	마그네틱/NNG+(/SS+MS/SL+)/SS
카드로	카드/NNG+로/JKB
언제든지	언제/NP+든지/JX
불법	불법/NNG
복제	복제/NNG
가능성에	가능/NNG+성/XSN+에/JKB
노출돼	노출/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000048.3.6.1
12일 금융감독원과 경찰 등에 따르면, 상품권 유통업을 하는 박아무개(58)씨는 지난해 말 불법 복제된 기프트카드 때문에 사기 피해를 당했다며 경기도 부천 원미경찰서에 고소장을 냈다.

12일	12/SN+일/NNB
금융감독원과	금융/NNG+감독원/NNG+과/JC
경찰	경찰/NNG
등에	등/NNB+에/JKB
따르면,	따르/VV+면/EC+,/SP
상품권	상품/NNG+권/XSN
유통업을	유통업/NNG+을/JKO
하는	하/VV+는/ETM
박아무개(58)씨는	박/NNP+아무개/NP+(/SS+58/SN+)/SS+씨/NNB+는/JX
지난해	지난해/NNG
말	말/NNB
불법	불법/NNG
복제된	복제/NNG+되/XSV+ㄴ/ETM
기프트카드	기프트카드/NNG
때문에	때문/NNB+에/JKB
사기	사기/NNG
피해를	피해/NNG+를/JKO
당했다며	당하/VV+았/EP+다며/EC
경기도	경기도/NNP
부천	부천/NNP
원미경찰서에	원미경찰서/NNP+에/JKB
고소장을	고소장/NNG+을/JKO
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.3.6.2
박씨는 같은 달 29일 오후 1시30분께 부천시 중동에 있는 자신의 상품권 판매소에서 20대 남성으로부터 ‘우리비씨(BC) 기프트카드’ 50만원권 24장(시가 1200만원어치)을 1140만원에 사들였다.

박씨는	박/NNP+씨/NNB+는/JX
같은	같/VA+은/ETM
달	달/NNG
29일	29/SN+일/NNB
오후	오후/NNG
1시30분께	1/SN+시/NNB+30/SN+분/NNB+께/XSN
부천시	부천시/NNP
중동에	중동/NNP+에/JKB
있는	있/VA+는/ETM
자신의	자신/NNG+의/JKG
상품권	상품/NNG+권/XSN
판매소에서	판매소/NNG+에서/JKB
20대	20/SN+대/NNB
남성으로부터	남성/NNG+으로부터/JKB
‘우리비씨(BC)	‘/SS+우리비씨/NNP+(/SS+BC/SL+)/SS
기프트카드’	기프트카드/NNG+’/SS
50만원권	50/SN+만/NR+원/NNB+권/XSN
24장(시가	24/SN+장/NNB+(/SS+시가/NNG
1200만원어치)을	1200/SN+만/NR+원/NNB+어치/XSN+)/SS+을/JKO
1140만원에	1140/SN+만/NR+원/NNB+에/JKB
사들였다.	사들이/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.3.6.3
해당 카드는 우리은행의 의뢰로 비씨카드에서 제작해 우리은행에서 판매된 것이다.

해당	해당/NNG
카드는	카드/NNG+는/JX
우리은행의	우리은행/NNP+의/JKG
의뢰로	의뢰/NNG+로/JKB
비씨카드에서	비씨카드/NNP+에서/JKB
제작해	제작/NNG+하/XSV+아/EC
우리은행에서	우리은행/NNP+에서/JKB
판매된	판매/NNG+되/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000048.3.7.1
박씨는 구입 다음날 해당 기프트카드를 거래처 고객에게 되파는 과정에서 잔액이 ‘0원’이라는 사실을 확인했다.

박씨는	박/NNP+씨/NNB+는/JX
구입	구입/NNG
다음날	다음날/NNG
해당	해당/NNG
기프트카드를	기프트카드/NNG+를/JKO
거래처	거래처/NNG
고객에게	고객/NNG+에게/JKB
되파는	되팔/VV+는/ETM
과정에서	과정/NNG+에서/JKB
잔액이	잔액/NNG+이/JKS
‘0원’이라는	‘/SS+0/SN+원/NNB+’/SS+이/VCP+라는/ETM
사실을	사실/NNG+을/JKO
확인했다.	확인/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.3.7.2
박씨는 경찰에서 “기프트카드를 살 때 20대 남성의 신분증도 복사해두고 카드 잔액도 전산상으로 확인했다”며 “해당 남성이 기프트카드를 복제한 뒤 가짜 기프트카드를 판매한 것”이라고 주장했다.

박씨는	박/NNP+씨/NNB+는/JX
경찰에서	경찰/NNG+에서/JKB
“기프트카드를	“/SS+기프트카드/NNG+를/JKO
살	사/VV+ㄹ/ETM
때	때/NNG
20대	20/SN+대/NNB
남성의	남성/NNG+의/JKG
신분증도	신분증/NNG+도/JX
복사해두고	복사/NNG+하/XSV+아/EC+두/VX+고/EC
카드	카드/NNG
잔액도	잔액/NNG+도/JX
전산상으로	전산/NNG+상/XSN+으로/JKB
확인했다”며	확인/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
“해당	“/SS+해당/NNG
남성이	남성/NNG+이/JKS
기프트카드를	기프트카드/NNG+를/JKO
복제한	복제/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
가짜	가짜/NNG
판매한	판매/NNG+하/XSV+ㄴ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.3.8.1
경찰 조사 결과 20대 남성은 박씨에게 가짜 기프트카드를 판매한 직후 부천시 중동의 한 금은방에서 진짜 기프트카드로 1200만원어치의 금을 사들인 것으로 확인됐다.

경찰	경찰/NNG
조사	조사/NNG
결과	결과/NNG
20대	20/SN+대/NNB
남성은	남성/NNG+은/JX
박씨에게	박/NNP+씨/NNB+에게/JKB
가짜	가짜/NNG
기프트카드를	기프트카드/NNG+를/JKO
판매한	판매/NNG+하/XSV+ㄴ/ETM
직후	직후/NNG
부천시	부천시/NNP
중동의	중동/NNP+의/JKG
한	한/MMN
금은방에서	금은방/NNG+에서/JKB
진짜	진짜/NNG
기프트카드로	기프트카드/NNG+로/JKB
1200만원어치의	1200/SN+만/NR+원/NNB+어치/XSN+의/JKG
금을	금/NNG+을/JKO
사들인	사들이/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
확인됐다.	확인/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000048.3.8.2
경찰은 보안장치를 갖추지 않은 마그네틱 방식의 기프트카드를 복제해 유통한 것으로 보고 용의자를 추적하고 있다.

경찰은	경찰/NNG+은/JX
보안장치를	보안/NNG+장치/NNG+를/JKO
갖추지	갖추/VV+지/EC
않은	않/VX+은/ETM
마그네틱	마그네틱/NNG
방식의	방식/NNG+의/JKG
기프트카드를	기프트카드/NNG+를/JKO
복제해	복제/NNG+하/XSV+아/EC
유통한	유통/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보고	보/VV+고/EC
용의자를	용의자/NNG+를/JKO
추적하고	추적/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000048.3.9.1
박씨는 비씨카드사가 배상하도록 해달라는 민원을 경찰에 제기했다.

박씨는	박/NNP+씨/NNB+는/JX
비씨카드사가	비씨카드사/NNP+가/JKS
배상하도록	배상/NNG+하/XSV+도록/EC
해달라는	하/VX+아/EC+달/VX+라는/ETM
민원을	민원/NNG+을/JKO
경찰에	경찰/NNG+에/JKB
제기했다.	제기/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.3.9.2
