# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.356
metadata : {}


# id : NWRW1800000046.356.1.1
박지원 "文, 아무 일 없었던 것처럼 지나가면 안돼"… 文은 김한길 만나 SOS

박지원	박지원/NNP
"文,	"/SS+文/SH+,/SP
아무	아무/MMD
일	일/NNG
없었던	없/VA+었/EP+던/ETM
것처럼	것/NNB+처럼/JKB
지나가면	지나가/VV+면/EC
안돼"…	안/MAG+되/XSV+어/EF+"/SS+…/SE
文은	文/SH+은/JX
김한길	김한길/NNP
만나	만나/VV+아/EC
SOS	SOS/SL


# id : NWRW1800000046.356.2.1
TV조선 뉴스쇼 '판' 출연"잘하겠다는 걸론 용납 안돼… 책임질 일은 책임져야"

TV조선	TV조선/NNP
뉴스쇼	뉴스쇼/NNG
'판'	'/SS+판/NNG+'/SS
출연"잘하겠다는	출연/NNG+"/SS+잘/MAG+하/XSV+겠/EP+다는/ETM
걸론	거/NNB+ㄹ로/JKB+ㄴ/JX
용납	용납/NNG
안돼…	안/MAG+되/XSV+어/EF+…/SE
책임질	책임지/VV+ㄹ/ETM
일은	일/NNG+은/JX
책임져야"	책임지/VV+어야/EC+"/SS


# id : NWRW1800000046.356.3.1
새정치민주연합 박지원〈사진〉 의원은 8일 당의 4·29 재·보선 전패와 관련해 "문재인 대표가 아무런 일도 없었던 것처럼 지나가면 안 된다"며 "책임질 일은 책임지고 국민과 당원 앞에 그 의사를 밝히는 게 건강한 당으로 다시 일어서는 일"이라고 말했다.

새정치민주연합	새정치민주연합/NNP
박지원〈사진〉	박지원/NNP+〈/SS+사진/NNG+〉/SS
의원은	의원/NNG+은/JX
8일	8/SN+일/NNB
당의	당/NNG+의/JKG
4·29	4/SN+·/SP+29/SN
재·보선	재·보선/NNG
전패와	전패/NNG+와/JKB
관련해	관련/NNG+하/XSV+아/EC
"문재인	"/SS+문재인/NNP
대표가	대표/NNG+가/JKS
아무런	아무런/MMD
일도	일/NNG+도/JX
없었던	없/VA+었/EP+던/ETM
것처럼	것/NNB+처럼/JKB
지나가면	지나가/VV+면/EC
안	안/MAG
된다"며	되/VV+ㄴ다/EF+"/SS+며/EC
"책임질	"/SS+책임지/VV+ㄹ/ETM
일은	일/NNG+은/JX
책임지고	책임지/VV+고/EC
국민과	국민/NNG+과/JC
당원	당원/NNG
앞에	앞/NNG+에/JKB
그	그/MMD
의사를	의사/NNG+를/JKO
밝히는	밝히/VV+는/ETM
게	거/NNB+이/JKS
건강한	건강/NNG+하/XSA+ㄴ/ETM
당으로	당/NNG+으로/JKB
다시	다시/MAG
일어서는	일어서/VV+는/ETM
일"이라고	일/NNG+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.356.3.2
박 의원은 전날 문 대표를 만나서도 이 같은 뜻을 전한 것으로 알려졌다.

박	박/NNP
의원은	의원/NNG+은/JX
전날	전날/NNG
문	문/NNP
대표를	대표/NNG+를/JKO
만나서도	만나/VV+아서/EC+도/JX
이	이/NP
같은	같/VA+은/ETM
뜻을	뜻/NNG+을/JKO
전한	전하/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.356.4.1
박 의원은 이날 TV조선 뉴스쇼 '판'에 출연해 이같이 말하며 "문 대표가 '더 혁신해서 국민 앞에 다가가겠다'고 하지만 우리 국민도, 당원도 특히 나처럼 호남 출신들은 전혀 느끼지 못하고 있다. 그걸로는 용납이 안 된다"고 했다.

박	박/NNP
의원은	의원/NNG+은/JX
이날	이날/NNG
TV조선	TV조선/NNP
뉴스쇼	뉴스쇼/NNG
'판'에	'/SS+판/NNG+'/SS+에/JKB
출연해	출연/NNG+하/XSV+아/EC
이같이	이/NP+같이/JKB
말하며	말/NNG+하/XSV+며/EC
"문	"/SS+문/NNP
대표가	대표/NNG+가/JKS
'더	'/SS+더/MAG
혁신해서	혁신/NNG+하/XSV+아서/EC
국민	국민/NNG
앞에	앞/NNG+에/JKB
다가가겠다'고	다가가/VV+겠/EP+다/EF+'/SS+고/JKQ
하지만	하/VV+지만/EC
우리	우리/NP
국민도,	국민/NNG+도/JX+,/SP
당원도	당원/NNG+도/JX
특히	특히/MAG
나처럼	나/NP+처럼/JKB
호남	호남/NNP
출신들은	출신/NNG+들/XSN+은/JX
전혀	전혀/MAG
느끼지	느끼/VV+지/EC
못하고	못하/VX+고/EC
있다.	있/VX+다/EF+./SF
그걸로는	그거/NP+ㄹ로/JKB+는/JX
용납이	용납/NNG+이/JKC
안	안/MAG
된다"고	되/VV+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.356.4.2
박 의원은 이어 "문 대표는 제일 높은 지지를 받는 야당 대통령 후보이고, 그 길로 가는 게 바람직하다"고 말했다.

박	박/NNP
의원은	의원/NNG+은/JX
이어	이어/MAG
"문	"/SS+문/NNP
대표는	대표/NNG+는/JX
제일	제일/MAG
높은	높/VA+은/ETM
지지를	지지/NNG+를/JKO
받는	받/VV+는/ETM
야당	야당/NNG
대통령	대통령/NNG
후보이고,	후보/NNG+이/VCP+고/EC+,/SP
그	그/MMD
길로	길/NNG+로/JKB
가는	가/VV+는/ETM
게	거/NNB+이/JKS
