# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.84
metadata : {}


# id : NWRW1800000028.84.1.1
세계 경제위기 똑같이 겪었는데… 엘지는 고용 늘고, 삼성은 줄어

세계	세계/NNG
경제위기	경제/NNG+위기/NNG
똑같이	똑같이/MAG
겪었는데…	겪/VV+었/EP+는데/EC+…/SE
엘지는	엘지/NNP+는/JX
고용	고용/NNG
늘고,	늘/VV+고/EC+,/SP
삼성은	삼성/NNP+은/JX
줄어	줄/VV+어/EF


# id : NWRW1800000028.84.2.1
글로벌 경제위기 1년 동안 국내 500대 상장기업의 고용이 줄어든 것으로 나타났다.

글로벌	글로벌/NNG
경제위기	경제/NNG+위기/NNG
1년	1/SN+년/NNB
동안	동안/NNG
국내	국내/NNG
500대	500/SN+대/NNG
상장기업의	상장/NNG+기업/NNG+의/JKG
고용이	고용/NNG+이/JKS
줄어든	줄어들/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.84.2.2
특히 그룹별로는 엘지의 핵심 계열사들은 고용 확대에 기여한 반면 삼성의 핵심 계열사들은 고용 감소에 영향을 끼친 것으로 조사됐다.

특히	특히/MAG
그룹별로는	그룹/NNG+별/XSN+로/JKB+는/JX
엘지의	엘지/NNP+의/JKG
핵심	핵심/NNG
계열사들은	계열사/NNG+들/XSN+은/JX
고용	고용/NNG
확대에	확대/NNG+에/JKB
기여한	기여/NNG+하/XSV+ㄴ/ETM
반면	반면/NNG
삼성의	삼성/NNP+의/JKG
감소에	감소/NNG+에/JKB
영향을	영향/NNG+을/JKO
끼친	끼치/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
조사됐다.	조사/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000028.84.3.1
인사·교육 전문 월간지인 ‘에이치아르 인사이트’(HR Insight)는 매출액 기준 국내 500대 상장기업을 대상으로 글로벌 금융위기가 몰아닥친 2008년 하반기부터 2009년 상반기 말까지 1년 사이의 고용변화를 조사한 결과, 전체 고용인원이 91만2002명에서 90만7165명으로 4847명(0.53%)이 감소했다고 14일 밝혔다.

인사·교육	인사/NNG+·/SP+교육/NNG
전문	전문/NNG
월간지인	월간지/NNG+이/VCP+ㄴ/ETM
‘에이치아르	‘/SS+에이치아르/NNP
인사이트’(HR	인사이트/NNP+’/SS+(/SS+HR/SL
Insight)는	Insight/SL+)/SS+는/JX
매출액	매출액/NNG
기준	기준/NNG
국내	국내/NNG
500대	500/SN+대/NNG
상장기업을	상장/NNG+기업/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
글로벌	글로벌/NNG
금융위기가	금융/NNG+위기/NNG+가/JKS
몰아닥친	몰아닥치/VV+ㄴ/ETM
2008년	2008/SN+년/NNB
하반기부터	하반기/NNG+부터/JX
2009년	2009/SN+년/NNB
상반기	상반기/NNG
말까지	말/NNB+까지/JX
1년	1/SN+년/NNB
사이의	사이/NNG+의/JKG
고용변화를	고용/NNG+변화/NNG+를/JKO
조사한	조사/NNG+하/XSV+ㄴ/ETM
결과,	결과/NNG+,/SP
전체	전체/NNG
고용인원이	고용/NNG+인원/NNG+이/JKS
91만2002명에서	91/SN+만/NR+2002/SN+명/NNB+에서/JKB
90만7165명으로	90/SN+만/NR+7165/SN+명/NNB+으로/JKB
4847명(0.53%)이	4847/SN+명/NNB+(/SS+0/SN+./SP+53/SN+%/SW+)/SS+이/JKS
감소했다고	감소/NNG+하/XSV+았/EP+다고/EC
14일	14/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.84.3.2
또 10대 기업의 고용은 24만7505명에서 24만4710명으로 2795명이 줄면서 감소율이 1.13%로, 500대 기업의 두 배를 넘었다.

또	또/MAG
10대	10/SN+대/NNG
기업의	기업/NNG+의/JKG
고용은	고용/NNG+은/JX
24만7505명에서	24/SN+만/NR+7505/SN+명/NNB+에서/JKB
24만4710명으로	24/SN+만/NR+4710/SN+명/NNB+으로/JKB
2795명이	2795/SN+명/NNB+이/JKS
줄면서	줄/VV+면서/EC
