# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.251
metadata : {}


# id : NWRW1800000041.251.1.1
[비바 월드컵]어디를 가봐도… 진짜 ‘축구의 나라’ 맞더라

[비바	[/SS+비바/NNP
월드컵]어디를	월드컵/NNG+]/SS+어디/NP+를/JKO
가봐도…	가/VV+아/EC+보/VX+아도/EC+…/SE
진짜	진짜/MAG
‘축구의	‘/SS+축구/NNG+의/JKG
나라’	나라/NNG+’/SS
맞더라	맞/VV+더라/EF


# id : NWRW1800000041.251.2.1
개최국 열기 이렇게 높을 줄 몰라… 준비 부족도 개막하니 괜한 걱정 ‘범죄의 나라’도 선입견이었을뿐

개최국	개최국/NNG
열기	열기/NNG
이렇게	이렇/VA+게/EC
높을	높/VA+을/ETM
줄	줄/NNB
몰라…	모르/VV+아/EF+…/SE
준비	준비/NNG
부족도	부족/NNG+도/JX
개막하니	개막/NNG+하/XSV+니/EC
괜한	괜하/VA+ㄴ/ETM
걱정	걱정/NNG
‘범죄의	‘/SS+범죄/NNG+의/JKG
나라’도	나라/NNG+’/SS+도/JX
선입견이었을뿐	선입견/NNG+이/VCP+었/EP+을/ETM+뿐/NNB


# id : NWRW1800000041.251.3.1
브라질 사람들은 억울함을 느꼈을지도 모른다.

브라질	브라질/NNP
사람들은	사람/NNG+들/XSN+은/JX
억울함을	억울/NNG+하/XSA+ㅁ/ETN+을/JKO
느꼈을지도	느끼/VV+었/EP+을지/EC+도/JX
모른다.	모르/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.251.4.1
김동욱 기자기자는 38일간 브라질에서 2만여 km를 이동하며 10개 도시에서 월드컵을 취재했다.

김동욱	김동욱/NNP
기자기자는	기자/NNG+기자/NNG+는/JX
38일간	38/SN+일/NNB+간/XSN
브라질에서	브라질/NNP+에서/JKB
2만여	2/SN+만/NR+여/XSN
km를	km/SW+를/JKO
이동하며	이동/NNG+하/XSV+며/EC
10개	10/SN+개/NNB
도시에서	도시/NNG+에서/JKB
월드컵을	월드컵/NNG+을/JKO
취재했다.	취재/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.251.4.2
수십 명의 브라질 사람들과 비행기, 버스, 지하철, 식당, 거리 등에서 이야기를 나누었다.

수십	수십/NR
명의	명/NNB+의/JKG
브라질	브라질/NNP
사람들과	사람/NNG+들/XSN+과/JKB
비행기,	비행기/NNG+,/SP
버스,	버스/NNG+,/SP
지하철,	지하철/NNG+,/SP
식당,	식당/NNG+,/SP
거리	거리/NNG
등에서	등/NNB+에서/JKB
이야기를	이야기/NNG+를/JKO
나누었다.	나누/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.251.4.3
한국으로 돌아가는 비행기를 타기 전에 든 생각은 이랬다.

한국으로	한국/NNP+으로/JKB
돌아가는	돌아가/VV+는/ETM
비행기를	비행기/NNG+를/JKO
타기	타/VV+기/ETN
전에	전/NNG+에/JKB
든	들/VV+ㄴ/ETM
생각은	생각/NNG+은/JX
이랬다.	이렇/VA+었/EP+다/EF+./SF


# id : NWRW1800000041.251.4.4
‘내가 브라질에 대해 오해를 많이 했구나.’

‘내가	‘/SS+내/NP+가/JKS
브라질에	브라질/NNP+에/JKB
대해	대하/VV+아/EC
오해를	오해/NNG+를/JKO
많이	많이/MAG
했구나.’	하/VV+았/EP+구나/EF+./SF+’/SS


# id : NWRW1800000041.251.5.1
첫째, 브라질에 가기 전 먼저 떠올렸던 것은 흥겨운 리듬의 삼바와 보사노바의 고향, 끝없이 펼쳐진 해변의 이미지가 아니라 ‘범죄의 나라’라는 생각이었다.

첫째,	첫째/NR+,/SP
브라질에	브라질/NNP+에/JKB
가기	가/VV+기/ETN
전	전/NNG
먼저	먼저/MAG
떠올렸던	떠올리/VV+었/EP+던/ETM
것은	것/NNB+은/JX
흥겨운	흥겹/VA+ㄴ/ETM
리듬의	리듬/NNG+의/JKG
삼바와	삼바/NNG+와/JC
보사노바의	보사노바/NNG+의/JKG
고향,	고향/NNG+,/SP
끝없이	끝없이/MAG
펼쳐진	펼쳐지/VV+ㄴ/ETM
해변의	해변/NNG+의/JKG
이미지가	이미지/NNG+가/JKC
아니라	아니/VCN+라/EC
‘범죄의	‘/SS+범죄/NNG+의/JKG
나라’라는	나라/NNG+’/SS+이/VCP+라는/ETM
생각이었다.	생각/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000041.251.5.2
사실 브라질은 세계에서 살인, 강도 등 강력사건이 가장 많이 일어나는 나라 중 하나다.

사실	사실/MAG
브라질은	브라질/NNP+은/JX
세계에서	세계/NNG+에서/JKB
살인,	살인/NNG+,/SP
강도	강도/NNG
등	등/NNB
강력사건이	강력/NNG+사건/NNG+이/JKS
가장	가장/MAG
많이	많이/MAG
일어나는	일어나/VV+는/ETM
나라	나라/NNG
중	중/NNB
하나다.	하나/NR+이/VCP+다/EF+./SF


# id : NWRW1800000041.251.5.3
출국 전 외교부에서는 ‘절대 밤에 돌아다니지 말라’, ‘강도를 만날 때를 대비해 약간의 현금을 소지해라’ 등의 엄포를 놓았다.

출국	출국/NNG
전	전/NNG
외교부에서는	외교부/NNG+에서/JKB+는/JX
‘절대	‘/SS+절대/NNG
밤에	밤/NNG+에/JKB
돌아다니지	돌아다니/VV+지/EC
말라’,	말/VX+라/EF+’/SS+,/SP
‘강도를	‘/SS+강도/NNG+를/JKO
만날	만나/VV+ㄹ/ETM
때를	때/NNG+를/JKO
대비해	대비/NNG+하/XSV+아/EC
약간의	약간/NNG+의/JKG
현금을	현금/NNG+을/JKO
소지해라’	소지/NNG+하/XSV+아라/EF+’/SS
등의	등/NNB+의/JKG
엄포를	엄포/NNG+를/JKO
놓았다.	놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.251.5.4
브라질에 도착한 뒤 두려움에 몸이 굳을 정도였다.

브라질에	브라질/NNP+에/JKB
도착한	도착/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
