# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.159
metadata : {}


# id : NWRW1800000048.159.1.1
문화예술위 새 위원장에 박명진 교수 ‘공정성 논란’

문화예술위	문화/NNG+예술위/NNG
새	새/MMA
위원장에	위원장/NNG+에/JKB
박명진	박명진/NNP
교수	교수/NNG
‘공정성	‘/SS+공정/NNG+성/XSN
논란’	논란/NNG+’/SS


# id : NWRW1800000048.159.2.1
김종덕 문체부 장관의 논문 심사 이력

김종덕	김종덕/NNP
문체부	문체부/NNG
장관의	장관/NNG+의/JKG
논문	논문/NNG
심사	심사/NNG
이력	이력/NNG


# id : NWRW1800000048.159.3.1
예술과 거리 먼 언론학자 출신 지적도

예술과	예술/NNG+과/JC
거리	거리/NNG
먼	멀/VA+ㄴ/ETM
언론학자	언론학자/NNG
출신	출신/NNG
지적도	지적/NNG+도/JX


# id : NWRW1800000048.159.4.1
문화체육관광부는 박명진(68·사진) 서울대 언론정보학과 명예교수를 임기 3년의 한국문화예술위원회 위원장으로 임명한다고 4일 밝혔다.

문화체육관광부는	문화/NNG+체육/NNG+관광부/NNG+는/JX
박명진(68·사진)	박명진/NNP+(/SS+68/SN+·/SP+사진/NNG+)/SS
서울대	서울대/NNP
언론정보학과	언론/NNG+정보학과/NNG
명예교수를	명예/NNG+교수/NNG+를/JKO
임기	임기/NNG
3년의	3/SN+년/NNB+의/JKG
한국문화예술위원회	한국문화예술위원회/NNP
위원장으로	위원장/NNG+으로/JKB
임명한다고	임명/NNG+하/XSV+ㄴ다고/EC
4일	4/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.159.4.2
하지만 문화계에서는 박 신임 위원장이 과거 김종덕 문체부 장관의 박사학위 논문 심사위원이었다는 점을 들어 ‘부적절한 인사’라는 지적이 나온다.

하지만	하지만/MAJ
문화계에서는	문화/NNG+계/XSN+에서/JKB+는/JX
박	박/NNP
신임	신임/NNG
위원장이	위원장/NNG+이/JKS
과거	과거/NNG
김종덕	김종덕/NNP
문체부	문체부/NNG
장관의	장관/NNG+의/JKG
박사학위	박사/NNG+학위/NNG
논문	논문/NNG
심사위원이었다는	심사/NNG+위원/NNG+이/VCP+었/EP+다는/ETM
점을	점/NNG+을/JKO
들어	들/VV+어/EC
‘부적절한	‘/SS+부적절하/VA+ㄴ/ETM
인사’라는	인사/NNG+’/SS+이/VCP+라는/ETM
지적이	지적/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.159.5.1
박 신임 위원장은 경기여고와 서울대 불어불문학과를 졸업하고, 프랑스에서 석·박사를 마쳤다.

박	박/NNP
신임	신임/NNG
위원장은	위원장/NNG+은/JX
경기여고와	경기여고/NNP+와/JC
서울대	서울대/NNP
불어불문학과를	불어/NNP+불문학과/NNG+를/JKO
졸업하고,	졸업/NNG+하/XSV+고/EC+,/SP
프랑스에서	프랑스/NNP+에서/JKB
석·박사를	석·박사/NNG+를/JKO
마쳤다.	마치/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.159.5.2
‘문화비전 2000’ 위원회 위원, ‘새로운 예술의 해’ 추진위원회 위원, 서울대 부총장, 방송통신심의위원회 위원장 등을 지냈다.

‘문화비전	‘/SS+문화/NNG+비전/NNG
2000’	2000/SN+’/SS
위원회	위원회/NNG
위원,	위원/NNG+,/SP
‘새로운	‘/SS+새롭/VA+ㄴ/ETM
예술의	예술/NNG+의/JKG
해’	해/NNG+’/SS
추진위원회	추진/NNG+위원회/NNG
서울대	서울대/NNP
부총장,	부총장/NNG+,/SP
방송통신심의위원회	방송/NNG+통신/NNG+심의/NNG+위원회/NNG
위원장	위원장/NNG
등을	등/NNB+을/JKO
지냈다.	지내/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.159.5.3
또 <이미지 문화와 시대쟁점>, <얇은 언어와 두꺼운 언어> 등의 저서와 ‘한국 사회의 문화향유체계’ 등의 논문을 발표했다.

또	또/MAG
<이미지	</SS+이미지/NNG
문화와	문화/NNG+와/JC
시대쟁점>,	시대/NNG+쟁점/NNG+>/SS+,/SP
<얇은	</SS+얇/VA+은/ETM
언어와	언어/NNG+와/JC
두꺼운	두껍/VA+ㄴ/ETM
언어>	언어/NNG+>/SS
등의	등/NNB+의/JKG
저서와	저서/NNG+와/JC
‘한국	‘/SS+한국/NNP
사회의	사회/NNG+의/JKG
문화향유체계’	문화/NNG+향유/NNG+체계/NNG+’/SS
논문을	논문/NNG+을/JKO
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.159.6.1
문체부는 “박 위원장은 그간 보여준 강한 추진력을 기반으로 문화예술 분야 지원사업의 질적 수준을 높이고, 문화예술 현장과의 소통을 강화하는 등 문화예술계의 발전에 기여할 것”이라고 기대했다.

문체부는	문체부/NNG+는/JX
“박	“/SS+박/NNP
위원장은	위원장/NNG+은/JX
그간	그/NP+간/XSN
보여준	보이/VV+어/EC+주/VX+ㄴ/ETM
강한	강하/VA+ㄴ/ETM
추진력을	추진력/NNG+을/JKO
기반으로	기반/NNG+으로/JKB
문화예술	문화/NNG+예술/NNG
분야	분야/NNG
지원사업의	지원/NNG+사업/NNG+의/JKG
질적	질/NNG+적/XSN
수준을	수준/NNG+을/JKO
높이고,	높이/VV+고/EC+,/SP
현장과의	현장/NNG+과/JKB+의/JKG
소통을	소통/NNG+을/JKO
강화하는	강화/NNG+하/XSV+는/ETM
등	등/NNB
문화예술계의	문화/NNG+예술/NNG+계/XSN+의/JKG
발전에	발전/NNG+에/JKB
기여할	기여/NNG+하/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
기대했다.	기대/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.159.7.1
하지만 박 신임 위원장은 물망에 오를 때부터 공정성과 자질 시비에 휘말렸다.

하지만	하지만/MAJ
박	박/NNP
신임	신임/NNG
위원장은	위원장/NNG+은/JX
물망에	물망/NNG+에/JKB
오를	오르/VV+ㄹ/ETM
때부터	때/NNG+부터/JX
공정성과	공정/NNG+성/XSN+과/JC
자질	자질/NNG
시비에	시비/NNG+에/JKB
휘말렸다.	휘말리/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.159.7.2
박 신임 위원장이 2009년 김종덕 문체부 장관이 제출한 ‘양방향 티브이(TV)의 사용자 인터페이스 디자인 연구’라는 제목의 서울대 언론정보학 박사학위 논문의 심사위원을 맡았기 때문이다.

박	박/NNP
신임	신임/NNG
위원장이	위원장/NNG+이/JKS
2009년	2009/SN+년/NNB
김종덕	김종덕/NNP
문체부	문체부/NNG
장관이	장관/NNG+이/JKS
제출한	제출/NNG+하/XSV+ㄴ/ETM
‘양방향	‘/SS+양방향/NNG
티브이(TV)의	티브이/NNG+(/SS+TV/SL+)/SS+의/JKG
사용자	사용자/NNG
인터페이스	인터페이스/NNG
디자인	디자인/NNG
연구’라는	연구/NNG+’/SS+이/VCP+라는/ETM
제목의	제목/NNG+의/JKG
서울대	서울대/NNP
언론정보학	언론/NNG+정보학/NNG
박사학위	박사/NNG+학위/NNG
논문의	논문/NNG+의/JKG
심사위원을	심사/NNG+위원/NNG+을/JKO
맡았기	맡/VV+았/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000048.159.7.3
또 박 신임 위원장이 언론학자 출신이라 예술 현장과 거리가 먼 인물이라는 점도 지적되고 있다.

또	또/MAG
박	박/NNP
신임	신임/NNG
위원장이	위원장/NNG+이/JKS
언론학자	언론학자/NNG
출신이라	출신/NNG+이/VCP+라/EC
예술	예술/NNG
현장과	현장/NNG+과/JKB
거리가	거리/NNG+가/JKS
먼	멀/VA+ㄴ/ETM
인물이라는	인물/NNG+이/VCP+라는/ETM
점도	점/NNG+도/JX
지적되고	지적/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000048.159.8.1
문예위는 ‘문화예술진흥법’에 따라 문화예술진흥기금을 운용·관리하며, 문화예술의 창작과 보급 및 국제 문화예술 교류 등 문화예술 진흥을 위한 사업과 활동을 지원하기 위해 설립된 준정부기관이다.

문예위는	문예위/NNP+는/JX
‘문화예술진흥법’에	‘/SS+문화/NNG+예술/NNG+진흥법/NNG+’/SS+에/JKB
따라	따르/VV+아/EC
문화예술진흥기금을	문화/NNG+예술/NNG+진흥/NNG+기금/NNG+을/JKO
운용·관리하며,	운용/NNG+·/SP+관리/NNG+하/XSV+며/EC+,/SP
문화예술의	문화/NNG+예술/NNG+의/JKG
창작과	창작/NNG+과/JC
보급	보급/NNG
및	및/MAG
국제	국제/NNG
문화예술	문화/NNG+예술/NNG
교류	교류/NNG
등	등/NNB
진흥을	진흥/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
사업과	사업/NNG+과/JC
활동을	활동/NNG+을/JKO
지원하기	지원/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
설립된	설립/NNG+되/XSV+ㄴ/ETM
준정부기관이다.	준/XPN+정부/NNG+기관/NNG+이/VCP+다/EF+./SF


