# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.213
metadata : {}


# id : NWRW1800000041.213.1.1
[단독]20차례 소환 불응… 檢 ‘박지원 딜레마’

[단독]20차례	[/SS+단독/NNG+]/SS+20/SN+차례/NNG
소환	소환/NNG
불응…	불응/NNG+…/SE
檢	檢/SH
‘박지원	‘/SS+박지원/NNP
딜레마’	딜레마/NNG+’/SS


# id : NWRW1800000041.213.2.1
만만회 등 4건 명예훼손 고발당해… 檢 “제출한 의견서만으로 기소 검토”

만만회	만만회/NNP
등	등/NNB
4건	4/SN+건/NNB
명예훼손	명예/NNG+훼손/NNG
고발당해…	고발/NNG+당하/XSV+아/EF+…/SE
檢	檢/SH
“제출한	“/SS+제출/NNG+하/XSV+ㄴ/ETM
의견서만으로	의견서/NNG+만/JX+으로/JKB
기소	기소/NNG
검토”	검토/NNG+”/SS


# id : NWRW1800000041.213.3.1
검찰이 20차례 넘는 소환 통보에 불응하고 있는 박지원 새정치민주연합 의원(72·사진)의 명예훼손 피소사건 중 일부를 그동안 박 의원이 제출한 의견서만으로 결론을 내리는 방안을 검토 중인 것으로 28일 확인됐다.

검찰이	검찰/NNG+이/JKS
20차례	20/SN+차례/NNG
넘는	넘/VV+는/ETM
소환	소환/NNG
통보에	통보/NNG+에/JKB
불응하고	불응/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
박지원	박지원/NNP
새정치민주연합	새정치민주연합/NNP
의원(72·사진)의	의원/NNG+(/SS+72/SN+·/SP+사진/NNG+)/SS+의/JKG
명예훼손	명예/NNG+훼손/NNG
피소사건	피소/NNG+사건/NNG
중	중/NNB
일부를	일부/NNG+를/JKO
그동안	그동안/NNG
박	박/NNP
의원이	의원/NNG+이/JKS
제출한	제출/NNG+하/XSV+ㄴ/ETM
의견서만으로	의견서/NNG+만/JX+으로/JKB
결론을	결론/NNG+을/JKO
내리는	내리/VV+는/ETM
방안을	방안/NNG+을/JKO
검토	검토/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
28일	28/SN+일/NNB
확인됐다.	확인/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000041.213.3.2
검찰은 2012년 당시 새누리당 비상대책위원장이던 박근혜 대통령이 박 의원을 명예훼손 혐의로 고소한 사건도 조만간 처리할 방침이다.

검찰은	검찰/NNG+은/JX
2012년	2012/SN+년/NNB
당시	당시/NNG
새누리당	새누리당/NNP
비상대책위원장이던	비상/NNG+대책/NNG+위원장/NNG+이/VCP+던/ETM
박근혜	박근혜/NNP
대통령이	대통령/NNG+이/JKS
박	박/NNP
의원을	의원/NNG+을/JKO
명예훼손	명예/NNG+훼손/NNG
혐의로	혐의/NNG+로/JKB
고소한	고소/NNG+하/XSV+ㄴ/ETM
사건도	사건/NNG+도/JX
조만간	조만간/MAG
처리할	처리/NNG+하/XSV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.213.4.1
검찰 고위 관계자는 “박 의원이 명예훼손으로 고소당한 사건에서 관련자는 이미 대법원에서 유죄 확정 판결이 났다.

검찰	검찰/NNG
고위	고위/NNG
관계자는	관계자/NNG+는/JX
“박	“/SS+박/NNP
의원이	의원/NNG+이/JKS
명예훼손으로	명예/NNG+훼손/NNG+으로/JKB
고소당한	고소/NNG+당하/XSV+ㄴ/ETM
사건에서	사건/NNG+에서/JKB
관련자는	관련자/NNG+는/JX
이미	이미/MAG
대법원에서	대/XPN+법원/NNG+에서/JKB
유죄	유죄/NNG
확정	확정/NNG
판결이	판결/NNG+이/JKS
났다.	나/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.213.4.2
그동안 박 의원이 제출한 의견서에서 (박 의원의) 입장이 무엇인지는 알 수 있어 피의자 조사 없이도 증거 관계가 확실하면 결론을 내릴 수도 있다”고 밝혔다.

그동안	그동안/NNG
박	박/NNP
의원이	의원/NNG+이/JKS
제출한	제출/NNG+하/XSV+ㄴ/ETM
의견서에서	의견서/NNG+에서/JKB
(박	(/SS+박/NNP
의원의)	의원/NNG+의/JKG+)/SS
입장이	입장/NNG+이/JKS
무엇인지는	무엇/NP+이/VCP+ㄴ지/EF+는/JX
알	알/VV+ㄹ/ETM
수	수/NNB
있어	있/VA+어/EC
피의자	피의자/NNG
조사	조사/NNG
없이도	없이/MAG+도/JX
증거	증거/NNG
관계가	관계/NNG+가/JKS
확실하면	확실하/VA+면/EC
결론을	결론/NNG+을/JKO
내릴	내리/VV+ㄹ/ETM
수도	수/NNB+도/JX
있다”고	있/VA+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.213.4.3
검찰은 박 의원을 불구속 기소하는 방안을 유력하게 검토하고 있다.

검찰은	검찰/NNG+은/JX
박	박/NNP
의원을	의원/NNG+을/JKO
불구속	불/XPN+구속/NNG
기소하는	기소/NNG+하/XSV+는/ETM
방안을	방안/NNG+을/JKO
유력하게	유력/NNG+하/XSA+게/EC
검토하고	검토/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.213.4.4
검찰은 박 의원의 폭로가 국회에서 이뤄진 게 아닌 만큼 면책특권도 문제되지 않는다고 판단했다.

검찰은	검찰/NNG+은/JX
박	박/NNP
의원의	의원/NNG+의/JKG
폭로가	폭로/NNG+가/JKS
국회에서	국회/NNG+에서/JKB
이뤄진	이뤄지/VV+ㄴ/ETM
게	거/NNB+이/JKC
아닌	아니/VCN+ㄴ/ETM
만큼	만큼/NNB
면책특권도	면책/NNG+특권/NNG+도/JX
문제되지	문제/NNG+되/XSV+지/EC
않는다고	않/VX+는다고/EC
판단했다.	판단/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.213.5.1
박 의원은 총 4건의 폭로와 관련해 서울중앙지검에 고소장이 들어와 있다.

박	박/NNP
의원은	의원/NNG+은/JX
총	총/MMA
4건의	4/SN+건/NNB+의/JKG
폭로와	폭로/NNG+와/JKB
관련해	관련/NNG+하/XSV+아/EC
서울중앙지검에	서울중앙지검/NNP+에/JKB
고소장이	고소장/NNG+이/JKS
들어와	들어오/VV+아/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.213.5.2
그러나 20차례가 넘는 소환 통보에도 국회 일정을 이유로 출석하지 않았고 가끔 답변서를 보낸 게 전부였다.

그러나	그러나/MAJ
20차례가	20/SN+차례/NNG+가/JKS
넘는	넘/VV+는/ETM
소환	소환/NNG
통보에도	통보/NNG+에/JKB+도/JX
국회	국회/NNG
일정을	일정/NNG+을/JKO
이유로	이유/NNG+로/JKB
출석하지	출석/NNG+하/XSV+지/EC
않았고	않/VX+았/EP+고/EC
가끔	가끔/MAG
답변서를	답변서/NNG+를/JKO
보낸	보내/VV+ㄴ/ETM
게	거/NNB+이/JKS
전부였다.	전부/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000041.213.6.1
박 의원은 2012년 대선 정국을 앞두고 “2010년 11월 주요 20개국(G20) 정상회의를 전후해 박근혜 당시 새누리당 비상대책위원장과 저축은행 로비스트 박태규 씨(74)가 수차례 만났다고 들었다”는 박 씨의 운전기사 김모 씨(37) 측 제보를 폭로했다가 박 대통령과 박 씨로부터 고소당했다.

박	박/NNP
의원은	의원/NNG+은/JX
2012년	2012/SN+년/NNB
대선	대선/NNG
정국을	정국/NNG+을/JKO
앞두고	앞두/VV+고/EC
“2010년	“/SS+2010/SN+년/NNB
11월	11/SN+월/NNB
주요	주요/NNG
20개국(G20)	20/SN+개국/NNB+(/SS+G/SL+20/SN+)/SS
정상회의를	정상/NNG+회의/NNG+를/JKO
전후해	전후/NNG+하/XSV+아/EC
박근혜	박근혜/NNP
당시	당시/NNG
새누리당	새누리당/NNP
비상대책위원장과	비상/NNG+대책/NNG+위원장/NNG+과/JC
저축은행	저축/NNG+은행/NNG
로비스트	로비스트/NNG
박태규	박태규/NNP
씨(74)가	씨/NNB+(/SS+74/SN+)/SS+가/JKS
수차례	수차례/NNG
만났다고	만나/VV+았/EP+다고/EC
들었다”는	듣/VV+었/EP+다/EF+”/SS+는/ETM
씨의	씨/NNB+의/JKG
운전기사	운전기사/NNG
김모	김/NNP+모/NP
씨(37)	씨/NNB+(/SS+37/SN+)/SS
측	측/NNB
제보를	제보/NNG+를/JKO
폭로했다가	폭로/NNG+하/XSV+았/EP+다가/EC
대통령과	대통령/NNG+과/JC
씨로부터	씨/NNB+로부터/JKB
고소당했다.	고소/NNG+당하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.213.6.2
김 씨는 올해 4월 대법원에서 유죄 확정 판결을 받았다.

김	김/NNP
씨는	씨/NNB+는/JX
올해	올해/NNG
4월	4/SN+월/NNB
대법원에서	대/XPN+법원/NNG+에서/JKB
유죄	유죄/NNG
확정	확정/NNG
판결을	판결/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.213.6.3
박 의원은 이 밖에도 △불법자금이 한나라당 전당대회에 쓰였다고 폭로한 사건 △부산저축은행 증자와 관련해 의혹을 제기한 사건으로 고소를 당했다.

박	박/NNP
의원은	의원/NNG+은/JX
이	이/NP
밖에도	밖/NNG+에/JKB+도/JX
