# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.76
metadata : {}


# id : NWRW1800000022.76.1.1
[새 영화] 왓치맨;잘 만들어진 최악의 저질 영화?

[새	[/SS+새/MMA
영화]	영화/NNG+]/SS
왓치맨;잘	왓치맨/NNP+;/SW+잘/MAG
만들어진	만들/VV+어/EC+지/VX+ㄴ/ETM
최악의	최악/NNG+의/JKG
저질	저질/NNG
영화?	영화/NNG+?/SF


# id : NWRW1800000022.76.2.1
이것은 어마어마한 규모의 화장실 낙서이자 관객에 대한 안하무인의 결정판이다.

이것은	이것/NP+은/JX
어마어마한	어마어마하/VA+ㄴ/ETM
규모의	규모/NNG+의/JKG
화장실	화장실/NNG
낙서이자	낙서/NNG+이/VCP+자/EC
관객에	관객/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
안하무인의	안하무인/NNG+의/JKG
결정판이다.	결정판/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.76.2.2
후려치고 내던지고 깨부수며, 찌르고 후벼 파서 물어뜯는 것을 '액션'으로 잘못 배운 감독의 천박무도한 연출은, 할리우드의 무례함이 도를 지나침을 보여준다.

후려치고	후려치/VV+고/EC
내던지고	내던지/VV+고/EC
깨부수며,	깨부수/VV+며/EC+,/SP
찌르고	찌르/VV+고/EC
후벼	후비/VV+어/EC
파서	파/VV+아서/EC
물어뜯는	물어뜯/VV+는/ETM
것을	것/NNB+을/JKO
'액션'으로	'/SS+액션/NNG+'/SS+으로/JKB
잘못	잘못/MAG
배운	배우/VV+ㄴ/ETM
감독의	감독/NNG+의/JKG
천박무도한	천박/NNG+무도/NNG+하/XSA+ㄴ/ETM
연출은,	연출/NNG+은/JX+,/SP
할리우드의	할리우드/NNP+의/JKG
무례함이	무례/NNG+하/XSA+ㅁ/ETN+이/JKS
도를	도/NNG+를/JKO
지나침을	지나치/VV+ㅁ/ETN+을/JKO
보여준다.	보이/VV+어/EC+주/VX+ㄴ다/EF+./SF


# id : NWRW1800000022.76.2.3
그럼에도 불구하고 영화의 기술과 손재주는 뛰어나니, '잘 만든 최악의 영화'라고 할까.

그럼에도	그렇/VA+ㅁ/ETN+에/JKB+도/JX
불구하고	불구하/VV+고/EC
영화의	영화/NNG+의/JKG
기술과	기술/NNG+과/JC
손재주는	손재주/NNG+는/JX
뛰어나니,	뛰어나/VA+니/EC+,/SP
'잘	'/SS+잘/MAG
만든	만들/VV+ㄴ/ETM
최악의	최악/NNG+의/JKG
영화'라고	영화/NNG+'/SS+라고/JKQ
할까.	하/VV+ㄹ까/EF+./SF


# id : NWRW1800000022.76.3.1
5일 개봉한 '왓치맨'은 '300'을 연출한 잭 스나이더 감독의 공상과학 영화다.

5일	5/SN+일/NNB
개봉한	개봉/NNG+하/XSV+ㄴ/ETM
'왓치맨'은	'/SS+왓치맨/NNP+'/SS+은/JX
'300'을	'/SS+300/SN+'/SS+을/JKO
연출한	연출/NNG+하/XSV+ㄴ/ETM
잭	잭/NNP
스나이더	스나이더/NNP
감독의	감독/NNG+의/JKG
공상과학	공상/NNG+과학/NNG
영화다.	영화/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.76.3.2
동명의 미국 만화책을 스크린에 옮겨놓은 것으로, 갖가지 초능력을 지닌 수퍼 히어로들이 자신들을 포함해 인류 전체를 위협하는 거대한 음모를 발견하고 분투한다는 내용이다.

동명의	동명/NNG+의/JKG
미국	미국/NNP
만화책을	만화책/NNG+을/JKO
스크린에	스크린/NNG+에/JKB
옮겨놓은	옮기/VV+어/EC+놓/VX+은/ETM
것으로,	것/NNB+으로/JKB+,/SP
갖가지	갖가지/NNG
초능력을	초/XPN+능력/NNG+을/JKO
지닌	지니/VV+ㄴ/ETM
수퍼	수퍼/NNG
히어로들이	히어로/NNG+들/XSN+이/JKS
자신들을	자신/NNG+들/XSN+을/JKO
포함해	포함/NNG+하/XSV+아/EC
인류	인류/NNG
전체를	전체/NNG+를/JKO
위협하는	위협/NNG+하/XSV+는/ETM
거대한	거대/NNG+하/XSA+ㄴ/ETM
음모를	음모/NNG+를/JKO
발견하고	발견/NNG+하/XSV+고/EC
분투한다는	분투/NNG+하/XSV+ㄴ다는/ETM
내용이다.	내용/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.76.4.1
이 영화는 만화에 열광한 소수 집단을 위한 비공개 모임용이다.

이	이/MMD
영화는	영화/NNG+는/JX
만화에	만화/NNG+에/JKB
열광한	열광/NNG+하/XSV+ㄴ/ETM
소수	소수/NNG
집단을	집단/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
비공개	비/XPN+공개/NNG
모임용이다.	모임/NNG+용/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000022.76.4.2
그렇지 않은 이들에겐 어렵고 지루하며 길다(러닝타임이 2시간41분이다).

그렇지	그렇/VA+지/EC
않은	않/VX+은/ETM
이들에겐	이/NNB+들/XSN+에게/JKB+ㄴ/JX
어렵고	어렵/VA+고/EC
지루하며	지루하/VA+며/EC
길다(러닝타임이	길/VA+다/EF+(/SS+러닝타임/NNG+이/JKS
2시간41분이다).	2/SN+시간/NNB+41/SN+분/NNB+이/VCP+다/EF+)/SS+./SF


# id : NWRW1800000022.76.4.3
물론 '수퍼맨' 유의 통쾌한 권선징악 영화도 아니고 '다크 나이트'처럼 궤도를 조금 이탈한 영웅담도 아니다.

물론	물론/MAG
'수퍼맨'	'/SS+수퍼맨/NNP+'/SS
유의	유/NNG+의/JKG
통쾌한	통쾌/NNG+하/XSA+ㄴ/ETM
권선징악	권선징악/NNG
영화도	영화/NNG+도/JX
아니고	아니/VCN+고/EC
'다크	'/SS+다크/NNG
나이트'처럼	나이트/NNP+'/SS+처럼/JKB
궤도를	궤도/NNG+를/JKO
조금	조금/MAG
이탈한	이탈/NNG+하/XSV+ㄴ/ETM
영웅담도	영웅담/NNG+도/JX
