# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.320
metadata : {}


# id : NWRW1800000030.320.1.1
김민영씨 소장 보물 가격은… 8건 추정價만 최소 26억원… 월인석보는 '無價之寶(값을 매길 수 없는 보물)'

김민영씨	김민영/NNP+씨/NNB
소장	소장/NNG
보물	보물/NNG
가격은…	가격/NNG+은/JX+…/SE
8건	8/SN+건/NNB
추정價만	추정/NNG+價/SH+만/JX
최소	최소/NNG
26억원…	26/SN+억/NR+원/NNB+…/SE
월인석보는	월인석보/NNG+는/JX
'無價之寶(값을	'/SS+無價之寶/SH+(/SS+값/NNG+을/JKO
매길	매기/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
보물)'	보물/NNG+)/SS+'/SS


# id : NWRW1800000030.320.2.1
김민영(65) 부산저축은행 대표가 소장했던 보물 18건은 적게는 수천만원에서 많게는 값을 매길 수 없는 '무가지보(無價之寶)'로 알려졌다.

김민영(65)	김민영/NNP+(/SS+65/SN+)/SS
부산저축은행	부산저축은행/NNP
대표가	대표/NNG+가/JKS
소장했던	소장/NNG+하/XSV+았/EP+던/ETM
보물	보물/NNG
18건은	18/SN+건/NNB+은/JX
적게는	적/VA+게/EC+는/JX
수천만원에서	수천만/NR+원/NNB+에서/JKB
많게는	많/VA+게/EC+는/JX
값을	값/NNG+을/JKO
매길	매기/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
'무가지보(無價之寶)'로	'/SS+무가지보/NNG+(/SS+無價之寶/SH+)/SS+'/SS+로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.320.2.2
고미술품 관계자는 "보물로 지정되면 통상적으로 1억원은 넘는다. '월인석보'의 경우 유일본일 경우 가격을 매길 수 없을 정도로 비싸져 '부르는 게 값'인 '무가지보(無價之寶)'가 되며, 유일본이 아니더라도 권당 최하 8억~9억원 정도"라고 말했다.

고미술품	고미술품/NNG
관계자는	관계자/NNG+는/JX
"보물로	"/SS+보물/NNG+로/JKB
지정되면	지정/NNG+되/XSV+면/EC
통상적으로	통상/NNG+적/XSN+으로/JKB
1억원은	1/SN+억/NR+원/NNB+은/JX
넘는다.	넘/VV+는다/EF+./SF
'월인석보'의	'/SS+월인석보/NNG+'/SS+의/JKG
경우	경우/NNG
유일본일	유일본/NNG+이/VCP+ㄹ/ETM
가격을	가격/NNG+을/JKO
매길	매기/VV+ㄹ/ETM
수	수/NNB
없을	없/VA+을/ETM
정도로	정도/NNG+로/JKB
비싸져	비싸/VA+아/EC+지/VX+어/EC
'부르는	'/SS+부르/VV+는/ETM
게	거/NNB+이/JKS
값'인	값/NNG+'/SS+이/VCP+ㄴ/ETM
'무가지보(無價之寶)'가	'/SS+무가지보/NNG+(/SS+無價之寶/SH+)/SS+'/SS+가/JKC
되며,	되/VV+며/EC+,/SP
유일본이	유일본/NNG+이/JKC
아니더라도	아니/VCN+더라도/EC
권당	권/NNB+당/XSN
최하	최하/NNG
8억~9억원	8/SN+억/NR+~/SO+9/SN+억/NR+원/NNB
정도"라고	정도/NNG+"/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.320.2.3
월인석보(月印釋譜)는 한글 창제 직후인 1459년(세조 5년) 간행된 부처의 일대기.

월인석보(月印釋譜)는	월인석보/NNG+(/SS+月印釋譜/SH+)/SS+는/JX
한글	한글/NNG
창제	창제/NNG
직후인	직후/NNG+이/VCP+ㄴ/ETM
1459년(세조	1459/SN+년/NNB+(/SS+세조/NNP
5년)	5/SN+년/NNB+)/SS
간행된	간행/NNG+되/XSV+ㄴ/ETM
부처의	부처/NNP+의/JKG
일대기.	일대기/NNG+./SF


# id : NWRW1800000030.320.2.4
불교 서적을 한글로 번역한 최초의 책으로, 조선 초기 훈민정음 연구와 불교학·문헌학 연구에 귀중한 자료다.

불교	불교/NNG
서적을	서적/NNG+을/JKO
한글로	한글/NNG+로/JKB
번역한	번역/NNG+하/XSV+ㄴ/ETM
최초의	최초/NNG+의/JKG
책으로,	책/NNG+으로/JKB+,/SP
조선	조선/NNP
초기	초기/NNG
훈민정음	훈민정음/NNG
연구와	연구/NNG+와/JC
불교학·문헌학	불교학/NNG+·/SP+문헌학/NNG
연구에	연구/NNG+에/JKB
귀중한	귀중하/VA+ㄴ/ETM
자료다.	자료/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.320.3.1
불교신자였던 김씨는 평소 "불교 문화재 박물관을 만드는 게 꿈"이라고 말해왔다는 게 고미술 관계자들의 얘기다.

불교신자였던	불교/NNG+신자/NNG+이/VCP+었/EP+던/ETM
김씨는	김/NNP+씨/NNB+는/JX
평소	평소/NNG
"불교	"/SS+불교/NNG
문화재	문화재/NNG
박물관을	박물관/NNG+을/JKO
만드는	만들/VV+는/ETM
게	거/NNB+이/JKS
꿈"이라고	꿈/NNG+"/SS+이라고/JKQ
말해왔다는	말/NNG+하/XSV+아/EC+오/VX+았/EP+다는/ETM
고미술	고미술/NNG
관계자들의	관계자/NNG+들/XSN+의/JKG
얘기다.	얘기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.320.3.2
김씨의 수집품 대부분 역시 불교 관련 서적.

김씨의	김/NNP+씨/NNB+의/JKG
수집품	수집품/NNG
대부분	대/XPN+부분/NNG
역시	역시/MAG
불교	불교/NNG
관련	관련/NNG
서적.	서적/NNG+./SF


# id : NWRW1800000030.320.3.3
지난 2007년 동국대 출판부에서 낸 도록 '불서를 통해 본 조선시대 스님의 일상'에서 그는 "수십년 전부터 인사동 고서점을 다니며 불교 관련 서적들을 수집했다"고 썼다.

지난	지나/VV+ㄴ/ETM
2007년	2007/SN+년/NNB
동국대	동국대/NNP
출판부에서	출판부/NNG+에서/JKB
낸	내/VV+ㄴ/ETM
도록	도록/NNG
'불서를	'/SS+불서/NNG+를/JKO
통해	통하/VV+아/EC
본	보/VV+ㄴ/ETM
조선시대	조선시대/NNG
스님의	스님/NNG+의/JKG
일상'에서	일상/NNG+'/SS+에서/JKB
그는	그/NP+는/JX
"수십년	"/SS+수십/NR+년/NNB
전부터	전/NNG+부터/JX
인사동	인사동/NNP
고서점을	고서점/NNG+을/JKO
다니며	다니/VV+며/EC
불교	불교/NNG
관련	관련/NNG
서적들을	서적/NNG+들/XSN+을/JKO
수집했다"고	수집/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
썼다.	쓰/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.320.4.1
그가 수집한 불서 중 선종영가집(禪宗永嘉集) 언해(諺解) 권하·대불정여래밀인수증요의제보살만행수능엄경(大佛頂如來密因修證了義諸菩薩萬行首楞嚴經) 언해 권3·몽산화상법어략록(蒙山和尙法語略錄) 언해 등 한글로 기록된 서적들은 2억~3억원을 호가할 것으로 추정된다.

그가	그/NP+가/JKS
수집한	수집/NNG+하/XSV+ㄴ/ETM
불서	불서/NNG
중	중/NNB
선종영가집(禪宗永嘉集)	선종영가집/NNP+(/SS+禪宗永嘉集/SH+)/SS
언해(諺解)	언해/NNG+(/SS+諺解/SH+)/SS
권하·대불정여래밀인수증요의제보살만행수능엄경(大佛頂如來密因修證了義諸菩薩萬行首楞嚴經)	권/NNB+하/NNG+·/SP+대불정여래밀인수증요의제보살만행수능엄경/NNP+(/SS+大佛頂如來密因修證了義諸菩薩萬行首楞嚴經/SH+)/SS
언해	언해/NNG
권3·몽산화상법어략록(蒙山和尙法語略錄)	권/NNB+3/SN+·/SP+몽산화상법어략록/NNP+(/SS+蒙山和尙法語略錄/SH+)/SS
등	등/NNB
한글로	한글/NNG+로/JKB
기록된	기록/NNG+되/XSV+ㄴ/ETM
서적들은	서적/NNG+들/XSN+은/JX
2억~3억원을	2/SN+억/NR+~/SO+3/SN+억/NR+원/NNB+을/JKO
호가할	호가/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
추정된다.	추정/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000030.320.4.2
고미술품 관계자는 "불교 관련 서적은 한글본이라면 국어사적인 의미가 있어 다른 불교 서적보다 값이 비싸다"고 말했다.

고미술품	고미술품/NNG
관계자는	관계자/NNG+는/JX
"불교	"/SS+불교/NNG
관련	관련/NNG
서적은	서적/NNG+은/JX
한글본이라면	한글본/NNG+이/VCP+라면/EC
국어사적인	국어사/NNG+적/XSN+이/VCP+ㄴ/ETM
의미가	의미/NNG+가/JKS
있어	있/VA+어/EC
다른	다른/MMD
불교	불교/NNG
서적보다	서적/NNG+보다/JKB
값이	값/NNG+이/JKS
비싸다"고	비싸/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.320.5.1
다산 정약용이 강진에서 귀양 살 때 아내가 보내온 치맛감에 두 아들에게 주는 당부를 쓴 하피첩(霞?帖)도 2억~3억원을 호가할 것으로 추정된다.

다산	다산/NNP
정약용이	정약용/NNP+이/JKS
강진에서	강진/NNP+에서/JKB
귀양	귀양/NNG
살	살/VV+ㄹ/ETM
때	때/NNG
아내가	아내/NNG+가/JKS
보내온	보내오/VV+ㄴ/ETM
치맛감에	치맛감/NNG+에/JKB
두	두/MMN
아들에게	아들/NNG+에게/JKB
주는	주/VV+는/ETM
당부를	당부/NNG+를/JKO
쓴	쓰/VV+ㄴ/ETM
하피첩(霞?帖)도	하피첩/NNG+(/SS+霞/SH+?/NA+帖/SH+)/SS+도/JX
2억~3억원을	2/SN+억/NR+~/SO+3/SN+억/NR+원/NNB+을/JKO
호가할	호가/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
추정된다.	추정/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000030.320.5.2
고미술품 관계자는 "다산 글씨는 인기가 높아서 보통 편지 한 장이 1000만원 정도 한다. '하피첩'의 경우는 스토리가 남달라 값이 비싸다"고 말했다.

고미술품	고미술품/NNG
관계자는	관계자/NNG+는/JX
"다산	"/SS+다산/NNP
글씨는	글씨/NNG+는/JX
인기가	인기/NNG+가/JKS
높아서	높/VA+아서/EC
보통	보통/MAG
편지	편지/NNG
한	한/MMN
장이	장/NNB+이/JKS
1000만원	1000/SN+만/NR+원/NNB
정도	정도/NNG
한다.	하/VV+ㄴ다/EF+./SF
'하피첩'의	'/SS+하피첩/NNG+'/SS+의/JKG
경우는	경우/NNG+는/JX
스토리가	스토리/NNG+가/JKS
남달라	남다르/VA+아/EC
값이	값/NNG+이/JKS
비싸다"고	비싸/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.320.6.1
반면 이한진 전예 경산전팔쌍절첩(李漢鎭篆隸京山篆八雙絶帖), 남창(南窓) 김현성(金玄成) 필적(筆蹟) 등은 서예사적 가치가 높아 보물로 지정됐지만 2000만~3000만원 정도로 한글 불교 서적에 비해 가격은 낮다.

반면	반면/NNG
이한진	이한진/NNP
전예	전예/NNG
경산전팔쌍절첩(李漢鎭篆隸京山篆八雙絶帖),	경산전팔쌍절첩/NNG+(/SS+李漢鎭篆隸京山篆八雙絶帖/SH+)/SS+,/SP
남창(南窓)	남창/NNP+(/SS+南窓/SH+)/SS
김현성(金玄成)	김현성/NNP+(/SS+金玄成/SH+)/SS
필적(筆蹟)	필적/NNG+(/SS+筆蹟/SH+)/SS
등은	등/NNB+은/JX
서예사적	서예사/NNG+적/XSN
가치가	가치/NNG+가/JKS
높아	높/VA+아/EC
보물로	보물/NNG+로/JKB
지정됐지만	지정/NNG+되/XSV+었/EP+지만/EC
2000만~3000만원	2000/SN+만/NR+~/SO+3000/SN+만/NR+원/NNB
정도로	정도/NNG+로/JKB
한글	한글/NNG
불교	불교/NNG
서적에	서적/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
가격은	가격/NNG+은/JX
낮다.	낮/VA+다/EF+./SF


# id : NWRW1800000030.320.7.1
이들 보물의 시가 총액을 산정하는 것은 무리다.

이들	이/NP+들/XSN
보물의	보물/NNG+의/JKG
시가	시가/NNG
총액을	총액/NNG+을/JKO
산정하는	산정/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
무리다.	무리/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.320.7.2
고미술품 관계자는 "불교 관련 문헌의 경우 연대, 보존상태, 해석을 덧붙인 사람이 누구인지에 따라 가격이 천차만별"이라고 말했다.

고미술품	고미술품/NNG
관계자는	관계자/NNG+는/JX
