# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.410
metadata : {}


# id : NWRW1800000046.410.1.1
野, 상가 임차 보호기간 5년서 10년으로 연장 요구

野,	野/SH+,/SP
상가	상가/NNG
임차	임차/NNG
보호기간	보호/NNG+기간/NNG
5년서	5/SN+년/NNB+서/JKB
10년으로	10/SN+년/NNB+으로/JKB
연장	연장/NNG
요구	요구/NNG


# id : NWRW1800000046.410.2.1
자영업자 대책 또 내놔… 업계 "총선用 포퓰리즘"

자영업자	자영업자/NNG
대책	대책/NNG
또	또/MAG
내놔…	내놓/VV+아/EC+…/SE
업계	업계/NNG
"총선用	"/SS+총선/NNG+用/SH
포퓰리즘"	포퓰리즘/NNG+"/SS


# id : NWRW1800000046.410.3.1
새정치민주연합은 22일 상가임대차 계약갱신 요구권을 현행 5년에서 10년으로 늘리는 내용을 골자로 한 '자영업자 살리기 종합대책'을 발표했다.

새정치민주연합은	새정치민주연합/NNP+은/JX
22일	22/SN+일/NNB
상가임대차	상가/NNG+임대차/NNG
계약갱신	계약/NNG+갱신/NNG
요구권을	요구/NNG+권/XSN+을/JKO
현행	현행/NNG
5년에서	5/SN+년/NNB+에서/JKB
10년으로	10/SN+년/NNB+으로/JKB
늘리는	늘리/VV+는/ETM
내용을	내용/NNG+을/JKO
골자로	골자/NNG+로/JKB
한	하/VV+ㄴ/ETM
'자영업자	'/SS+자영업자/NNG
살리기	살리/VV+기/ETN
종합대책'을	종합/NNG+대책/NNG+'/SS+을/JKO
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.410.3.2
업계에선 "내년 총선을 겨냥한 포퓰리즘"이라는 비판이 나왔다.

업계에선	업계/NNG+에서/JKB+ㄴ/JX
"내년	"/SS+내년/NNG
총선을	총선/NNG+을/JKO
겨냥한	겨냥/NNG+하/XSV+ㄴ/ETM
포퓰리즘"이라는	포퓰리즘/NNG+"/SS+이/VCP+라는/ETM
비판이	비판/NNG+이/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.410.4.1
새정치민주연합 '유능한 경제정당 위원회'는 이날 국회에서 기자회견을 갖고 "자영업자들의 영업권을 선진국 수준으로 보장하기 위해 상가임대차 계약갱신 요구권을 10년으로 연장할 것을 제안한다"고 했다.

새정치민주연합	새정치민주연합/NNP
'유능한	'/SS+유능/NNG+하/XSA+ㄴ/ETM
경제정당	경제/NNG+정당/NNG
위원회'는	위원회/NNG+'/SS+는/JX
이날	이날/NNG
국회에서	국회/NNG+에서/JKB
기자회견을	기자/NNG+회견/NNG+을/JKO
갖고	갖/VV+고/EC
"자영업자들의	"/SS+자영업자/NNG+들/XSN+의/JKG
영업권을	영업/NNG+권/XSN+을/JKO
선진국	선진국/NNG
수준으로	수준/NNG+으로/JKB
보장하기	보장/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
상가임대차	상가/NNG+임대차/NNG
계약갱신	계약/NNG+갱신/NNG
요구권을	요구/NNG+권/XSN+을/JKO
10년으로	10/SN+년/NNB+으로/JKB
연장할	연장/NNG+하/XSV+ㄹ/ETM
것을	것/NNB+을/JKO
제안한다"고	제안/NNG+하/XSV+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.410.4.2
영세 자영업자뿐 아니라 모든 상가 임차인들에게 건물주가 바뀌어도 최소 10년간 장사할 권리를 보장한다는 것이다.

영세	영세/NNG
자영업자뿐	자영업자/NNG+뿐/JX
아니라	아니/VCN+라/EC
모든	모든/MMN
상가	상가/NNG
임차인들에게	임차인/NNG+들/XSN+에게/JKB
건물주가	건물주/NNG+가/JKS
바뀌어도	바뀌/VV+어도/EC
최소	최소/NNG
10년간	10/SN+년/NNB+간/XSN
장사할	장사/NNG+하/XSV+ㄹ/ETM
권리를	권리/NNG+를/JKO
보장한다는	보장/NNG+하/XSV+ㄴ다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.410.4.3
지난 5월 국회가 상가임대차보호법 개정을 통해 임차 보호(5년) 대상을 확대한지 7개월만에 임차 보호 기간을 두 배로 연장할 것을 요구한 셈이다.

지난	지나/VV+ㄴ/ETM
5월	5/SN+월/NNB
국회가	국회/NNG+가/JKS
상가임대차보호법	상가/NNG+임대차/NNG+보호법/NNG
개정을	개정/NNG+을/JKO
통해	통하/VV+아/EC
임차	임차/NNG
보호(5년)	보호/NNG+(/SS+5/SN+년/NNB+)/SS
대상을	대상/NNG+을/JKO
확대한지	확대/NNG+하/XSV+ㄴ/ETM+지/NNB
7개월만에	7/SN+개월/NNB+만/NNB+에/JKB
보호	보호/NNG
기간을	기간/NNG+을/JKO
두	두/MMN
배로	배/NNG+로/JKB
연장할	연장/NNG+하/XSV+ㄹ/ETM
것을	것/NNB+을/JKO
요구한	요구/NNG+하/XSV+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.410.5.1
이 밖에 유능한 경제정당 위원회는 이날 ▲상가 재건축 시 우선임차권 보장 ▲프랜차이즈 본사와 대리점 간 이익공유제 '법제화' 등 내용도 대책으로 제시했다.

이	이/NP
밖에	밖/NNG+에/JKB
유능한	유능/NNG+하/XSA+ㄴ/ETM
경제정당	경제/NNG+정당/NNG
위원회는	위원회/NNG+는/JX
이날	이날/NNG
▲상가	▲/SW+상가/NNG
재건축	재/XPN+건축/NNG
시	시/NNB
우선임차권	우선/NNG+임차/NNG+권/XSN
보장	보장/NNG
▲프랜차이즈	▲/SW+프랜차이즈/NNG
본사와	본사/NNG+와/JC
대리점	대리점/NNG
간	간/NNB
이익공유제	이익/NNG+공유/NNG+제/XSN
'법제화'	'/SS+법제/NNG+화/XSN+'/SS
등	등/NNB
내용도	내용/NNG+도/JX
대책으로	대책/NNG+으로/JKB
제시했다.	제시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.410.6.1
전문가들은 "상가 임대 가격이 폭등할 것"이라며 부작용을 우려했다.

전문가들은	전문가/NNG+들/XSN+은/JX
"상가	"/SS+상가/NNG
임대	임대/NNG
가격이	가격/NNG+이/JKS
