# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.228
metadata : {}


# id : NWRW1800000049.228.1.1
美 올림픽농구대표팀, 이름만 드림팀?

美	美/SH
올림픽농구대표팀,	올림픽/NNG+농구/NNG+대표/NNG+팀/NNG+,/SP
이름만	이름/NNG+만/JX
드림팀?	드림팀/NNG+?/SF


# id : NWRW1800000049.228.2.1
NBA 최고 스타 커리 “부상으로 불참”… 다른 특급선수들도 “지카 우려” 줄포기

NBA	NBA/SL
최고	최고/NNG
스타	스타/NNG
커리	커리/NNP
“부상으로	“/SS+부상/NNG+으로/JKB
불참”…	불참/NNG+”/SS+…/SE
다른	다른/MMD
특급선수들도	특급/NNG+선수/NNG+들/XSN+도/JX
“지카	“/SS+지카/NNP
우려”	우려/NNG+”/SS
줄포기	줄포기/NNG


# id : NWRW1800000049.228.3.1
올림픽에서 가장 인기 있는 경기 중 하나는 미국 농구 대표팀의 경기다.

올림픽에서	올림픽/NNG+에서/JKB
가장	가장/MAG
인기	인기/NNG
있는	있/VA+는/ETM
경기	경기/NNG
중	중/NNB
하나는	하나/NR+는/JX
미국	미국/NNP
농구	농구/NNG
대표팀의	대표/NNG+팀/NNG+의/JKG
경기다.	경기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.228.3.2
미국프로농구(NBA) 슈퍼스타들이 총출동했던 2012년 런던 올림픽에서 미국 대표팀의 예선과 결승 경기 입장권은 올림픽 개막 전에 매진됐다.

미국프로농구(NBA)	미국/NNP+프로/NNG+농구/NNG+(/SS+NBA/SL+)/SS
슈퍼스타들이	슈퍼스타/NNG+들/XSN+이/JKS
총출동했던	총출동/NNG+하/XSV+았/EP+던/ETM
2012년	2012/SN+년/NNB
런던	런던/NNP
올림픽에서	올림픽/NNG+에서/JKB
미국	미국/NNP
대표팀의	대표/NNG+팀/NNG+의/JKG
예선과	예선/NNG+과/JC
결승	결승/NNG
경기	경기/NNG
입장권은	입장/NNG+권/XSN+은/JX
올림픽	올림픽/NNG
개막	개막/NNG
전에	전/NNG+에/JKB
매진됐다.	매진/NNG+되/XSV+었/EP+다/EF+./SF


