# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.321
metadata : {}


# id : NWRW1800000030.321.1.1
정몽준·김문수 '反朴 연대' 움직임

정몽준·김문수	정몽준/NNP+·/SP+김문수/NNP
'反朴	'/SS+反朴/SH
연대'	연대/NNG+'/SS
움직임	움직임/NNG


# id : NWRW1800000030.321.2.1
?박근혜의 '당권·대권 분리 개정 반대' 발언에 강력 반발

?박근혜의	?/SF+박근혜/NNP+의/JKG
'당권·대권	'/SS+당권/NNG+·/SP+대권/NNG
분리	분리/NNG
개정	개정/NNG
반대'	반대/NNG+'/SS
발언에	발언/NNG+에/JKB
강력	강력/NNG
반발	반발/NNG


# id : NWRW1800000030.321.3.1
한나라당 박근혜 전 대표가 지난 19일 친이(親李)계 중심의 당권·대권 분리 당헌에 대한 개정 시도를 "개혁 후퇴"라고 비판하자 정몽준 전 대표와 김문수 경기지사, 일부 친이계 의원들이 강력히 반발하고 나섰다.

한나라당	한나라당/NNP
박근혜	박근혜/NNP
전	전/MMD
대표가	대표/NNG+가/JKS
지난	지나/VV+ㄴ/ETM
19일	19/SN+일/NNB
친이(親李)계	친/XPN+이/NNP+(/SS+親李/SH+)/SS+계/XSN
중심의	중심/NNG+의/JKG
당권·대권	당권/NNG+·/SP+대권/NNG
분리	분리/NNG
당헌에	당헌/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
개정	개정/NNG
시도를	시도/NNG+를/JKO
"개혁	"/SS+개혁/NNG
후퇴"라고	후퇴/NNG+"/SS+라고/JKQ
비판하자	비판/NNG+하/XSV+자/EC
정몽준	정몽준/NNP
대표와	대표/NNG+와/JC
김문수	김문수/NNP
경기지사,	경기/NNP+지사/NNG+,/SP
일부	일부/NNG
친이계	친/XPN+이/NNP+계/XSN
의원들이	의원/NNG+들/XSN+이/JKS
강력히	강력히/MAG
반발하고	반발/NNG+하/XSV+고/EC
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.321.3.2
이에 따라 한나라당이 친박(親朴) 대 반박(反朴)으로 급속하게 재편될 것으로 보인다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
한나라당이	한나라당/NNP+이/JKS
친박(親朴)	친/XPN+박/NNP+(/SS+親朴/SH+)/SS
대	대/NNB
반박(反朴)으로	반/XPN+박/NNP+(/SS+反朴/SH+)/SS+으로/JKB
급속하게	급속/NNG+하/XSA+게/EC
재편될	재편/NNG+되/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.321.4.1
정 전 대표는 20일 개인성명을 내고 "현행 규정을 유지하자는 것은 변화를 거부하는 것"이라며 "당이 위기에 빠져 있는 상황에서 과거의 틀을 벗어나지 못하는 것은 미래를 포기하겠다는 것과 마찬가지"라고 했다.

정	정/NNP
전	전/MMD
대표는	대표/NNG+는/JX
20일	20/SN+일/NNB
개인성명을	개인/NNG+성명/NNG+을/JKO
내고	내/VV+고/EC
"현행	"/SS+현행/NNG
규정을	규정/NNG+을/JKO
유지하자는	유지/NNG+하/XSV+자는/ETM
것은	것/NNB+은/JX
변화를	변화/NNG+를/JKO
거부하는	거부/NNG+하/XSV+는/ETM
것"이라며	것/NNB+"/SS+이/VCP+라며/EC
"당이	"/SS+당/NNG+이/JKS
위기에	위기/NNG+에/JKB
빠져	빠지/VV+어/EC
있는	있/VX+는/ETM
상황에서	상황/NNG+에서/JKB
과거의	과거/NNG+의/JKG
틀을	틀/NNG+을/JKO
벗어나지	벗어나/VV+지/EC
못하는	못하/VX+는/ETM
미래를	미래/NNG+를/JKO
포기하겠다는	포기/NNG+하/XSV+겠/EP+다는/ETM
것과	것/NNB+과/JKB
마찬가지"라고	마찬가지/NNG+"/SS+라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.321.4.2
정 전 대표와 함께 "당헌을 고쳐 7월 전당대회에 대선주자들이 나서자"고 주장했던 김문수 경기지사의 한 측근은 "연대까지는 아니지만 비슷한 뜻을 지닌 정 전 대표와 함께 '가치'를 중심으로 뭉칠 수도 있다"고 했다.

정	정/NNP
전	전/MMD
대표와	대표/NNG+와/JKB
함께	함께/MAG
