# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.248
metadata : {}


# id : NWRW1800000026.248.1.1
9살 윤정이 노래에 깜짝… 트로트로 휩쓸줄 알았죠;기획사 대표 홍익선과 가수 장윤정의 기이한 인연

9살	9/SN+살/NNB
윤정이	윤정이/NNP
노래에	노래/NNG+에/JKB
깜짝…	깜짝/MAG+…/SE
트로트로	트로트/NNG+로/JKB
휩쓸줄	휩쓸/VV+ㄹ/ETM+줄/NNB
알았죠;기획사	알/VV+았/EP+죠/EF+;/SP+기획사/NNG
대표	대표/NNG
홍익선과	홍익선/NNP+과/JC
가수	가수/NNG
장윤정의	장윤정/NNP+의/JKG
기이한	기이하/VA+ㄴ/ETM
인연	인연/NNG


# id : NWRW1800000026.248.2.1
아홉 살짜리 소녀 장윤정이 노래하는 모습을 보니 기가 막힐 노릇이었다.

아홉	아홉/NR
살짜리	살/NNB+짜리/XSN
소녀	소녀/NNG
장윤정이	장윤정/NNP+이/JKS
노래하는	노래/NNG+하/XSV+는/ETM
모습을	모습/NNG+을/JKO
보니	보/VV+니/EC
기가	기/NNG+가/JKS
막힐	막히/VV+ㄹ/ETM
노릇이었다.	노릇/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000026.248.2.2
1989년 홍익선(47·연예기획사 인우 프로덕션 대표)은 나이트클럽이며 카바레에서 연예부장이라는 직함으로 가수들을 관리하던 사람이었다.

1989년	1989/SN+년/NNB
홍익선(47·연예기획사	홍익선/NNP+(/SS+47/SN+·/SP+연예/NNG+기획사/NNG
인우	인우/NNP
프로덕션	프로덕션/NNG
대표)은	대표/NNG+)/SS+은/JX
나이트클럽이며	나이트클럽/NNG+이/VCP+며/EC
카바레에서	카바레/NNG+에서/JKB
연예부장이라는	연예부장/NNG+이/VCP+라는/ETM
직함으로	직함/NNG+으로/JKB
가수들을	가수/NNG+들/XSN+을/JKO
관리하던	관리/NNG+하/XSV+던/ETM
사람이었다.	사람/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000026.248.2.3
그런데 그해 어느 지방 노래자랑대회에 가봤더니 엄마 몰래 출전한 어린 꼬마가 김지애의 트로트 '물레야'를 가수 뺨치게 부르는 것이었다.

그런데	그런데/MAJ
그해	그해/NNG
어느	어느/MMD
지방	지방/NNG
노래자랑대회에	노래자랑/NNG+대회/NNG+에/JKB
가봤더니	가/VV+아/EC+보/VX+았/EP+더니/EC
엄마	엄마/NNG
몰래	몰래/MAG
출전한	출전/NNG+하/XSV+ㄴ/ETM
어린	어리/VA+ㄴ/ETM
꼬마가	꼬마/NNG+가/JKS
김지애의	김지애/NNP+의/JKG
트로트	트로트/NNG
'물레야'를	'/SS+물레야/NNP+'/SS+를/JKO
가수	가수/NNG
뺨치게	뺨치/VV+게/EC
부르는	부르/VV+는/ETM
것이었다.	것/NNB+이/VCP+었/EP+다/EF+./SF

