# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.172
metadata : {}


# id : NWRW1800000049.172.1.1
“접근하면 처벌”… 경찰, 데이트폭력男에 직접 경고

“접근하면	“/SS+접근/NNG+하/XSV+면/EC
처벌”…	처벌/NNG+”/SS+…/SE
경찰,	경찰/NNG+,/SP
데이트폭력男에	데이트/NNG+폭력/NNG+男/SH+에/JKB
직접	직접/MAG
경고	경고/NNG


# id : NWRW1800000049.172.2.1
전국 경찰서 전담팀 꾸려 근절나서 2015년 7692건 발생… 102명 숨져 피해자 집에 CCTV-호출기 지원

전국	전국/NNG
경찰서	경찰서/NNG
전담팀	전담/NNG+팀/NNG
꾸려	꾸리/VV+어/EC
근절나서	근절/NNG+나/VV+아서/EC
2015년	2015/SN+년/NNB
7692건	7692/SN+건/NNB
발생…	발생/NNG+…/SE
102명	102/SN+명/NNB
숨져	숨지/VV+어/EC
피해자	피해자/NNG
집에	집/NNG+에/JKB
CCTV-호출기	CCTV/SL+-/SO+호출기/NNG
지원	지원/NNG


# id : NWRW1800000049.172.3.1
지난해 5월 한 20대 남성은 “헤어지자”며 결별을 통보한 또래 여자친구를 목 졸라 살해했다.

지난해	지난해/NNG
5월	5/SN+월/NNB
한	한/MMN
20대	20/SN+대/NNB
남성은	남성/NNG+은/JX
“헤어지자”며	“/SS+헤어지/VV+자/EF+”/SS+며/EC
결별을	결별/NNG+을/JKO
통보한	통보/NNG+하/XSV+ㄴ/ETM
또래	또래/NNG
여자친구를	여자/NNG+친구/NNG+를/JKO
목	목/NNG
졸라	조르/VV+아/EC
살해했다.	살해/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.172.3.2
그는 야산에 구덩이를 파고 시신을 담은 여행용 가방을 묻은 뒤 시멘트로 암매장했다.

그는	그/NP+는/JX
야산에	야산/NNG+에/JKB
구덩이를	구덩이/NNG+를/JKO
파고	파/VV+고/EC
시신을	시신/NNG+을/JKO
담은	담/VV+은/ETM
여행용	여행/NNG+용/XSN
가방을	가방/NNG+을/JKO
묻은	묻/VV+은/ETM
뒤	뒤/NNG
시멘트로	시멘트/NNG+로/JKB
암매장했다.	암매장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.172.3.3
같은 해 12월에는 40대 남성이 평소 폭행과 폭언에 시달리던 여자친구가 헤어지려 하자 전기충격기로 공격한 뒤 염산 테러를 가했다.

같은	같/VA+은/ETM
해	해/NNG
12월에는	12/SN+월/NNB+에/JKB+는/JX
40대	40/SN+대/NNB
남성이	남성/NNG+이/JKS
평소	평소/NNG
폭행과	폭행/NNG+과/JC
폭언에	폭언/NNG+에/JKB
시달리던	시달리/VV+던/ETM
여자친구가	여자/NNG+친구/NNG+가/JKS
헤어지려	헤어지/VV+려/EC
하자	하/VX+자/EC
전기충격기로	전기/NNG+충격기/NNG+로/JKB
공격한	공격/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
염산	염산/NNG
테러를	테러/NNG+를/JKO
가했다.	가하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.172.4.1
지난해 이 같은 ‘데이트 폭력’은 알려진 것만 7692건이 발생했다.

지난해	지난해/NNG
이	이/MMD
같은	같/VA+은/ETM
‘데이트	‘/SS+데이트/NNG
폭력’은	폭력/NNG+’/SS+은/JX
알려진	알려지/VV+ㄴ/ETM
것만	것/NNB+만/JX
7692건이	7692/SN+건/NNB+이/JKS
발생했다.	발생/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.172.4.2
하루 평균 21건으로, 이 가운데 102명이 목숨을 잃었다.

하루	하루/NNG
평균	평균/NNG
21건으로,	21/SN+건/NNB+으로/JKB+,/SP
이	이/MMD
가운데	가운데/NNG
102명이	102/SN+명/NNB+이/JKS
목숨을	목숨/NNG+을/JKO
잃었다.	잃/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.172.5.1
경찰이 데이트 폭력을 강한 처벌과 사전 예방이 필요한 중대 범죄행위로 간주하고 근절에 나섰다.

경찰이	경찰/NNG+이/JKS
데이트	데이트/NNG
폭력을	폭력/NNG+을/JKO
강한	강하/VA+ㄴ/ETM
처벌과	처벌/NNG+과/JC
사전	사전/NNG
예방이	예방/NNG+이/JKS
필요한	필요/NNG+하/XSA+ㄴ/ETM
중대	중대/NNG
범죄행위로	범죄/NNG+행위/NNG+로/JKB
간주하고	간주/NNG+하/XSV+고/EC
근절에	근절/NNG+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.172.5.2
경찰청은 전국 경찰서에 데이트 폭력 수사를 전담하는 ‘연인 간 폭력 근절 태스크포스(TF)’를 설치한다고 2일 밝혔다.

경찰청은	경찰청/NNG+은/JX
전국	전국/NNG
경찰서에	경찰서/NNG+에/JKB
데이트	데이트/NNG
폭력	폭력/NNG
수사를	수사/NNG+를/JKO
전담하는	전담/NNG+하/XSV+는/ETM
‘연인	‘/SS+연인/NNG
간	간/NNB
근절	근절/NNG
태스크포스(TF)’를	태스크포스/NNG+(/SS+TF/SL+)/SS+’/SS+를/JKO
설치한다고	설치/NNG+하/XSV+ㄴ다고/EC
2일	2/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.172.6.1
김헌기 경찰청 수사기획관은 “경찰이 직접 가해자에게 전화를 걸어 피해자에게 연락하거나 접근하지 말라고 강력히 경고할 것”이라며 “이에 불응하거나 2차 피해가 우려되면 피해자 보호를 위해 구속 수사하겠다”고 밝혔다.

김헌기	김헌기/NNP
경찰청	경찰청/NNG
수사기획관은	수사/NNG+기획관/NNG+은/JX
“경찰이	“/SS+경찰/NNG+이/JKS
직접	직접/MAG
가해자에게	가해자/NNG+에게/JKB
전화를	전화/NNG+를/JKO
걸어	걸/VV+어/EC
피해자에게	피해자/NNG+에게/JKB
연락하거나	연락/NNG+하/XSV+거나/EC
접근하지	접근/NNG+하/XSV+지/EC
말라고	말/VX+라고/EC
강력히	강력히/MAG
경고할	경고/NNG+하/XSV+ㄹ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“이에	“/SS+이/NP+에/JKB
불응하거나	불응/NNG+하/XSV+거나/EC
2차	2/SN+차/NNB
피해가	피해/NNG+가/JKS
우려되면	우려/NNG+되/XSV+면/EC
피해자	피해자/NNG
보호를	보호/NNG+를/JKO
위해	위하/VV+아/EC
구속	구속/NNG
수사하겠다”고	수사/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.172.7.1
경찰은 또 다음 달 2일까지를 ‘데이트 폭력 피해 집중 신고기간’으로 정해 집중적으로 신고를 권유하기로 했다.

경찰은	경찰/NNG+은/JX
또	또/MAG
다음	다음/NNG
달	달/NNG
2일까지를	2/SN+일/NNB+까지/JX+를/JKO
‘데이트	‘/SS+데이트/NNG
폭력	폭력/NNG
피해	피해/NNG
집중	집중/NNG
신고기간’으로	신고/NNG+기간/NNG+’/SS+으로/JKB
정해	정하/VV+아/EC
집중적으로	집중/NNG+적/XSN+으로/JKB
신고를	신고/NNG+를/JKO
권유하기로	권유/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.172.7.2
경찰서를 직접 방문하거나 112, 경찰청 홈페이지, ‘목격자를 찾습니다’ 애플리케이션 등을 통해 신고할 수 있다.

경찰서를	경찰서/NNG+를/JKO
직접	직접/MAG
방문하거나	방문/NNG+하/XSV+거나/EC
112,	112/SN+,/SP
경찰청	경찰청/NNG
홈페이지,	홈페이지/NNG+,/SP
‘목격자를	‘/SS+목격자/NNG+를/JKO
찾습니다’	찾/VV+습니다/EF+’/SS
애플리케이션	애플리케이션/NNG
