# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.305
metadata : {}


# id : NWRW1800000025.305.1.1
[동남권 교통혁명 Ⅱ]“와, 저기 진짜 고래다~”

[동남권	[/SS+동남/NNG+권/XSN
교통혁명	교통/NNG+혁명/NNG
Ⅱ]“와,	Ⅱ/SW+]/SS+“/SS+와/IC+,/SP
저기	저기/NP
진짜	진짜/NNG
고래다~”	고래/NNG+이/VCP+다/EF+~/SO+”/SS


# id : NWRW1800000025.305.2.1
《“우아∼!” 28일 오후 3시 10분경 울산 남구 장생포 고래생태체험관의 돌고래 수족관.

《“우아∼!”	《/SS+“/SS+우아/IC+∼/SO+!/SF+”/SS
28일	28/SN+일/NNB
오후	오후/NNG
3시	3/SN+시/NNB
10분경	10/SN+분/NNB+경/XSN
울산	울산/NNP
남구	남구/NNP
장생포	장생포/NNP
고래생태체험관의	고래/NNG+생태/NNG+체험관/NNG+의/JKG
돌고래	돌고래/NNG
수족관.	수족관/NNG+./SF


# id : NWRW1800000025.305.3.1
관광객들이 돌고래들이 수면을 박차고 오르며 재롱을 부리는 장면을 보며 탄성을 질렀다.

관광객들이	관광객/NNG+들/XSN+이/JKS
돌고래들이	돌고래/NNG+들/XSN+이/JKS
수면을	수면/NNG+을/JKO
박차고	박차/VV+고/EC
오르며	오르/VV+며/EC
재롱을	재롱/NNG+을/JKO
부리는	부리/VV+는/ETM
장면을	장면/NNG+을/JKO
보며	보/VV+며/EC
탄성을	탄성/NNG+을/JKO
질렀다.	지르/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.305.3.2
하루 네 차례 먹이를 줄 때마다 펼쳐지는 돌고래 쇼는 이제 고래생태체험관의 명물이 됐다.》

하루	하루/NNG
네	네/MMN
차례	차례/NNG
먹이를	먹이/NNG+를/JKO
줄	주/VV+ㄹ/ETM
때마다	때/NNG+마다/JX
펼쳐지는	펼쳐지/VV+는/ETM
돌고래	돌고래/NNG
쇼는	쇼/NNG+는/JX
이제	이제/MAG
고래생태체험관의	고래/NNG+생태/NNG+체험관/NNG+의/JKG
명물이	명물/NNG+이/JKC
