# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.72
metadata : {}


# id : NWRW1800000022.72.1.1
[기업 미래 전략] 친환경 지향하는 신한은행;태양광 발전소 등 환경 사업에 2920억원 지원

[기업	[/SS+기업/NNG
미래	미래/NNG
전략]	전략/NNG+]/SS
친환경	친/XPN+환경/NNG
지향하는	지향/NNG+하/XSV+는/ETM
신한은행;태양광	신한은행/NNP+;/SW+태양광/NNG
발전소	발전소/NNG
등	등/NNB
환경	환경/NNG
사업에	사업/NNG+에/JKB
2920억원	2920/SN+억/NR+원/NNB
지원	지원/NNG


# id : NWRW1800000022.72.2.1
'은행도 환경 보호에 책임을 진다.'

'은행도	'/SS+은행/NNG+도/JX
환경	환경/NNG
보호에	보호/NNG+에/JKB
책임을	책임/NNG+을/JKO
진다.'	지/VV+ㄴ다/EF+./SF+'/SS


# id : NWRW1800000022.72.3.1
신한은행이 은행 본연의 업무와 함께 사회적 책임을 다하기 위해 '환경'에 역점을 두고 있다.

신한은행이	신한은행/NNP+이/JKS
은행	은행/NNG
본연의	본연/NNG+의/JKG
업무와	업무/NNG+와/JKB
함께	함께/MAG
사회적	사회/NNG+적/XSN
책임을	책임/NNG+을/JKO
다하기	다/MAG+하/XSV+기/ETN
위해	위하/VV+아/EC
'환경'에	'/SS+환경/NNG+'/SS+에/JKB
역점을	역점/NNG+을/JKO
두고	두/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.72.3.2
특히 작년 초 사회적 책임을 다하기 위한 은행의 4대 전략을 세우면서 '환경 지향'을 하나로 선정했다.

특히	특히/MAG
작년	작년/NNG
초	초/NNB
사회적	사회/NNG+적/XSN
책임을	책임/NNG+을/JKO
다하기	다/MAG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
은행의	은행/NNG+의/JKG
4대	4/SN+대/NNG
전략을	전략/NNG+을/JKO
세우면서	세우/VV+면서/EC
'환경	'/SS+환경/NNG
지향'을	지향/NNG+'/SS+을/JKO
하나로	하나/NR+로/JKB
선정했다.	선정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.72.4.1
신한은행은 작년 초 환경재단의 기후변화센터 설립을 후원하면서 환경재단의 회원이 됐다.

신한은행은	신한은행/NNP+은/JX
작년	작년/NNG
초	초/NNB
환경재단의	환경/NNG+재단/NNG+의/JKG
기후변화센터	기후/NNG+변화/NNG+센터/NNG
설립을	설립/NNG+을/JKO
후원하면서	후원/NNG+하/XSV+면서/EC
회원이	회원/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.72.4.2
기후변화센터의 '스톱 CO₂' 캠페인에도 참여하고 있다.

기후변화센터의	기후/NNG+변화/NNG+센터/NNG+의/JKG
'스톱	'/SS+스톱/NNG
CO₂'	CO₂/SW+'/SS
캠페인에도	캠페인/NNG+에/JKB+도/JX
참여하고	참여/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.72.5.1
신한은행은 환경 지키기를 위한 국제적인 활동에도 참여하고 있다.

신한은행은	신한은행/NNP+은/JX
환경	환경/NNG
지키기를	지키/VV+기/ETN+를/JKO
위한	위하/VV+ㄴ/ETM
국제적인	국제/NNG+적/XSN+이/VCP+ㄴ/ETM
활동에도	활동/NNG+에/JKB+도/JX
참여하고	참여/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


