# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.107
metadata : {}


# id : NWRW1800000030.107.1.1
매킬로이처럼 치고 싶나요?

매킬로이처럼	매킬로이/NNP+처럼/JKB
치고	치/VV+고/EC
싶나요?	싶/VX+나/EF+요/JX+?/SF


# id : NWRW1800000030.107.1.2
그럼, 몸부터 만드세요

그럼,	그럼/MAJ+,/SP
몸부터	몸/NNG+부터/JX
만드세요	만들/VV+시/EP+어요/EF


# id : NWRW1800000030.107.2.1
골프는 길을 잃기 쉬운 스포츠다.

골프는	골프/NNG+는/JX
길을	길/NNG+을/JKO
잃기	잃/VV+기/ETN
쉬운	쉽/VA+ㄴ/ETM
스포츠다.	스포츠/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.107.2.2
세상에서 가장 강력한 스윙을 뽐내던 '골프 황제' 타이거 우즈(미국)가 벙커와 워터 해저드를 전전하는 최악의 슬럼프에 빠질 것이라고 상상한 이가 얼마나 있었을까.

세상에서	세상/NNG+에서/JKB
가장	가장/MAG
강력한	강력/NNG+하/XSA+ㄴ/ETM
스윙을	스윙/NNG+을/JKO
뽐내던	뽐내/VV+던/ETM
'골프	'/SS+골프/NNG
황제'	황제/NNG+'/SS
타이거	타이거/NNP
우즈(미국)가	우즈/NNP+(/SS+미국/NNP+)/SS+가/JKS
벙커와	벙커/NNG+와/JC
워터	워터/NNG
해저드를	해저드/NNG+를/JKO
전전하는	전전/NNG+하/XSV+는/ETM
최악의	최악/NNG+의/JKG
슬럼프에	슬럼프/NNG+에/JKB
빠질	빠지/VV+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
상상한	상상/NNG+하/XSV+ㄴ/ETM
이가	이/NNB+가/JKS
얼마나	얼마나/MAG
있었을까.	있/VA+었/EP+을까/EF+./SF


# id : NWRW1800000030.107.2.3
그래서 세계 정상급 골퍼들도 늘 스윙을 배우고, 몸을 만들고, 자신에게 맞는 클럽을 고르는 데 시간과 돈을 아끼지 않는다.

그래서	그래서/MAJ
세계	세계/NNG
정상급	정상급/NNG
골퍼들도	골퍼/NNG+들/XSN+도/JX
늘	늘/MAG
스윙을	스윙/NNG+을/JKO
배우고,	배우/VV+고/EC+,/SP
몸을	몸/NNG+을/JKO
만들고,	만들/VV+고/EC+,/SP
자신에게	자신/NNG+에게/JKB
맞는	맞/VV+는/ETM
클럽을	클럽/NNG+을/JKO
고르는	고르/VV+는/ETM
데	데/NNB
시간과	시간/NNG+과/JC
돈을	돈/NNG+을/JKO
아끼지	아끼/VV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000030.107.3.1
미국의 의학박사 그렉 로즈(41)와 유명 골프 교습가인 데이브 필립스(44)가 2003년 미국 샌디에이고에 설립한 TPI(Titleist Performance Institute)는 길을 잃고 싶지 않은 골퍼들에게 '꿈의 동산' 같은 곳이다.

미국의	미국/NNP+의/JKG
의학박사	의학/NNG+박사/NNG
그렉	그렉/NNP
로즈(41)와	로즈/NNP+(/SS+41/SN+)/SS+와/JC
유명	유명/NNG
골프	골프/NNG
교습가인	교습가/NNG+이/VCP+ㄴ/ETM
데이브	데이브/NNP
필립스(44)가	필립스/NNP+(/SS+44/SN+)/SS+가/JKS
2003년	2003/SN+년/NNB
미국	미국/NNP
샌디에이고에	샌디에이고/NNP+에/JKB
설립한	설립/NNG+하/XSV+ㄴ/ETM
TPI(Titleist	TPI/SL+(/SS+Titleist/SL
Performance	Performance/SL
Institute)는	Institute/SL+)/SS+는/JX
길을	길/NNG+을/JKO
잃고	잃/VV+고/EC
싶지	싶/VX+지/EC
않은	않/VX+은/ETM
골퍼들에게	골퍼/NNG+들/XSN+에게/JKB
'꿈의	'/SS+꿈/NNG+의/JKG
동산'	동산/NNG+'/SS
같은	같/VA+은/ETM
곳이다.	곳/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.107.4.1
올해 US오픈에서 각종 기록을 갈아치운 로리 매킬로이(북아일랜드)와 여자 골프를 석권하고 있는 청야니(대만), 애덤 스콧(호주)을 비롯한 많은 정상급 골퍼들이 이곳에서 정기적으로 몸과 스윙을 점검하는 고객들이다.

올해	올해/NNG
US오픈에서	US/SL+오픈/NNG+에서/JKB
각종	각종/NNG
기록을	기록/NNG+을/JKO
갈아치운	갈/VV+아/EC+치우/VX+ㄴ/ETM
로리	로리/NNP
매킬로이(북아일랜드)와	매킬로이/NNP+(/SS+북아일랜드/NNP+)/SS+와/JC
여자	여자/NNG
골프를	골프/NNG+를/JKO
석권하고	석권/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
청야니(대만),	청야니/NNP+(/SS+대만/NNP+)/SS+,/SP
애덤	애덤/NNP
