# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.49
metadata : {}


# id : NWRW1800000049.49.1.1
“北, 반세기 동안 中원조 받고도… 배은망덕 용납못해”

“北,	“/SS+北/SH+,/SP
반세기	반세기/NNG
동안	동안/NNG
中원조	中/SH+원조/NNG
받고도…	받/VV+고도/EC+…/SE
배은망덕	배은망덕/NNG
용납못해”	용납/NNG+못/MAG+하/VV+아/EF+”/SS


# id : NWRW1800000049.49.2.1
中 공군소장, 남북 동시비판… “北 바꿀수 있는 열쇠는 美 손에” “한국, 안보냐 경제냐 선택의 기로… 中 거스르지 말고 경제 택해야”

中	中/SH
공군소장,	공군/NNG+소장/NNG+,/SP
남북	남북/NNP
동시비판…	동시/NNG+비판/NNG+…/SE
“北	“/SS+北/SH
바꿀수	바꾸/VV+ㄹ/ETM+수/NNB
있는	있/VA+는/ETM
열쇠는	열쇠/NNG+는/JX
美	美/SH
손에”	손/NNG+에/JKB+”/SS
“한국,	“/SS+한국/NNP+,/SP
안보냐	안보/NNG+이/VCP+냐/EF
경제냐	경제/NNG+이/VCP+냐/EF
선택의	선택/NNG+의/JKG
기로…	기로/NNG+…/SE
거스르지	거스르/VV+지/EC
말고	말/VX+고/EC
경제	경제/NNG
택해야”	택하/VV+아야/EC+”/SS


# id : NWRW1800000049.49.3.1
중국 인민해방군 현역 공군 소장이 핵실험 등 도발을 계속하는 북한에 대해 홍콩 언론 인터뷰에서 “배은망덕하며 절대 용납할 수 없다”고 비판했다.

중국	중국/NNP
인민해방군	인민/NNG+해방군/NNG
현역	현역/NNG
공군	공군/NNG
소장이	소장/NNG+이/JKS
핵실험	핵/NNG+실험/NNG
등	등/NNB
도발을	도발/NNG+을/JKO
계속하는	계속/NNG+하/XSV+는/ETM
북한에	북한/NNP+에/JKB
대해	대하/VV+아/EC
홍콩	홍콩/NNP
언론	언론/NNG
인터뷰에서	인터뷰/NNG+에서/JKB
“배은망덕하며	“/SS+배은망덕/NNG+하/XSA+며/EC
절대	절대/MAG
용납할	용납/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다”고	없/VA+다/EF+”/SS+고/JKQ
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.49.3.2
미국과 고고도미사일방어(THAAD·사드) 체계 배치를 논의 중인 한국을 향해선 “안보와 경제 발전 중 하나를 선택하라”며 공개적으로 압박했다.

미국과	미국/NNP+과/JKB
고고도미사일방어(THAAD·사드)	고/XPN+고도/NNG+미사일/NNG+방어/NNG+(/SS+THAAD/SL+·/SP+사드/NNG+)/SS
체계	체계/NNG
배치를	배치/NNG+를/JKO
논의	논의/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
한국을	한국/NNP+을/JKO
향해선	향하/VV+아서/EC+ㄴ/JX
“안보와	“/SS+안보/NNG+와/JC
경제	경제/NNG
발전	발전/NNG
중	중/NNB
하나를	하나/NR+를/JKO
선택하라”며	선택/NNG+하/XSV+라/EF+”/SS+며/EC
공개적으로	공개/NNG+적/XSN+으로/JKB
압박했다.	압박/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.49.4.1
국방대 교수를 겸하고 있는 중국 공군의 차오량(喬良·62·사진) 소장은 최근 홍콩 월간지 ‘쯔징(紫荊)’과의 인터뷰에서 “중국은 지난 반세기 동안 북한에 조건 없는 원조를 제공해 왔다”며 “중국의 것을 갖고 먹으면서도 줄곧 괴롭게 하는 것에 중국은 불쾌함을 느낀다”고 밝혔다.

국방대	국방대/NNP
교수를	교수/NNG+를/JKO
겸하고	겸/NNB+하/XSV+고/EC
있는	있/VX+는/ETM
중국	중국/NNP
공군의	공군/NNG+의/JKG
차오량(喬良·62·사진)	차오량/NNP+(/SS+喬良/SH+·/SP+62/SN+·/SP+사진/NNG+)/SS
소장은	소장/NNG+은/JX
최근	최근/MAG
홍콩	홍콩/NNP
월간지	월간지/NNG
‘쯔징(紫荊)’과의	‘/SS+쯔징/NNP+(/SS+紫荊/SH+)/SS+’/SS+과/JKB+의/JKG
인터뷰에서	인터뷰/NNG+에서/JKB
“중국은	“/SS+중국/NNP+은/JX
지난	지나/VV+ㄴ/ETM
반세기	반세기/NNG
동안	동안/NNG
북한에	북한/NNP+에/JKB
조건	조건/NNG
없는	없/VA+는/ETM
원조를	원조/NNG+를/JKO
제공해	제공/NNG+하/XSV+아/EC
왔다”며	오/VX+았/EP+다/EF+”/SS+며/EC
“중국의	“/SS+중국/NNP+의/JKG
것을	것/NNB+을/JKO
갖고	갖/VV+고/EC
먹으면서도	먹/VV+으면서/EC+도/JX
줄곧	줄곧/MAG
괴롭게	괴롭/VA+게/EC
하는	하/VX+는/ETM
것에	것/NNB+에/JKB
중국은	중국/NNP+은/JX
불쾌함을	불쾌/NNG+하/XSA+ㅁ/ETN+을/JKO
느낀다”고	느끼/VV+ㄴ다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.49.4.2
이어 “그렇다고 중국이 주도적으로 북한을 바꿀 생각은 없다”면서도 “북한이 스스로의 정치체제를 선택할 자유가 있지만 중국은 이러한 태도를 절대 용납하지 않을 것”이라고 경고했다.

이어	이어/MAG
“그렇다고	“/SS+그렇/VA+다고/EC
중국이	중국/NNP+이/JKS
주도적으로	주도/NNG+적/XSN+으로/JKB
북한을	북한/NNP+을/JKO
바꿀	바꾸/VV+ㄹ/ETM
생각은	생각/NNG+은/JX
없다”면서도	없/VA+다/EF+”/SS+면서/EC+도/JX
“북한이	“/SS+북한/NNP+이/JKS
스스로의	스스로/NNG+의/JKG
정치체제를	정치/NNG+체제/NNG+를/JKO
선택할	선택/NNG+하/XSV+ㄹ/ETM
자유가	자유/NNG+가/JKS
있지만	있/VA+지만/EC
중국은	중국/NNP+은/JX
이러한	이러하/VA+ㄴ/ETM
태도를	태도/NNG+를/JKO
절대	절대/MAG
용납하지	용납/NNG+하/XSV+지/EC
않을	않/VX+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
경고했다.	경고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.49.5.1
