# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.346
metadata : {}


# id : NWRW1800000038.346.1.1
민주, 노원丙 후보 공천 움직임에 安측 "당선 장담 못해" 바짝 긴장

민주,	민주/NNP+,/SP
노원丙	노원/NNP+丙/SH
후보	후보/NNG
공천	공천/NNG
움직임에	움직임/NNG+에/JKB
安측	安/SH+측/NNB
"당선	"/SS+당선/NNG
장담	장담/NNG
못해"	못/MAG+하/VV+아/EF+"/SS
바짝	바짝/MAG
긴장	긴장/NNG


# id : NWRW1800000038.346.2.1
安측 "야권후보 여러명 나오면 새누리 어부지리 얻을 수도"

安측	安/SH+측/NNB
"야권후보	"/SS+야권/NNG+후보/NNG
여러명	여러/MMN+명/NNB
나오면	나오/VV+면/EC
새누리	새누리/NNP
어부지리	어부지리/NNG
얻을	얻/VV+을/ETM
수도"	수/NNB+도/JX+"/SS


# id : NWRW1800000038.346.3.1
안철수 전 서울대 교수 측은 민주통합당이 4월 재보궐선거에서 서울 노원병에 후보를 내겠다는 방침을 밝히면서 바짝 긴장하고 있다.

안철수	안철수/NNP
전	전/MMD
서울대	서울대/NNP
교수	교수/NNG
측은	측/NNB+은/JX
민주통합당이	민주통합당/NNP+이/JKS
4월	4/SN+월/NNB
재보궐선거에서	재/XPN+보궐/NNG+선거/NNG+에서/JKB
서울	서울/NNP
노원병에	노원병/NNP+에/JKB
후보를	후보/NNG+를/JKO
내겠다는	내/VV+겠/EP+다는/ETM
방침을	방침/NNG+을/JKO
밝히면서	밝히/VV+면서/EC
바짝	바짝/MAG
긴장하고	긴장/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.346.3.2
야당 지지 성향이 강한 지역이지만 야권 후보가 여러 명 나올 경우 새누리당이 어부지리를 얻을 수 있다고 보기 때문이다.

야당	야당/NNG
지지	지지/NNG
성향이	성향/NNG+이/JKS
강한	강하/VA+ㄴ/ETM
지역이지만	지역/NNG+이/VCP+지만/EC
야권	야권/NNG
후보가	후보/NNG+가/JKS
여러	여러/MMN
명	명/NNB
나올	나오/VV+ㄹ/ETM
경우	경우/NNG
새누리당이	새누리당/NNP+이/JKS
어부지리를	어부지리/NNG+를/JKO
얻을	얻/VV+을/ETM
수	수/NNB
있다고	있/VA+다고/EC
보기	보/VV+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.346.4.1
민주당에선 이 지역에 후보를 내야 한다는 주장이 점점 세를 얻고 있다.

민주당에선	민주당/NNP+에서/JKB+ㄴ/JX
이	이/MMD
지역에	지역/NNG+에/JKB
후보를	후보/NNG+를/JKO
내야	내/VV+어야/EC
한다는	하/VX+ㄴ다는/ETM
주장이	주장/NNG+이/JKS
점점	점점/MAG
세를	세/NNG+를/JKO
얻고	얻/VV+고/EC
